Gene	Ensembl
LEP	ENSG00000174697
TRARG1	ENSG00000184811
ADIPOQ	ENSG00000181092
MRAP	ENSG00000170262
CIDEA	ENSG00000176194
PLIN1	ENSG00000166819
HOXC12	ENSG00000123407
FABP4	ENSG00000170323
AL845331.1	ENSG00000259916
LVRN	ENSG00000172901
NAT8L	ENSG00000185818
PLAAT5	ENSG00000168004
CIDEC	ENSG00000187288
CLDN15	ENSG00000106404
DGAT2	ENSG00000062282
TNFSF14	ENSG00000125735
CETP	ENSG00000087237
LIPE	ENSG00000079435
PFKFB1	ENSG00000158571
SLC7A10	ENSG00000130876
UPK3B	ENSG00000243566
MYMX	ENSG00000262179
AC004223.3	ENSG00000267618
CLSTN2	ENSG00000158258
GYG2	ENSG00000056998
ITLN1	ENSG00000179914
KLB	ENSG00000134962
MMD	ENSG00000108960
MUC16	ENSG00000181143
PLA2G2A	ENSG00000188257
PRG4	ENSG00000116690
PRRT4	ENSG00000224940
SPX	ENSG00000134548
ABCD2	ENSG00000173208
AC002996.1	ENSG00000257767
AC093155.3	ENSG00000267561
AC242628.1	ENSG00000288626
ACACB	ENSG00000076555
ACKR1	ENSG00000213088
ACSL1	ENSG00000151726
ACVR1C	ENSG00000123612
ADAMTS15	ENSG00000166106
ADAMTS4	ENSG00000158859
ADAMTS9	ENSG00000163638
ADGRL4	ENSG00000162618
ADH1B	ENSG00000196616
ADIRF	ENSG00000148671
ADM	ENSG00000148926
ADRA2A	ENSG00000150594
AGPAT2	ENSG00000169692
AKR1C2	ENSG00000151632
AL139353.1	ENSG00000203546
ALOX15	ENSG00000161905
ANGPT4	ENSG00000101280
ANGPTL4	ENSG00000167772
ANGPTL7	ENSG00000171819
AOC3	ENSG00000131471
APOLD1	ENSG00000178878
AQP7	ENSG00000165269
ARHGEF15	ENSG00000198844
ASPH	ENSG00000198363
BNC1	ENSG00000169594
BTNL9	ENSG00000165810
C14orf180	ENSG00000184601
C19orf12	ENSG00000131943
C1QTNF1	ENSG00000173918
CALB2	ENSG00000172137
CALCRL	ENSG00000064989
CAV2	ENSG00000105971
CCDC178	ENSG00000166960
CCN5	ENSG00000064205
CD209	ENSG00000090659
CD248	ENSG00000174807
CD300LG	ENSG00000161649
CD36	ENSG00000135218
CDKN2C	ENSG00000123080
CEBPA	ENSG00000245848
CFD	ENSG00000197766
CHSY3	ENSG00000198108
CLDN5	ENSG00000184113
CLEC3B	ENSG00000163815
CLEC4G	ENSG00000182566
CLMP	ENSG00000166250
CNR1	ENSG00000118432
COMP	ENSG00000105664
CPM	ENSG00000135678
CR1	ENSG00000203710
CTHRC1	ENSG00000164932
CXCL3	ENSG00000163734
DEPP1	ENSG00000165507
DOCK11	ENSG00000147251
