Gene	Ensembl
CYP11B1	ENSG00000160882
CYP11B2	ENSG00000179142
CYP17A1	ENSG00000148795
TH	ENSG00000180176
GML	ENSG00000104499
HSD3B2	ENSG00000203859
CYP21A2	ENSG00000231852
CCN3	ENSG00000136999
MC2R	ENSG00000185231
DGKK	ENSG00000274588
MRAP	ENSG00000170262
CYP11A1	ENSG00000140459
ARHGAP36	ENSG00000147256
DRGX	ENSG00000165606
NXPH1	ENSG00000122584
CHGB	ENSG00000089199
SHISA8	ENSG00000234965
NPY	ENSG00000122585
ADGRV1	ENSG00000164199
GRIK1	ENSG00000171189
VAT1L	ENSG00000171724
FAM166B	ENSG00000215187
STAR	ENSG00000147465
LRRC38	ENSG00000162494
TAFA4	ENSG00000163377
AKR1B1	ENSG00000085662
CALN1	ENSG00000183166
FDXR	ENSG00000161513
CARTPT	ENSG00000164326
CLRN1	ENSG00000163646
DBH	ENSG00000123454
FDX1	ENSG00000137714
MAP3K15	ENSG00000180815
MGARP	ENSG00000137463
PENK	ENSG00000181195
PHOX2A	ENSG00000165462
SCG2	ENSG00000171951
AOX1	ENSG00000138356
CYP2W1	ENSG00000073067
INHA	ENSG00000123999
KCNA4	ENSG00000182255
KCNK2	ENSG00000082482
SLC18A1	ENSG00000036565
ZNF280A	ENSG00000169548
AC048338.2	ENSG00000284934
AS3MT	ENSG00000214435
BABAM2	ENSG00000158019
C4B	ENSG00000224389
CELA1	ENSG00000139610
CHRNA3	ENSG00000080644
KCNK3	ENSG00000171303
MAMSTR	ENSG00000176909
NKAIN1	ENSG00000084628
NR5A1	ENSG00000136931
NTRK1	ENSG00000198400
PEG3	ENSG00000198300
PHOX2B	ENSG00000109132
PNMT	ENSG00000141744
RET	ENSG00000165731
RGN	ENSG00000130988
AC068580.4	ENSG00000250644
APOE	ENSG00000130203
DLK1	ENSG00000185559
FAM43B	ENSG00000183114
GSTA3	ENSG00000174156
GSTT2B	ENSG00000133433
IFITM10	ENSG00000244242
MCOLN3	ENSG00000055732
NR0B1	ENSG00000169297
PCDH15	ENSG00000150275
PPP1R17	ENSG00000106341
RFX6	ENSG00000185002
RGS4	ENSG00000117152
RIMS2	ENSG00000176406
SCARB1	ENSG00000073060
SLC16A9	ENSG00000165449
SMIM10L2A	ENSG00000178947
SOAT1	ENSG00000057252
TAFA3	ENSG00000184599
TMEM130	ENSG00000166448
ZBED6CL	ENSG00000188707
AADAC	ENSG00000114771
ABCB1	ENSG00000085563
ABCC3	ENSG00000108846
AKAIN1	ENSG00000231824
AKAP7	ENSG00000118507
AL589987.1	ENSG00000230707
ALAS1	ENSG00000023330
ALKAL2	ENSG00000189292
ALPL	ENSG00000162551
AMHR2	ENSG00000135409
ANO4	ENSG00000151572
ASB4	ENSG00000005981
ASTN1	ENSG00000152092
AVPR1A	ENSG00000166148
BRINP2	ENSG00000198797
C2CD2	ENSG00000157617
C2orf66	ENSG00000187944
C4A	ENSG00000244731
C9orf16	ENSG00000171159
CBLN4	ENSG00000054803
CHRNA7	ENSG00000175344
CREBL2	ENSG00000111269
CSDC2	ENSG00000172346
CTNNAL1	ENSG00000119326
CTSA	ENSG00000064601
CYB561A3	ENSG00000162144
CYB5B	ENSG00000103018
DHCR24	ENSG00000116133
DNAI3	ENSG00000162643
DNAJC12	ENSG00000108176
DNER	ENSG00000187957
DPP10	ENSG00000175497
EPHX1	ENSG00000143819
ERN1	ENSG00000178607
ESR2	ENSG00000140009
EVX1	ENSG00000106038
FADS2	ENSG00000134824
FGF11	ENSG00000161958
FGF12	ENSG00000114279
FIBCD1	ENSG00000130720
FNDC10	ENSG00000228594
FNDC4	ENSG00000115226
GALM	ENSG00000143891
GALR1	ENSG00000166573
