Gene	Ensembl
GCM2	ENSG00000124827
PTH	ENSG00000152266
NLRP5	ENSG00000171487
GPR32	ENSG00000142511
PSG4	ENSG00000243137
TMC3	ENSG00000188869
CASR	ENSG00000036828
SYCP2L	ENSG00000153157
CD109	ENSG00000156535
KIAA1549L	ENSG00000110427
OPCML	ENSG00000183715
COL6A6	ENSG00000206384
GAD1	ENSG00000128683
SIX3	ENSG00000138083
LGI2	ENSG00000153012
CCDC86	ENSG00000110104
KANSL1L	ENSG00000144445
PAX9	ENSG00000198807
PCDHAC1	ENSG00000248383
SLC17A5	ENSG00000119899
TDRD9	ENSG00000156414
CD226	ENSG00000150637
DNAH11	ENSG00000105877
GAREM2	ENSG00000157833
HMGXB3	ENSG00000113716
KIF13B	ENSG00000197892
PVALB	ENSG00000100362
RLN3	ENSG00000171136
TBXT	ENSG00000164458
ALCAM	ENSG00000170017
BSPRY	ENSG00000119411
CHGA	ENSG00000100604
EPHA1	ENSG00000146904
EPHA7	ENSG00000135333
FRMPD4	ENSG00000169933
GCNT1	ENSG00000187210
HCAR1	ENSG00000196917
INPP5J	ENSG00000185133
INSC	ENSG00000188487
KCNJ16	ENSG00000153822
LZTS1	ENSG00000061337
PAX1	ENSG00000125813
PCDHA13	ENSG00000239389
PTCH2	ENSG00000117425
RAB6D	ENSG00000233087
RALB	ENSG00000144118
RET	ENSG00000165731
SLC31A2	ENSG00000136867
SYT12	ENSG00000173227
AGBL5	ENSG00000084693
ANKRD45	ENSG00000183831
ANO5	ENSG00000171714
ATP6AP2	ENSG00000182220
HTR7	ENSG00000148680
KCNJ2	ENSG00000123700
MCOLN3	ENSG00000055732
PHKA1	ENSG00000067177
PRRT3	ENSG00000163704
RAPGEF5	ENSG00000136237
SIX4	ENSG00000100625
TMEM184C	ENSG00000164168
TMEM61	ENSG00000143001
TRIM50	ENSG00000146755
VDR	ENSG00000111424
ZBED6CL	ENSG00000188707
AAK1	ENSG00000115977
ACSL3	ENSG00000123983
ACTR3C	ENSG00000106526
ADAM23	ENSG00000114948
ADTRP	ENSG00000111863
AFAP1L2	ENSG00000169129
ARFGEF2	ENSG00000124198
ARG2	ENSG00000081181
ARSK	ENSG00000164291
ATP13A4	ENSG00000127249
ATP1A1	ENSG00000163399
BTBD11	ENSG00000151136
C1orf112	ENSG00000000460
C22orf31	ENSG00000100249
C8orf34	ENSG00000165084
CA8	ENSG00000178538
CALCA	ENSG00000110680
CCDC151	ENSG00000198003
CCNA1	ENSG00000133101
CD4	ENSG00000010610
CDH1	ENSG00000039068
CEMIP2	ENSG00000135048
CHRFAM7A	ENSG00000166664
CISD1	ENSG00000122873
CLEC2L	ENSG00000236279
CNNM2	ENSG00000148842
CNTN4	ENSG00000144619
COG2	ENSG00000135775
DMRT2	ENSG00000173253
DMRT3	ENSG00000064218
DNAH2	ENSG00000183914
DOK6	ENSG00000206052
DPP4	ENSG00000197635
DSG2	ENSG00000046604
EFCAB14	ENSG00000159658
EI24	ENSG00000149547
EMILIN2	ENSG00000132205
ERMP1	ENSG00000099219
ERVMER34-1	ENSG00000226887
ESRRG	ENSG00000196482
EYA1	ENSG00000104313
FAIM2	ENSG00000135472
FAXDC2	ENSG00000170271
FCHSD1	ENSG00000197948
FGF13	ENSG00000129682
FHDC1	ENSG00000137460
FIBCD1	ENSG00000130720
FIGNL2	ENSG00000261308
FMN2	ENSG00000155816
FOXL2	ENSG00000183770
FOXL2NB	ENSG00000206262
FUCA2	ENSG00000001036
GATA3	ENSG00000107485
GJA3	ENSG00000121743
GLRB	ENSG00000109738
GPR160	ENSG00000173890
GRIP1	ENSG00000155974
GRM7	ENSG00000196277
ICE2	ENSG00000128915
ID2	ENSG00000115738
IGDCC3	ENSG00000174498
IL1RAPL2	ENSG00000189108
ILDR1	ENSG00000145103
KCNK13	ENSG00000152315
KL	ENSG00000133116
KLHDC7B	ENSG00000130487
LRFN5	ENSG00000165379
LRP2	ENSG00000081479
MAFB	ENSG00000204103
MAP9	ENSG00000164114
MAPK4	ENSG00000141639
MCIDAS	ENSG00000234602
MFSD14A	ENSG00000156875
MSX2	ENSG00000120149
MYO3B	ENSG00000071909
MYO5A	ENSG00000197535
NCKIPSD	ENSG00000213672
NCR3LG1	ENSG00000188211
NPM2	ENSG00000158806
NRN1	ENSG00000124785
OR7A5	ENSG00000188269
OR7C1	ENSG00000127530
PBX3	ENSG00000167081
PCDHA11	ENSG00000249158
PCDHAC2	ENSG00000243232
PCDHGB5	ENSG00000276547
PCYOX1L	ENSG00000145882
PDE11A	ENSG00000128655
PDGFC	ENSG00000145431
PDRG1	ENSG00000088356
PKIB	ENSG00000135549
PLA1A	ENSG00000144837
PLA2G4A	ENSG00000116711
PLAT	ENSG00000104368
PLEKHD1	ENSG00000175985
PPM1H	ENSG00000111110
PRPS2	ENSG00000101911
PRRG2	ENSG00000126460
PTHLH	ENSG00000087494
PTN	ENSG00000105894
RAB6C	ENSG00000222014
RASAL1	ENSG00000111344
RCAN1	ENSG00000159200
RELL2	ENSG00000164620
RGL3	ENSG00000205517
RIMBP2	ENSG00000060709
RNF180	ENSG00000164197
RNF217	ENSG00000146373
ROR1	ENSG00000185483
SCAMP5	ENSG00000198794
SCPEP1	ENSG00000121064
SEC14L6	ENSG00000214491
SFXN2	ENSG00000156398
SGK1	ENSG00000118515
SIX1	ENSG00000126778
SLC2A13	ENSG00000151229
SLC36A1	ENSG00000123643
SLC7A2	ENSG00000003989
SLC7A8	ENSG00000092068
SPOCK3	ENSG00000196104
SSC4D	ENSG00000146700
ST8SIA5	ENSG00000101638
STEAP3	ENSG00000115107
STT3A	ENSG00000134910
STXBP5	ENSG00000164506
SV2A	ENSG00000159164
SVOPL	ENSG00000157703
SYK	ENSG00000165025
SYT17	ENSG00000103528
TANC2	ENSG00000170921
TDRKH	ENSG00000182134
TENM4	ENSG00000149256
TINF2	ENSG00000092330
TMEM116	ENSG00000198270
TMEM178B	ENSG00000261115
TMEM37	ENSG00000171227
TRPM7	ENSG00000092439
WNT8B	ENSG00000075290
WNT9B	ENSG00000158955
