Gene	Ensembl
CXorf51B	ENSG00000235699
LELP1	ENSG00000203784
TPD52L3	ENSG00000170777
TNP1	ENSG00000118245
SHCBP1L	ENSG00000157060
ACTL9	ENSG00000181786
ACTRT2	ENSG00000169717
ACTL7B	ENSG00000148156
PRM1	ENSG00000175646
CETN1	ENSG00000177143
PRM2	ENSG00000122304
HMGB4	ENSG00000176256
ACTL7A	ENSG00000187003
C20orf144	ENSG00000149609
AKAP4	ENSG00000147081
PRR30	ENSG00000186143
SMCP	ENSG00000163206
BOD1L2	ENSG00000228075
TEX44	ENSG00000177673
ZNRF4	ENSG00000105428
TUBA3C	ENSG00000198033
LYZL2	ENSG00000151033
C16orf82	ENSG00000234186
TEX37	ENSG00000172073
IRGC	ENSG00000124449
TMCO2	ENSG00000188800
PDHA2	ENSG00000163114
SPATA16	ENSG00000144962
ODF1	ENSG00000155087
ADAD1	ENSG00000164113
VCY1B	ENSG00000129862
SPEM2	ENSG00000184560
SCP2D1	ENSG00000132631
SPEM3	ENSG00000283439
FTMT	ENSG00000181867
BPIFA3	ENSG00000131059
PGK2	ENSG00000170950
DNAJB8	ENSG00000179407
KIF2B	ENSG00000141200
IQCF5	ENSG00000214681
C3orf22	ENSG00000180697
FNDC8	ENSG00000073598
SUN5	ENSG00000167098
TEX33	ENSG00000185264
CBY2	ENSG00000174015
ANKRD7	ENSG00000106013
CMTM2	ENSG00000140932
LYZL1	ENSG00000120563
TEX38	ENSG00000186118
RNF151	ENSG00000179580
UBQLN3	ENSG00000175520
CCER1	ENSG00000197651
TKTL2	ENSG00000151005
SPACA1	ENSG00000118434
DEFB123	ENSG00000180424
TCP11	ENSG00000124678
CST9L	ENSG00000101435
FMR1NB	ENSG00000176988
SPEM1	ENSG00000181323
TNP2	ENSG00000178279
SPATA19	ENSG00000166118
FAM71B	ENSG00000170613
PRPS1L1	ENSG00000229937
LYPD4	ENSG00000273111
CYLC1	ENSG00000183035
TXNDC2	ENSG00000168454
GK2	ENSG00000196475
TSACC	ENSG00000163467
C16orf78	ENSG00000166152
IZUMO2	ENSG00000161652
DKKL1	ENSG00000104901
SLC25A31	ENSG00000151475
GAGE12C	ENSG00000237671
GAGE12D	ENSG00000227488
CCDC42	ENSG00000161973
H1-7	ENSG00000187166
ADAM30	ENSG00000134249
IQCF1	ENSG00000173389
FAM187B	ENSG00000177558
TBC1D21	ENSG00000167139
CCDC70	ENSG00000123171
TSSK2	ENSG00000206203
GAGE12H	ENSG00000224902
ZCCHC13	ENSG00000187969
GUCA1ANB	ENSG00000287363
TSSK1B	ENSG00000212122
FKBP6	ENSG00000077800
MROH2B	ENSG00000171495
