Gene	Ensembl
CTSG	ENSG00000100448
PRSS57	ENSG00000185198
RNASE3	ENSG00000169397
MS4A3	ENSG00000149516
ELANE	ENSG00000197561
BPI	ENSG00000101425
DEFA3	ENSG00000239839
RAB44	ENSG00000255587
AHSP	ENSG00000169877
MPO	ENSG00000005381
SERPINB10	ENSG00000242550
DEFA4	ENSG00000164821
HBD	ENSG00000223609
CA1	ENSG00000133742
PRTN3	ENSG00000196415
RHAG	ENSG00000112077
RNASE2	ENSG00000169385
AZU1	ENSG00000172232
SPTA1	ENSG00000163554
GYPA	ENSG00000170180
CEACAM8	ENSG00000124469
MMP8	ENSG00000118113
EPB42	ENSG00000166947
GATA1	ENSG00000102145
TSPO2	ENSG00000112212
HBM	ENSG00000206177
MFSD2B	ENSG00000205639
NIBAN3	ENSG00000167483
VPREB1	ENSG00000169575
GFI1B	ENSG00000165702
EPX	ENSG00000121053
FCRL1	ENSG00000163534
ABCA13	ENSG00000179869
CEBPE	ENSG00000092067
PGLYRP1	ENSG00000008438
IGHD2-2	ENSG00000211931
KLF1	ENSG00000105610
ALAS2	ENSG00000158578
GYPB	ENSG00000250361
H3C2	ENSG00000286522
OTOF	ENSG00000115155
ATP8B4	ENSG00000104043
HMGB2	ENSG00000164104
OR6N2	ENSG00000188340
PRG3	ENSG00000156575
CLC	ENSG00000105205
MCEMP1	ENSG00000183019
MMP9	ENSG00000100985
DEFA1	ENSG00000206047
EREG	ENSG00000124882
HBB	ENSG00000244734
NME8	ENSG00000086288
OR10Z1	ENSG00000198967
SRGN	ENSG00000122862
TRGJP	ENSG00000211691
TRGJP1	ENSG00000211692
CAMP	ENSG00000164047
CEACAM3	ENSG00000170956
CLEC4D	ENSG00000166527
CR1L	ENSG00000197721
IFIT1B	ENSG00000204010
IKZF1	ENSG00000185811
PADI4	ENSG00000159339
PP2D1	ENSG00000183977
RHCE	ENSG00000188672
VSTM1	ENSG00000189068
CCL7	ENSG00000108688
CD247	ENSG00000198821
FUT4	ENSG00000196371
IGHD3-10	ENSG00000211923
NKG7	ENSG00000105374
NTNG2	ENSG00000196358
OSM	ENSG00000099985
PRAM1	ENSG00000133246
RGL4	ENSG00000159496
SPN	ENSG00000197471
SPNS3	ENSG00000182557
TRGC1	ENSG00000211689
AC008763.3	ENSG00000269711
C17orf99	ENSG00000187997
CSF3R	ENSG00000119535
CST7	ENSG00000077984
CXCL8	ENSG00000169429
FOLR3	ENSG00000110203
GPR141	ENSG00000187037
H1-4	ENSG00000168298
H1-5	ENSG00000184357
ICOS	ENSG00000163600
IPCEF1	ENSG00000074706
ITGAM	ENSG00000169896
LST1	ENSG00000204482
S100A12	ENSG00000163221
TARM1	ENSG00000248385
UHRF1	ENSG00000276043
AC079741.2	ENSG00000288634
AL160272.2	ENSG00000285082
APOBR	ENSG00000184730
ARHGAP45	ENSG00000180448
AUNIP	ENSG00000127423
BCL2A1	ENSG00000140379
C11orf21	ENSG00000110665
CDCA2	ENSG00000184661
CEP170	ENSG00000143702
CFP	ENSG00000126759
CLEC5A	ENSG00000258227
CYP4F3	ENSG00000186529
DEFA1B	ENSG00000240247
FBXO5	ENSG00000112029
FCN1	ENSG00000085265
FGR	ENSG00000000938
H2BC10	ENSG00000278588
HBZ	ENSG00000130656
HMBS	ENSG00000256269
ICAM4	ENSG00000105371
KIF2C	ENSG00000142945
KNL1	ENSG00000137812
NEIL3	ENSG00000109674
NFE2	ENSG00000123405
NUF2	ENSG00000143228
OR2W3	ENSG00000238243
OSCAR	ENSG00000170909
PIK3CG	ENSG00000105851
PLAUR	ENSG00000011422
RELT	ENSG00000054967
RRM2	ENSG00000171848
SLC4A1	ENSG00000004939
SLFN14	ENSG00000236320
SNCA	ENSG00000145335
SPI1	ENSG00000066336
SPINK8	ENSG00000229453
STK17B	ENSG00000081320
TRBJ2-1	ENSG00000211764
TRBJ2-5	ENSG00000211769
TSPAN32	ENSG00000064201
TTK	ENSG00000112742
VNN3	ENSG00000093134
ZC3H12D	ENSG00000178199
AC072022.2	ENSG00000285938
ADGRG3	ENSG00000182885
ANKRD61	ENSG00000157999
ARHGAP15	ENSG00000075884
ARHGDIB	ENSG00000111348
C16orf54	ENSG00000185905
C19orf38	ENSG00000214212
CCNDBP1	ENSG00000166946
CD69	ENSG00000110848
CEACAM4	ENSG00000105352
CLEC12B	ENSG00000256660
CLEC7A	ENSG00000172243
CORO1A	ENSG00000102879
CSGALNACT2	ENSG00000169826
DTL	ENSG00000143476
E2F2	ENSG00000007968
EPC1	ENSG00000120616
FAM104A	ENSG00000133193
FAM178B	ENSG00000168754
FAM221B	ENSG00000204930
FUT7	ENSG00000180549
GCA	ENSG00000115271
GOLGA8O	ENSG00000206127
H2AC16	ENSG00000276903
H3C1	ENSG00000275714
HBA2	ENSG00000188536
HBQ1	ENSG00000086506
HCST	ENSG00000126264
HEMGN	ENSG00000136929
IFNG	ENSG00000111537
IGLL1	ENSG00000128322
IL18RAP	ENSG00000115607
IL21R	ENSG00000103522
IVNS1ABP	ENSG00000116679
KIF18A	ENSG00000121621
LILRB2	ENSG00000131042
MAP3K8	ENSG00000107968
MKI67	ENSG00000148773
MYBL2	ENSG00000101057
MYO1F	ENSG00000142347
NCR3	ENSG00000204475
NEK2	ENSG00000117650
NFKBIZ	ENSG00000144802
NLRP3	ENSG00000162711
NUSAP1	ENSG00000137804
OR6K3	ENSG00000203757
PARP15	ENSG00000173200
PELI1	ENSG00000197329
PF4	ENSG00000163737
PLAC8	ENSG00000145287
PLEK	ENSG00000115956
PLK4	ENSG00000142731
PRF1	ENSG00000180644
PSTPIP2	ENSG00000152229
RETN	ENSG00000104918
SELL	ENSG00000188404
SIGLEC14	ENSG00000254415
SLA	ENSG00000155926
SLC22A16	ENSG00000004809
TBC1D10C	ENSG00000175463
TBX21	ENSG00000073861
TMC8	ENSG00000167895
TRGJP2	ENSG00000211688
TSSK3	ENSG00000162526
ZNF394	ENSG00000160908
AC013394.1	ENSG00000279765
AC092073.1	ENSG00000266953
ALOX5AP	ENSG00000132965
ANKLE1	ENSG00000160117
AP5B1	ENSG00000254470
APOBEC3A	ENSG00000128383
ASPM	ENSG00000066279
ASTL	ENSG00000188886
ATP8B3	ENSG00000130270
BST1	ENSG00000109743
BUB1	ENSG00000169679
CBX4	ENSG00000141582
CCNB2	ENSG00000157456
CD300LB	ENSG00000178789
CD48	ENSG00000117091
