Gene	Ensembl
CDR1	ENSG00000288642
AVP	ENSG00000101200
HCRT	ENSG00000161610
TPH2	ENSG00000139287
OPALIN	ENSG00000197430
BARHL1	ENSG00000125492
TMEM88B	ENSG00000205116
GPR101	ENSG00000165370
MBP	ENSG00000197971
OTP	ENSG00000171540
F8A2	ENSG00000274791
GABRA6	ENSG00000145863
MC3R	ENSG00000124089
MEPE	ENSG00000152595
GRM4	ENSG00000124493
TAS2R39	ENSG00000236398
PMCH	ENSG00000183395
USP17L15	ENSG00000223569
GRIN2B	ENSG00000273079
ANKRD63	ENSG00000230778
NEUROD2	ENSG00000171532
SPATA31E1	ENSG00000177992
IL1RAPL1	ENSG00000169306
SLC6A3	ENSG00000142319
TH	ENSG00000180176
FOXB2	ENSG00000204612
NCAN	ENSG00000130287
SLC17A7	ENSG00000104888
OXT	ENSG00000101405
GBX2	ENSG00000168505
NTSR2	ENSG00000169006
MT3	ENSG00000087250
NR2E1	ENSG00000112333
OR9A2	ENSG00000179468
PMP2	ENSG00000147588
GRIN1	ENSG00000176884
RIMBP3B	ENSG00000274600
RIMS1	ENSG00000079841
TRAJ61	ENSG00000211831
BSX	ENSG00000188909
H4C3	ENSG00000197061
ZFHX3	ENSG00000140836
AC012254.7	ENSG00000288631
SCRT2	ENSG00000215397
C5orf63	ENSG00000164241
SYNDIG1L	ENSG00000183379
GSX1	ENSG00000169840
KCNN1	ENSG00000105642
TTC9B	ENSG00000174521
DDX53	ENSG00000184735
AC090373.2	ENSG00000288616
CACNG8	ENSG00000142408
GNG13	ENSG00000127588
MRGPRE	ENSG00000184350
PAQR6	ENSG00000160781
PNMA6F	ENSG00000225110
SLC6A7	ENSG00000011083
USP17L11	ENSG00000233136
FGF3	ENSG00000186895
AC012254.6	ENSG00000288607
FOXB1	ENSG00000171956
GRID2IP	ENSG00000215045
TBR1	ENSG00000136535
CREG2	ENSG00000175874
ELOA2	ENSG00000206181
GPR151	ENSG00000173250
MAG	ENSG00000105695
SULT4A1	ENSG00000130540
IFNK	ENSG00000147896
