Gene	Ensembl
LALBA	ENSG00000167531
CSN2	ENSG00000135222
CSN1S1	ENSG00000126545
SULT1C3	ENSG00000196228
DGAT2L6	ENSG00000184210
BTN1A1	ENSG00000124557
LEP	ENSG00000174697
TRARG1	ENSG00000184811
ADIPOQ	ENSG00000181092
MRAP	ENSG00000170262
MS4A18	ENSG00000214782
ACSM1	ENSG00000166743
ANKRD30A	ENSG00000148513
UGT2B11	ENSG00000213759
CIDEA	ENSG00000176194
PLIN1	ENSG00000166819
UGT2B28	ENSG00000135226
ABCC11	ENSG00000121270
CST9	ENSG00000173335
FABP4	ENSG00000170323
SERHL2	ENSG00000183569
AL445238.1	ENSG00000285566
OXTR	ENSG00000180914
AKR1B15	ENSG00000227471
AL845331.1	ENSG00000259916
IGHV1OR15-9	ENSG00000188403
CIDEC	ENSG00000187288
DGAT2	ENSG00000062282
GLYATL1B	ENSG00000255151
IGLV10-54	ENSG00000211642
SCGB1D2	ENSG00000124935
ATP13A5	ENSG00000187527
IL22RA2	ENSG00000164485
LIPE	ENSG00000079435
SCGB2A2	ENSG00000110484
SLC7A10	ENSG00000130876
SPINK8	ENSG00000229453
ALDH3B2	ENSG00000132746
CSN3	ENSG00000171209
ELF5	ENSG00000135374
HCAR1	ENSG00000196917
KRT15	ENSG00000171346
MYMX	ENSG00000262179
NPY2R	ENSG00000185149
PLEKHS1	ENSG00000148735
SLCO1B3-SLCO1B7	ENSG00000257046
XDH	ENSG00000158125
ARHGAP40	ENSG00000124143
GSTM5	ENSG00000134201
GSTT2B	ENSG00000133433
MUCL1	ENSG00000172551
MYB	ENSG00000118513
SNORC	ENSG00000182600
STC2	ENSG00000113739
ABCA12	ENSG00000144452
AC136616.3	ENSG00000278782
ACKR1	ENSG00000213088
ALOX15B	ENSG00000179593
ALX4	ENSG00000052850
ANGPT4	ENSG00000101280
ANGPTL4	ENSG00000167772
APOD	ENSG00000189058
AQP7	ENSG00000165269
ARHGEF15	ENSG00000198844
ARHGEF38	ENSG00000236699
BTNL9	ENSG00000165810
C14orf180	ENSG00000184601
CALB2	ENSG00000172137
CD248	ENSG00000174807
CD300LG	ENSG00000161649
CFD	ENSG00000197766
CLDN5	ENSG00000184113
CLDN8	ENSG00000156284
CLEC3A	ENSG00000166509
CMA1	ENSG00000092009
CRISPLD1	ENSG00000121005
CX3CL1	ENSG00000006210
CYP4Z1	ENSG00000186160
DEPP1	ENSG00000165507
DHRS2	ENSG00000100867
FAM180B	ENSG00000196666
FASN	ENSG00000169710
GABRP	ENSG00000094755
GJC3	ENSG00000176402
GLYATL2	ENSG00000156689
GPBAR1	ENSG00000179921
GPIHBP1	ENSG00000277494
GSC	ENSG00000133937
H2AC11	ENSG00000196787
H2AC8	ENSG00000277075
HRCT1	ENSG00000196196
IGHJ5	ENSG00000242472
IGHV1-45	ENSG00000211961
IGLJ5	ENSG00000211681
IGLV3-22	ENSG00000211661
IL20RA	ENSG00000016402
INHBB	ENSG00000163083
INSYN2B	ENSG00000204767
IRX1	ENSG00000170549
IRX2	ENSG00000170561
IRX5	ENSG00000176842
JCHAIN	ENSG00000132465
KIT	ENSG00000157404
KRT17	ENSG00000128422
LGALS12	ENSG00000133317
MAP1LC3C	ENSG00000197769
MEOX1	ENSG00000005102
MIA	ENSG00000261857
MMP27	ENSG00000137675
MTARC1	ENSG00000186205
MYEOV	ENSG00000172927
NOTCH4	ENSG00000204301
PLIN4	ENSG00000167676
PNLIPRP3	ENSG00000203837
PNPLA2	ENSG00000177666
RAB6C	ENSG00000222014
RBP7	ENSG00000162444
SEMA3G	ENSG00000010319
SFRP1	ENSG00000104332
SHISA2	ENSG00000180730
SIGLEC15	ENSG00000197046
SLC19A3	ENSG00000135917
SMIM34B	ENSG00000278961
SPAAR	ENSG00000235387
SRARP	ENSG00000183888
STAC2	ENSG00000141750
TFAP2A	ENSG00000137203
TIMP4	ENSG00000157150
TNFSF11	ENSG00000120659
TNMD	ENSG00000000005
TNN	ENSG00000120332
TRPS1	ENSG00000104447
TTC6	ENSG00000139865
TWIST1	ENSG00000122691
VTCN1	ENSG00000134258
