Gene	Ensembl
OPALIN	ENSG00000197430
MBP	ENSG00000197971
NEUROD2	ENSG00000171532
SLC22A8	ENSG00000149452
NTSR2	ENSG00000169006
MT3	ENSG00000087250
NR2E1	ENSG00000112333
PMP2	ENSG00000147588
RIMBP3B	ENSG00000274600
AC012254.7	ENSG00000288631
C5orf63	ENSG00000164241
TTC9B	ENSG00000174521
WFIKKN2	ENSG00000173714
AC090373.2	ENSG00000288616
PAQR6	ENSG00000160781
AC012254.6	ENSG00000288607
ELOA2	ENSG00000206181
ABCA4	ENSG00000198691
IFNK	ENSG00000147896
ZIC2	ENSG00000043355
ELOA3CP	ENSG00000275553
KIF5A	ENSG00000155980
RIMBP3	ENSG00000275793
AL022312.1	ENSG00000285025
KCNF1	ENSG00000162975
FGF23	ENSG00000118972
NRSN1	ENSG00000152954
CSPG5	ENSG00000114646
ERMN	ENSG00000136541
TRPM3	ENSG00000083067
ENHO	ENSG00000168913
NXNL1	ENSG00000171773
NKAIN4	ENSG00000101198
NWD1	ENSG00000188039
OTX2	ENSG00000165588
SLC13A4	ENSG00000164707
CLDN19	ENSG00000164007
MFRP	ENSG00000235718
MTURN	ENSG00000180354
GPM6A	ENSG00000150625
H3C2	ENSG00000286522
FAM107A	ENSG00000168309
HTR2C	ENSG00000147246
PRND	ENSG00000171864
SNX32	ENSG00000172803
H1-6	ENSG00000187475
PLD5	ENSG00000180287
SIX3	ENSG00000138083
VAT1L	ENSG00000171724
AKR1C8P	ENSG00000264006
PLLP	ENSG00000102934
SLC1A3	ENSG00000079215
ARMC3	ENSG00000165309
CCK	ENSG00000187094
HEPACAM	ENSG00000165478
LINC00634	ENSG00000205704
PRLR	ENSG00000113494
SLC39A12	ENSG00000148482
TOGARAM2	ENSG00000189350
ZNF354B	ENSG00000178338
BAALC	ENSG00000164929
H3-4	ENSG00000168148
KCNJ13	ENSG00000115474
PHACTR3	ENSG00000087495
S100B	ENSG00000160307
SLC1A2	ENSG00000110436
SLC25A18	ENSG00000182902
SLC5A5	ENSG00000105641
AC084756.2	ENSG00000288645
BGLAP	ENSG00000242252
CCDC114	ENSG00000105479
CERS1	ENSG00000223802
CLDND1	ENSG00000080822
CLIC6	ENSG00000159212
DNAH12	ENSG00000174844
DTNA	ENSG00000134769
F5	ENSG00000198734
H1-5	ENSG00000184357
KIAA2012	ENSG00000182329
LRRC18	ENSG00000165383
MAP3K15	ENSG00000180815
PLCG2	ENSG00000197943
PLEKHB1	ENSG00000021300
RIBC2	ENSG00000128408
SLC22A17	ENSG00000092096
SLCO1C1	ENSG00000139155
STRA8	ENSG00000146857
TMEM72	ENSG00000187783
TRMT9B	ENSG00000250305
TTR	ENSG00000118271
YIPF4	ENSG00000119820
ZBBX	ENSG00000169064
AC007325.4	ENSG00000278817
AL160272.2	ENSG00000285082
ANKRD18B	ENSG00000230453
ATP13A5	ENSG00000187527
ATP2B3	ENSG00000067842
CRPPA	ENSG00000214960
DLEU7	ENSG00000186047
DLL3	ENSG00000090932
DNAH11	ENSG00000105877
FOCAD	ENSG00000188352
GAREM2	ENSG00000157833
H2BC10	ENSG00000278588
KCNA5	ENSG00000130037
KCNE1	ENSG00000180509
KCNJ9	ENSG00000162728
LGI1	ENSG00000108231
LHX2	ENSG00000106689
LMX1A	ENSG00000162761
MAP3K19	ENSG00000176601
MLC1	ENSG00000100427
NIM1K	ENSG00000177453
RGS9BP	ENSG00000186326
RND2	ENSG00000108830
SCHIP1	ENSG00000151967
SFRP5	ENSG00000120057
SLC25A41	ENSG00000181240
SLC4A2	ENSG00000164889
SLC6A20	ENSG00000163817
SOHLH1	ENSG00000165643
TTLL10	ENSG00000162571
AC007325.2	ENSG00000277196
AC007906.2	ENSG00000277639
AC233723.1	ENSG00000262165
AHCYL2	ENSG00000158467
ANKUB1	ENSG00000206199
BEST4	ENSG00000142959
C1orf158	ENSG00000157330
C9orf24	ENSG00000164972
CFAP100	ENSG00000163885
CFAP43	ENSG00000197748
CFAP99	ENSG00000206113
CMTM5	ENSG00000166091
CROCC2	ENSG00000226321
CUX2	ENSG00000111249
DNAH9	ENSG00000007174
DNAI1	ENSG00000122735
EPHA8	ENSG00000070886
FABP7	ENSG00000164434
GABRA3	ENSG00000011677
GCK	ENSG00000106633
GPR162	ENSG00000250510
GPR85	ENSG00000164604
GRM8	ENSG00000179603
KCTD4	ENSG00000180332
LRRC43	ENSG00000158113
LRRC9	ENSG00000131951
MSANTD3-TMEFF1	ENSG00000251349
NECAB1	ENSG00000123119
NEK5	ENSG00000197168
OLFM1	ENSG00000130558
PEG3	ENSG00000198300
PHACTR2	ENSG00000112419
PPP1R1B	ENSG00000131771
PRSS48	ENSG00000189099
RSPH4A	ENSG00000111834
SDR42E2	ENSG00000183921
SEPTIN4	ENSG00000108387
SLC16A12	ENSG00000152779
SPAG8	ENSG00000137098
TCEAL5	ENSG00000204065
TMEM132A	ENSG00000006118
TTLL9	ENSG00000131044
TYRP1	ENSG00000107165
UGT2A1	ENSG00000173610
WDR49	ENSG00000174776
WDR74	ENSG00000133316
ZNF474	ENSG00000164185
AIFM3	ENSG00000183773
ANKRD45	ENSG00000183831
ASPHD1	ENSG00000174939
C5orf49	ENSG00000215217
CA11	ENSG00000063180
CCDC13	ENSG00000244607
CCDC190	ENSG00000185860
CFAP73	ENSG00000186710
COL20A1	ENSG00000101203
COL9A1	ENSG00000112280
DAW1	ENSG00000123977
DGKI	ENSG00000157680
FAM124A	ENSG00000150510
FBXO2	ENSG00000116661
FO393400.1	ENSG00000285382
GAS2L2	ENSG00000270765
H2AC20	ENSG00000184260
HOATZ	ENSG00000183644
IFITM10	ENSG00000244242
IHO1	ENSG00000173421
KIF1C	ENSG00000129250
LPAR1	ENSG00000198121
LRRIQ1	ENSG00000133640
LYPD1	ENSG00000150551
MED12L	ENSG00000144893
MTRNR2L6	ENSG00000270672
OCA2	ENSG00000104044
OMG	ENSG00000126861
PROS1	ENSG00000184500
PSRC1	ENSG00000134222
SCG3	ENSG00000104112
SH3GL3	ENSG00000140600
SIX4	ENSG00000100625
SLC24A4	ENSG00000140090
SPEF1	ENSG00000101222
TMEM64	ENSG00000180694
TRAJ21	ENSG00000211868
TSC22D4	ENSG00000166925
TUBB2B	ENSG00000137285
ABCC5	ENSG00000114770
AC005551.1	ENSG00000284638
AC020907.6	ENSG00000285526
AC055839.2	ENSG00000286190
AC063943.2	ENSG00000288623
AC068775.1	ENSG00000255641
ACBD7	ENSG00000176244
ACOT11	ENSG00000162390
ADCY9	ENSG00000162104
ADGB	ENSG00000118492
AL035699.1	ENSG00000288529
AL391987.2	ENSG00000204805
ALDOC	ENSG00000109107
ALX4	ENSG00000052850
AP002748.5	ENSG00000256349
ARMC9	ENSG00000135931
ASCL1	ENSG00000139352
ATP2B2	ENSG00000157087
BATF3	ENSG00000123685
BCAS1	ENSG00000064787
BCO1	ENSG00000135697
BMP7	ENSG00000101144
BTBD19	ENSG00000222009
C10orf67	ENSG00000179133
C11orf16	ENSG00000176029
C12orf56	ENSG00000185306
C12orf76	ENSG00000174456
C21orf62	ENSG00000205929
C2orf50	ENSG00000150873
C4orf47	ENSG00000205129
C4orf48	ENSG00000243449
C6orf118	ENSG00000112539
C7orf57	ENSG00000164746
CA14	ENSG00000118298
CADM4	ENSG00000105767
CBX5	ENSG00000094916
CCDC148	ENSG00000153237
CCDC151	ENSG00000198003
CCDC173	ENSG00000154479
CCDC180	ENSG00000197816
CCDC30	ENSG00000186409
CCDC40	ENSG00000141519
CCDC60	ENSG00000183273
CCDC81	ENSG00000149201
CCNO	ENSG00000152669
CDH3	ENSG00000062038
CDHR3	ENSG00000128536
CDKL2	ENSG00000138769
CDKL4	ENSG00000205111
CDKN2A	ENSG00000147889
CEMIP	ENSG00000103888
CFAP157	ENSG00000160401
CFAP161	ENSG00000156206
CFAP45	ENSG00000213085
CFAP46	ENSG00000171811
CFAP47	ENSG00000165164
CFAP52	ENSG00000166596
CFAP54	ENSG00000188596
CFAP57	ENSG00000243710
CFAP61	ENSG00000089101
CFAP65	ENSG00000181378
