Gene	Ensembl
MMP10	ENSG00000166670
MMP26	ENSG00000167346
SCGB1D4	ENSG00000197745
ADAMTS19	ENSG00000145808
TRH	ENSG00000170893
PMEL	ENSG00000185664
MMP11	ENSG00000099953
TEX15	ENSG00000133863
CYP24A1	ENSG00000019186
FRMD7	ENSG00000165694
SFRP4	ENSG00000106483
TCF23	ENSG00000163792
ZCCHC12	ENSG00000174460
ASIC2	ENSG00000108684
PGR	ENSG00000082175
ACTA2	ENSG00000107796
ADAMTSL1	ENSG00000178031
ADRA2C	ENSG00000184160
AGTR2	ENSG00000180772
ALDH1A2	ENSG00000128918
BNC2	ENSG00000173068
C1QTNF6	ENSG00000133466
CACNA1C	ENSG00000151067
CEMIP	ENSG00000103888
CHRDL2	ENSG00000054938
CNN1	ENSG00000130176
COL4A6	ENSG00000197565
CTXN1	ENSG00000178531
DCX	ENSG00000077279
DLX5	ENSG00000105880
DPP6	ENSG00000130226
EMX2	ENSG00000170370
ESR1	ENSG00000091831
FAP	ENSG00000078098
FBXL22	ENSG00000197361
FLNA	ENSG00000196924
GAS1	ENSG00000180447
GNLY	ENSG00000115523
GPR161	ENSG00000143147
HMCN2	ENSG00000148357
HOXA10	ENSG00000253293
HOXA11	ENSG00000005073
HOXD10	ENSG00000128710
HOXD11	ENSG00000128713
HOXD4	ENSG00000170166
HOXD9	ENSG00000128709
HTR2B	ENSG00000135914
IHH	ENSG00000163501
IL17C	ENSG00000124391
ITGA11	ENSG00000137809
KCNAB3	ENSG00000170049
KCNG1	ENSG00000026559
KCNMA1	ENSG00000156113
KCNMB1	ENSG00000145936
KLHL13	ENSG00000003096
LEFTY2	ENSG00000143768
LIMS3	ENSG00000256977
LINGO2	ENSG00000174482
MAMDC2	ENSG00000165072
MCHR1	ENSG00000128285
MEIS3	ENSG00000105419
MFAP5	ENSG00000197614
MOXD1	ENSG00000079931
MRGPRF	ENSG00000172935
OSR2	ENSG00000164920
P3H3	ENSG00000110811
PAEP	ENSG00000122133
PTGER3	ENSG00000050628
PTPRR	ENSG00000153233
RAMP1	ENSG00000132329
RAP2C	ENSG00000123728
RERG	ENSG00000134533
RSPO1	ENSG00000169218
RSPO3	ENSG00000146374
RXFP1	ENSG00000171509
SERTM1	ENSG00000180440
SERTM2	ENSG00000260802
SHISAL1	ENSG00000138944
SNCAIP	ENSG00000064692
SPON2	ENSG00000159674
SSC5D	ENSG00000179954
TAGLN	ENSG00000149591
TGFB1I1	ENSG00000140682
TMEM158	ENSG00000249992
TMEM200A	ENSG00000164484
TMEM200B	ENSG00000253304
TNFAIP8L3	ENSG00000183578
TRPC4	ENSG00000133107
TSPAN2	ENSG00000134198
WNT5A	ENSG00000114251
WT1	ENSG00000184937
ZYX	ENSG00000159840
