Gene	Ensembl
DEFB106A	ENSG00000186579
DEFB105B	ENSG00000186599
DEFB128	ENSG00000185982
DEFB121	ENSG00000204548
SPAG11A	ENSG00000178287
DEFB118	ENSG00000131068
DEFB107B	ENSG00000198129
DEFB110	ENSG00000203970
SPAG11B	ENSG00000164871
DEFB107A	ENSG00000186572
DEFB127	ENSG00000088782
RNASE9	ENSG00000188655
AL603764.2	ENSG00000286135
DEFB104A	ENSG00000176782
DEFB106B	ENSG00000187082
DEFB129	ENSG00000125903
WFDC8	ENSG00000158901
DEFB114	ENSG00000177684
CST11	ENSG00000125831
DEFB113	ENSG00000214642
WFDC9	ENSG00000180205
WFDC10A	ENSG00000180305
TEDDM1	ENSG00000203730
DEFB123	ENSG00000180424
CST9L	ENSG00000101435
RNASE12	ENSG00000258436
DEFB126	ENSG00000125788
EDDM3B	ENSG00000181552
SPINT4	ENSG00000149651
ADAM7	ENSG00000069206
LIPI	ENSG00000188992
DEFB133	ENSG00000214643
MAGEB3	ENSG00000198798
CLPSL2	ENSG00000196748
RNASE13	ENSG00000206150
MAGEB4	ENSG00000120289
LCN8	ENSG00000204001
CLPSL1	ENSG00000204140
DEFB108B	ENSG00000184276
NPFF	ENSG00000139574
EPPIN	ENSG00000101448
EPPIN-WFDC6	ENSG00000249139
SLC22A11	ENSG00000168065
EDDM13	ENSG00000267710
LCN6	ENSG00000267206
DEFB112	ENSG00000180872
BSPH1	ENSG00000188334
DEFB135	ENSG00000205883
WFDC13	ENSG00000168634
ELSPBP1	ENSG00000169393
PRR23D1	ENSG00000255251
PATE3	ENSG00000236027
PRR23D2	ENSG00000255378
CD52	ENSG00000169442
AC133551.1	ENSG00000274175
TP53TG3B	ENSG00000261509
BRS3	ENSG00000102239
DEFB130A	ENSG00000232948
DEFB130B	ENSG00000233050
MUC15	ENSG00000169550
CRISP1	ENSG00000124812
LRCOL1	ENSG00000204583
NPC2	ENSG00000119655
POU3F3	ENSG00000198914
ANO3	ENSG00000134343
DEFB131B	ENSG00000225805
TP53TG3F	ENSG00000278848
EDDM3A	ENSG00000181562
ROS1	ENSG00000047936
TRDV3	ENSG00000256590
WFDC11	ENSG00000180083
CES5A	ENSG00000159398
NXPE2	ENSG00000204361
CDY2A	ENSG00000182415
GPX6	ENSG00000198704
OVCH2	ENSG00000183378
PRYP3	ENSG00000169763
RBM11	ENSG00000185272
SPINK2	ENSG00000128040
SRD5A2	ENSG00000277893
DNAJC5G	ENSG00000163793
MMP21	ENSG00000154485
SCGB1D4	ENSG00000197745
KRT74	ENSG00000170484
LCN12	ENSG00000184925
PATE2	ENSG00000196844
BMX	ENSG00000102010
LEMD1	ENSG00000186007
DEFB131A	ENSG00000186146
TRBV7-2	ENSG00000282939
AKR1C8P	ENSG00000264006
DEFB115	ENSG00000215547
DEFB125	ENSG00000178591
DEFB132	ENSG00000186458
SPINK13	ENSG00000214510
ABCB5	ENSG00000004846
MAGEH1	ENSG00000187601
PATE1	ENSG00000171053
ADGRG2	ENSG00000173698
USP51	ENSG00000247746
ZNF705D	ENSG00000215343
ADCY8	ENSG00000155897
AL163195.3	ENSG00000259060
AP1S2	ENSG00000182287
CITED1	ENSG00000125931
METTL21C	ENSG00000139780
RNASE11	ENSG00000173464
SCGB2A1	ENSG00000124939
SMIM24	ENSG00000095932
TDRD12	ENSG00000173809
WFDC6	ENSG00000243543
ADAM28	ENSG00000042980
AGRP	ENSG00000159723
AL133500.1	ENSG00000285547
DEFB119	ENSG00000180483
DEFB134	ENSG00000205882
GPX5	ENSG00000224586
HDC	ENSG00000140287
IGHV2OR16-5	ENSG00000259303
KIAA1210	ENSG00000250423
PAGE4	ENSG00000101951
PKHD1	ENSG00000170927
SARDH	ENSG00000123453
SPATS1	ENSG00000249481
SPINT3	ENSG00000101446
ASIP	ENSG00000101440
CAPN6	ENSG00000077274
EIF4E1B	ENSG00000175766
EMILIN3	ENSG00000183798
ENPP5	ENSG00000112796
FAM178B	ENSG00000168754
GLOD5	ENSG00000171433
GOLGA8O	ENSG00000206127
GPR137C	ENSG00000180998
HOXD3	ENSG00000128652
KRTAP5-10	ENSG00000204572
MAGEA11	ENSG00000185247
NXF2B	ENSG00000269437
PAX2	ENSG00000075891
PGAP2	ENSG00000148985
RCN1	ENSG00000049449
SLC16A12	ENSG00000152779
SLC30A3	ENSG00000115194
TRAJ22	ENSG00000211867
TTLL9	ENSG00000131044
ARHGAP40	ENSG00000124143
BASP1	ENSG00000176788
CCN6	ENSG00000112761
CDK15	ENSG00000138395
CLCN5	ENSG00000171365
COL2A1	ENSG00000139219
DCSTAMP	ENSG00000164935
HOXB7	ENSG00000260027
MCOLN3	ENSG00000055732
NXF2	ENSG00000269405
PPM1J	ENSG00000155367
SMIM10L2A	ENSG00000178947
TEX30	ENSG00000151287
TMEM64	ENSG00000180694
AC011530.1	ENSG00000268434
AC244517.10	ENSG00000279983
ACOXL	ENSG00000153093
