Gene	Ensembl
TMPRSS11D	ENSG00000153802
CAPN14	ENSG00000214711
IL36A	ENSG00000136694
KLK12	ENSG00000186474
UGT1A7	ENSG00000244122
DYNAP	ENSG00000178690
KRT32	ENSG00000108759
S100A7A	ENSG00000184330
UNC93A	ENSG00000112494
IGFL1	ENSG00000188293
KRT4	ENSG00000170477
MYH8	ENSG00000133020
CSTB	ENSG00000160213
KRT24	ENSG00000167916
TGM3	ENSG00000125780
FAM25C	ENSG00000276430
IL36G	ENSG00000136688
LYPD2	ENSG00000197353
MUC22	ENSG00000261272
PAX9	ENSG00000198807
FAM83C	ENSG00000125998
GJB5	ENSG00000189280
HEPHL1	ENSG00000181333
PADI1	ENSG00000142623
PADI3	ENSG00000142619
RRM2	ENSG00000171848
SERPINB3	ENSG00000057149
UPK3B	ENSG00000243566
ADH7	ENSG00000196344
ALDH3B2	ENSG00000132746
ANXA8L1	ENSG00000264230
BNIPL	ENSG00000163141
CFAP20DC	ENSG00000163689
DEFB4A	ENSG00000171711
DEFB4B	ENSG00000177257
DSC3	ENSG00000134762
E2F2	ENSG00000007968
EPGN	ENSG00000182585
EPHA1	ENSG00000146904
FAM3D	ENSG00000198643
FOXN1	ENSG00000109101
GBP6	ENSG00000183347
IFFO2	ENSG00000169991
IL20RB	ENSG00000174564
IL36B	ENSG00000136696
IL36RN	ENSG00000136695
IVL	ENSG00000163207
KLK7	ENSG00000169035
KRT15	ENSG00000171346
KRT5	ENSG00000186081
KRT6A	ENSG00000205420
LCN1	ENSG00000160349
NHLH2	ENSG00000177551
PGLYRP4	ENSG00000163218
PLAC8	ENSG00000145287
RAET1L	ENSG00000155918
RNASE7	ENSG00000165799
S100A7	ENSG00000143556
SERPINB4	ENSG00000206073
SFTA2	ENSG00000196260
SLURP1	ENSG00000126233
SOX21	ENSG00000125285
SPRR1A	ENSG00000169474
SPRR2F	ENSG00000244094
TGM1	ENSG00000092295
TMPRSS11E	ENSG00000087128
ADGRF1	ENSG00000153292
ARHGAP40	ENSG00000124143
ATP12A	ENSG00000075673
C10orf99	ENSG00000188373
