Gene	Ensembl
OVGP1	ENSG00000085465
LDLRAD1	ENSG00000203985
DCDC2B	ENSG00000222046
SRD5A2	ENSG00000277893
SCGB1D4	ENSG00000197745
TTC16	ENSG00000167094
FAM183A	ENSG00000186973
CCDC17	ENSG00000159588
FAM166B	ENSG00000215187
KCNRG	ENSG00000198553
LRRC46	ENSG00000141294
SNTN	ENSG00000188817
TTC29	ENSG00000137473
APOBEC4	ENSG00000173627
ARMC3	ENSG00000165309
C1orf194	ENSG00000179902
CFAP206	ENSG00000272514
DYDC2	ENSG00000133665
TOGARAM2	ENSG00000189350
ANKRD66	ENSG00000230062
CDHR4	ENSG00000187492
DYNLRB2	ENSG00000168589
FAM216B	ENSG00000179813
MC4R	ENSG00000166603
TUBA4B	ENSG00000243910
AC013470.2	ENSG00000226690
AP000812.4	ENSG00000284922
C1orf189	ENSG00000163263
CCDC114	ENSG00000105479
DNAAF6	ENSG00000080572
DNAH12	ENSG00000174844
KIAA2012	ENSG00000182329
LRRC18	ENSG00000165383
RIBC2	ENSG00000128408
SLC23A1	ENSG00000170482
STOML3	ENSG00000133115
ZBBX	ENSG00000169064
C1orf87	ENSG00000162598
C20orf85	ENSG00000124237
C22orf15	ENSG00000169314
CCDC33	ENSG00000140481
CFAP53	ENSG00000172361
DNAAF3	ENSG00000167646
KCNE1	ENSG00000180509
LRRC10B	ENSG00000204950
MAP3K19	ENSG00000176601
SPATS1	ENSG00000249481
TTLL10	ENSG00000162571
ZMYND10	ENSG00000004838
AC007906.2	ENSG00000277639
AC117457.1	ENSG00000275163
ANKUB1	ENSG00000206199
BEST4	ENSG00000142959
C11orf97	ENSG00000257057
C16orf71	ENSG00000166246
C1orf158	ENSG00000157330
C1QTNF8	ENSG00000184471
C9orf24	ENSG00000164972
CCDC103	ENSG00000167131
CCDC78	ENSG00000162004
CFAP100	ENSG00000163885
CFAP43	ENSG00000197748
CFAP99	ENSG00000206113
CIBAR2	ENSG00000153789
CRISP3	ENSG00000096006
CROCC2	ENSG00000226321
DNAH9	ENSG00000007174
DNAI1	ENSG00000122735
DTHD1	ENSG00000197057
ECT2L	ENSG00000203734
EFHB	ENSG00000163576
GJB7	ENSG00000164411
LRRC43	ENSG00000158113
NEK5	ENSG00000197168
PIFO	ENSG00000173947
PPP1R42	ENSG00000178125
PRSS33	ENSG00000103355
RIIAD1	ENSG00000178796
RSPH1	ENSG00000160188
RSPH4A	ENSG00000111834
SDR42E2	ENSG00000183921
SFRP4	ENSG00000106483
SPAG8	ENSG00000137098
SYT10	ENSG00000110975
TCF23	ENSG00000163792
TEKT1	ENSG00000167858
TEKT2	ENSG00000092850
TMEM190	ENSG00000160472
TTC25	ENSG00000204815
TTLL9	ENSG00000131044
WDR38	ENSG00000136918
WDR49	ENSG00000174776
ZCCHC12	ENSG00000174460
ZNF474	ENSG00000164185
ANKRD45	ENSG00000183831
C5orf49	ENSG00000215217
CAPSL	ENSG00000152611
CCDC13	ENSG00000244607
CCDC170	ENSG00000120262
CCDC65	ENSG00000139537
CFAP299	ENSG00000197826
CFAP73	ENSG00000186710
DAW1	ENSG00000123977
FAM81B	ENSG00000153347
GAS2L2	ENSG00000270765
GSTA3	ENSG00000174156
HOATZ	ENSG00000183644
KIF19	ENSG00000196169
LMNTD1	ENSG00000152936
LRRIQ1	ENSG00000133640
LYPD1	ENSG00000150551
MUC16	ENSG00000181143
OBP2A	ENSG00000122136
PGR	ENSG00000082175
PLPPR3	ENSG00000129951
PRRT3	ENSG00000163704
SMIM34A	ENSG00000243627
SPEF1	ENSG00000101222
TMEM231	ENSG00000205084
ZNF556	ENSG00000172000
ADGB	ENSG00000118492
ADGRF2	ENSG00000164393
ADGRG4	ENSG00000156920
AGBL2	ENSG00000165923
AGR3	ENSG00000173467
AK7	ENSG00000140057
AK8	ENSG00000165695
AKAP14	ENSG00000186471
AL121899.2	ENSG00000286022
ALDH1A2	ENSG00000128918
ALOX15	ENSG00000161905
ANKDD1B	ENSG00000189045
ANKFN1	ENSG00000153930
ARMC4	ENSG00000169126
ARMH1	ENSG00000198520
C10orf67	ENSG00000179133
C10orf95	ENSG00000120055
C11orf16	ENSG00000176029
C11orf96	ENSG00000187479
C1orf141	ENSG00000203963
C21orf58	ENSG00000160298
C2orf50	ENSG00000150873
C4orf47	ENSG00000205129
C6orf118	ENSG00000112539
C7orf57	ENSG00000164746
C8orf34	ENSG00000165084
C9orf116	ENSG00000160345
C9orf135	ENSG00000204711
CABCOCO1	ENSG00000183346
CAPS	ENSG00000105519
CATIP	ENSG00000158428
CCDC113	ENSG00000103021
CCDC146	ENSG00000135205
CCDC153	ENSG00000248712
CCDC187	ENSG00000260220
CCDC198	ENSG00000100557
CCDC60	ENSG00000183273
CCDC81	ENSG00000149201
CD164L2	ENSG00000174950
CDC20B	ENSG00000164287
CDHR3	ENSG00000128536
CES4A	ENSG00000172824
CETN2	ENSG00000147400
CFAP126	ENSG00000188931
CFAP157	ENSG00000160401
CFAP161	ENSG00000156206
CFAP221	ENSG00000163075
CFAP251	ENSG00000158023
CFAP300	ENSG00000137691
CFAP45	ENSG00000213085
CFAP47	ENSG00000165164
CFAP52	ENSG00000166596
CFAP57	ENSG00000243710
CFAP58	ENSG00000120051
CFAP65	ENSG00000181378
CFAP74	ENSG00000142609
CFAP77	ENSG00000188523
CFAP91	ENSG00000183833
CFAP94	ENSG00000118307
CFAP97D2	ENSG00000283361
CNGA4	ENSG00000132259
CRTAC1	ENSG00000095713
DACH2	ENSG00000126733
DEFB124	ENSG00000180383
DEUP1	ENSG00000165325
DLEC1	ENSG00000008226
DNAAF1	ENSG00000154099
DNAH10	ENSG00000197653
DNAH2	ENSG00000183914
DNAH3	ENSG00000158486
DNAH6	ENSG00000115423
DNAI2	ENSG00000171595
DNAI3	ENSG00000162643
DNAI4	ENSG00000152763
DNAJB13	ENSG00000187726
DNALI1	ENSG00000163879
DRC1	ENSG00000157856
DRC3	ENSG00000171962
DRC7	ENSG00000159625
EFCAB1	ENSG00000034239
EFCAB10	ENSG00000185055
EFCAB12	ENSG00000172771
EFHC1	ENSG00000096093
EFHC2	ENSG00000183690
ENKUR	ENSG00000151023
ENO4	ENSG00000188316
ERBB4	ENSG00000178568
ERICH3	ENSG00000178965
ESR1	ENSG00000091831
FAM166C	ENSG00000173557
FAM187A	ENSG00000214447
FANK1	ENSG00000203780
FBXO15	ENSG00000141665
FBXO21	ENSG00000135108
FHAD1	ENSG00000142621
FOLR1	ENSG00000110195
FOXJ1	ENSG00000129654
FYB2	ENSG00000187889
GMNC	ENSG00000205835
GRIN3B	ENSG00000116032
HOXA5	ENSG00000106004
HOXA6	ENSG00000106006
HOXC4	ENSG00000198353
HOXC5	ENSG00000172789
HOXC6	ENSG00000197757
IL5RA	ENSG00000091181
IQCD	ENSG00000166578
IQCG	ENSG00000114473
KCNE1B	ENSG00000276289
KCNMB2	ENSG00000197584
LGR5	ENSG00000139292
LIMS3	ENSG00000256977
LONRF2	ENSG00000170500
LPAR3	ENSG00000171517
LRGUK	ENSG00000155530
LRRC23	ENSG00000010626
LRRC71	ENSG00000160838
LRRC74B	ENSG00000187905
LRTOMT	ENSG00000184154
MAPK15	ENSG00000181085
MDH1B	ENSG00000138400
MEGF11	ENSG00000157890
MEIG1	ENSG00000197889
MNS1	ENSG00000138587
MORN3	ENSG00000139714
MORN5	ENSG00000185681
MROH9	ENSG00000117501
MS4A8	ENSG00000166959
MSLN	ENSG00000102854
MYOCOS	ENSG00000283683
NELL2	ENSG00000184613
NHLRC4	ENSG00000257108
NME5	ENSG00000112981
NME9	ENSG00000181322
NUP62CL	ENSG00000198088
NXF3	ENSG00000147206
ODF3B	ENSG00000177989
OSCP1	ENSG00000116885
OSR2	ENSG00000164920
PACRG	ENSG00000112530
PLEKHG7	ENSG00000187510
PNOC	ENSG00000168081
PPIL6	ENSG00000185250
PPP1R36	ENSG00000165807
PRR29	ENSG00000224383
PRRT1B	ENSG00000283526
PTGIS	ENSG00000124212
PTPRT	ENSG00000196090
RAB36	ENSG00000100228
RABL2A	ENSG00000144134
RARRES1	ENSG00000118849
RIBC1	ENSG00000158423
RLN2	ENSG00000107014
RSPH10B	ENSG00000155026
RSPH10B2	ENSG00000169402
RSPH9	ENSG00000172426
SAXO2	ENSG00000188659
SERTM1	ENSG00000180440
SIAH3	ENSG00000215475
SLC27A6	ENSG00000113396
SLITRK3	ENSG00000121871
SLITRK5	ENSG00000165300
SMIM6	ENSG00000259120
SOX3	ENSG00000134595
SPAG6	ENSG00000077327
SPATA18	ENSG00000163071
STMND1	ENSG00000230873
TCTE1	ENSG00000146221
TCTEX1D1	ENSG00000152760
TCTEX1D4	ENSG00000188396
TMEM212	ENSG00000186329
TMEM232	ENSG00000186952
TMPRSS3	ENSG00000160183
TP73	ENSG00000078900
TPPP3	ENSG00000159713
TRANK1	ENSG00000168016
TSNAXIP1	ENSG00000102904
UBXN10	ENSG00000162543
UMODL1	ENSG00000177398
VTCN1	ENSG00000134258
VWA3A	ENSG00000175267
VWA3B	ENSG00000168658
WDR54	ENSG00000005448
WDR77	ENSG00000116455
WDR93	ENSG00000140527
WT1	ENSG00000184937
ZMYND12	ENSG00000066185
