Gene	Ensembl
FGF19	ENSG00000162344
TM4SF4	ENSG00000169903
UGT2B15	ENSG00000196620
SLC17A4	ENSG00000146039
EPS8L3	ENSG00000198758
VNN1	ENSG00000112299
CHST4	ENSG00000140835
ERN2	ENSG00000134398
CCL20	ENSG00000115009
CXCL6	ENSG00000124875
FGF5	ENSG00000138675
IGLV5-37	ENSG00000211654
MOGAT1	ENSG00000124003
CAPN12	ENSG00000182472
ONECUT1	ENSG00000169856
AC024598.1	ENSG00000285837
AC107959.5	ENSG00000284956
ACE2	ENSG00000130234
ADAMTS14	ENSG00000138316
ALKAL1	ENSG00000196711
ANXA13	ENSG00000104537
ANXA4	ENSG00000196975
ARL14	ENSG00000179674
ATP10B	ENSG00000118322
B3GALT2	ENSG00000162630
CCKAR	ENSG00000163394
CFTR	ENSG00000001626
CHRDL2	ENSG00000054938
CLDN2	ENSG00000165376
COL1A1	ENSG00000108821
COL1A2	ENSG00000164692
COL3A1	ENSG00000168542
COLEC11	ENSG00000118004
CPA3	ENSG00000163751
CPXM1	ENSG00000088882
CRLF2	ENSG00000205755
CTHRC1	ENSG00000164932
DEPDC1B	ENSG00000035499
DUOX2	ENSG00000140279
DUOXA2	ENSG00000140274
F2RL2	ENSG00000164220
FAM180A	ENSG00000189320
FNDC1	ENSG00000164694
GCNT3	ENSG00000140297
GEM	ENSG00000164949
GLP2R	ENSG00000065325
GPBAR1	ENSG00000179921
GPX2	ENSG00000176153
GREM1	ENSG00000166923
GREM2	ENSG00000180875
IGHV2-26	ENSG00000211951
IGHV3-66	ENSG00000211972
IGKV1D-16	ENSG00000241244
INHBA	ENSG00000122641
LCN2	ENSG00000148346
LGALS2	ENSG00000100079
LIF	ENSG00000128342
LUM	ENSG00000139329
MMP1	ENSG00000196611
MMP2	ENSG00000087245
MMP7	ENSG00000137673
MUC3A	ENSG00000169894
NCMAP	ENSG00000184454
OLFML2B	ENSG00000162745
ONECUT2	ENSG00000119547
PLD1	ENSG00000075651
PTPRH	ENSG00000080031
SFRP2	ENSG00000145423
SLC9A3	ENSG00000066230
SMIM31	ENSG00000248771
SPON1	ENSG00000262655
SPP1	ENSG00000118785
STMND1	ENSG00000230873
SYT13	ENSG00000019505
TMEM86B	ENSG00000180089
TNFSF18	ENSG00000120337
TRAJ59	ENSG00000211832
UGT1A10	ENSG00000242515
UGT1A5	ENSG00000240224
WNT7A	ENSG00000154764
ZPLD1	ENSG00000170044
