Gene	Ensembl
MYL7	ENSG00000106631
NPPA	ENSG00000175206
NPPB	ENSG00000120937
TNNI3	ENSG00000129991
MYBPC3	ENSG00000134571
TNNT2	ENSG00000118194
NMRK2	ENSG00000077009
FBXO40	ENSG00000163833
MYL2	ENSG00000111245
MYH7	ENSG00000092054
BMP10	ENSG00000163217
DHRS7C	ENSG00000184544
PPP1R3A	ENSG00000154415
ANKRD2	ENSG00000165887
UNC45B	ENSG00000141161
LRRC10	ENSG00000198812
PERM1	ENSG00000187642
MYH6	ENSG00000197616
ACTN2	ENSG00000077522
HRC	ENSG00000130528
CKMT2	ENSG00000131730
MYL4	ENSG00000198336
TCAP	ENSG00000173991
COX6A2	ENSG00000156885
STYXL2	ENSG00000198842
SMCO1	ENSG00000214097
SRL	ENSG00000185739
LMOD2	ENSG00000170807
SMPX	ENSG00000091482
MB	ENSG00000198125
ADPRHL1	ENSG00000153531
TNNC1	ENSG00000114854
FSD2	ENSG00000186628
MYBPHL	ENSG00000221986
TUBA3E	ENSG00000152086
SBK2	ENSG00000187550
LDB3	ENSG00000122367
RD3L	ENSG00000227729
TMEM182	ENSG00000170417
MYOM1	ENSG00000101605
ACTC1	ENSG00000159251
SPHKAP	ENSG00000153820
COX7A1	ENSG00000161281
SYNPO2L	ENSG00000166317
HSPB3	ENSG00000169271
TXLNB	ENSG00000164440
HCN4	ENSG00000138622
SCN5A	ENSG00000183873
KCNJ4	ENSG00000168135
TUBA3D	ENSG00000075886
ASB11	ENSG00000165192
FABP3	ENSG00000121769
TRIM54	ENSG00000138100
ART3	ENSG00000156219
ATP2A2	ENSG00000174437
PGAM2	ENSG00000164708
ANKRD1	ENSG00000148677
MLIP	ENSG00000146147
RBFOX1	ENSG00000078328
SMYD1	ENSG00000115593
SGCG	ENSG00000102683
TECRL	ENSG00000205678
GABRA4	ENSG00000109158
MYH7B	ENSG00000078814
NEBL	ENSG00000078114
SLC25A4	ENSG00000151729
CHRNE	ENSG00000108556
COQ10A	ENSG00000135469
CORIN	ENSG00000145244
FHL2	ENSG00000115641
HHATL	ENSG00000010282
HSPB7	ENSG00000173641
HTR4	ENSG00000164270
MYOM3	ENSG00000142661
PDE4DIP	ENSG00000178104
PLPP7	ENSG00000160539
SHD	ENSG00000105251
TNNI3K	ENSG00000116783
DTNA	ENSG00000134769
FITM1	ENSG00000139914
MYZAP	ENSG00000263155
NIPSNAP2	ENSG00000146729
NKX2-5	ENSG00000183072
PDLIM5	ENSG00000163110
PTGES3L	ENSG00000267060
AC007325.4	ENSG00000278817
ADAM11	ENSG00000073670
C11orf21	ENSG00000110665
C19orf47	ENSG00000160392
CASQ2	ENSG00000118729
COL23A1	ENSG00000050767
DKK3	ENSG00000050165
HSPB2	ENSG00000170276
KCNA5	ENSG00000130037
KCNE1	ENSG00000180509
MYLK3	ENSG00000140795
MYOM2	ENSG00000036448
NDUFC1	ENSG00000109390
NEXN	ENSG00000162614
PDE1C	ENSG00000154678
PPP1R1C	ENSG00000150722
RBM24	ENSG00000112183
RYR2	ENSG00000198626
SCHIP1	ENSG00000151967
SFRP5	ENSG00000120057
SGCA	ENSG00000108823
SYNPO	ENSG00000171992
TBX20	ENSG00000164532
TRIM55	ENSG00000147573
TSPAN32	ENSG00000064201
XIRP1	ENSG00000168334
ASB18	ENSG00000182177
ASIP	ENSG00000101440
CDIN1	ENSG00000186073
CFL2	ENSG00000165410
CPT1B	ENSG00000205560
DGCR6	ENSG00000183628
FAM155B	ENSG00000130054
GCK	ENSG00000106633
GSG1L	ENSG00000169181
GYS1	ENSG00000104812
LRRC2	ENSG00000163827
METTL11B	ENSG00000203740
MTUS2	ENSG00000132938
MYL12A	ENSG00000101608
NDUFB10	ENSG00000140990
PACSIN3	ENSG00000165912
PPP2R3A	ENSG00000073711
PPP2R3B	ENSG00000167393
PTP4A3	ENSG00000184489
PXDNL	ENSG00000147485
RRAD	ENSG00000166592
SLC4A3	ENSG00000114923
SMYD2	ENSG00000143499
TENM2	ENSG00000145934
TYRP1	ENSG00000107165
UBE2QL1	ENSG00000215218
VDAC3	ENSG00000078668
VWC2	ENSG00000188730
ADAMTS7	ENSG00000136378
ALPK2	ENSG00000198796
ALPK3	ENSG00000136383
ANO5	ENSG00000171714
C1orf105	ENSG00000180999
CCDC141	ENSG00000163492
CHCHD3	ENSG00000106554
CPLX3	ENSG00000213578
CRIP2	ENSG00000182809
DAND5	ENSG00000179284
FITM2	ENSG00000197296
FRMD5	ENSG00000171877
GOT1	ENSG00000120053
IDH2	ENSG00000182054
KIF1C	ENSG00000129250
LRRC14B	ENSG00000185028
MAPKAPK3	ENSG00000114738
MT1HL1	ENSG00000244020
MTLN	ENSG00000175701
PLN	ENSG00000198523
POPDC2	ENSG00000121577
PROS1	ENSG00000184500
RHBDL3	ENSG00000141314
SLC25A11	ENSG00000108528
SLC25A34	ENSG00000162461
ZFP57	ENSG00000204644
ABRA	ENSG00000174429
AC004556.3	ENSG00000276345
ACO2	ENSG00000100412
ADAMTSL2	ENSG00000197859
ADCY5	ENSG00000173175
ADGRD1	ENSG00000111452
ADRB1	ENSG00000043591
AKAP6	ENSG00000151320
AL034430.1	ENSG00000285508
ANKRD9	ENSG00000156381
APOBEC2	ENSG00000124701
AQP7	ENSG00000165269
ASAH1	ENSG00000104763
ASB10	ENSG00000146926
ASB15	ENSG00000146809
ASPG	ENSG00000166183
ASPN	ENSG00000106819
ATP1A3	ENSG00000105409
ATP5MC3	ENSG00000154518
B3GALNT1	ENSG00000169255
B3GALT2	ENSG00000162630
BCO2	ENSG00000197580
BGN	ENSG00000182492
BSG	ENSG00000172270
BVES	ENSG00000112276
BZW2	ENSG00000136261
C14orf180	ENSG00000184601
C17orf107	ENSG00000205710
C1QTNF1	ENSG00000173918
CACNA1C	ENSG00000151067
CAMK2D	ENSG00000145349
CDH13	ENSG00000140945
CDH19	ENSG00000071991
CDH2	ENSG00000170558
CDK18	ENSG00000117266
CHCHD10	ENSG00000250479
CHRM2	ENSG00000181072
CIB2	ENSG00000136425
CLGN	ENSG00000153132
CLIC5	ENSG00000112782
COLQ	ENSG00000206561
COMP	ENSG00000105664
COX5A	ENSG00000178741
COX5B	ENSG00000135940
CPNE5	ENSG00000124772
CRIP3	ENSG00000146215
CRLF1	ENSG00000006016
CRYAB	ENSG00000109846
CRYM	ENSG00000103316
CSDC2	ENSG00000172346
CSRP3	ENSG00000129170
CTAG2	ENSG00000126890
CYGB	ENSG00000161544
CYP2J2	ENSG00000134716
DCUN1D2	ENSG00000150401
DDO	ENSG00000203797
DECR1	ENSG00000104325
DES	ENSG00000175084
DHRS9	ENSG00000073737
DIRAS1	ENSG00000176490
DOK7	ENSG00000175920
DPYSL4	ENSG00000151640
ECH1	ENSG00000104823
EGLN3	ENSG00000129521
EIF1AY	ENSG00000198692
EIF1B	ENSG00000114784
ENAM	ENSG00000132464
ENG	ENSG00000106991
EXOC6B	ENSG00000144036
F8	ENSG00000185010
FAM180A	ENSG00000189320
FBLN2	ENSG00000163520
FGF12	ENSG00000114279
FGF18	ENSG00000156427
FHOD3	ENSG00000134775
FILIP1	ENSG00000118407
FLNC	ENSG00000128591
FOXC2	ENSG00000176692
FPGT-TNNI3K	ENSG00000259030
FRMD3	ENSG00000172159
FRY	ENSG00000073910
GADD45G	ENSG00000130222
GALNT16	ENSG00000100626
GALNT17	ENSG00000185274
GATA4	ENSG00000136574
GCOM1	ENSG00000137878
GJA3	ENSG00000121743
GJA5	ENSG00000265107
GLP1R	ENSG00000112164
GP1BB	ENSG00000203618
GPR17	ENSG00000144230
GPR22	ENSG00000172209
GPR3	ENSG00000181773
GRIN2C	ENSG00000161509
GRIP2	ENSG00000144596
GSN	ENSG00000148180
HACD1	ENSG00000165996
HADHB	ENSG00000138029
HAND1	ENSG00000113196
HEY2	ENSG00000135547
HRH2	ENSG00000113749
HTRA3	ENSG00000170801
INSYN1	ENSG00000205363
IRX4	ENSG00000113430
IRX6	ENSG00000159387
ITGB1BP2	ENSG00000147166
JPH2	ENSG00000149596
KBTBD12	ENSG00000187715
KCNE1B	ENSG00000276289
KCNIP2	ENSG00000120049
KCNJ8	ENSG00000121361
KLHL31	ENSG00000124743
KLHL38	ENSG00000175946
KLHL7	ENSG00000122550
KRBA1	ENSG00000133619
LDHB	ENSG00000111716
LDHD	ENSG00000166816
LMAN1L	ENSG00000140506
LMO7	ENSG00000136153
LMOD3	ENSG00000163380
LPL	ENSG00000175445
LRRC39	ENSG00000122477
LRRC49	ENSG00000137821
LSMEM2	ENSG00000179564
LYNX1	ENSG00000180155
MASP1	ENSG00000127241
MCRIP2	ENSG00000172366
MDH1	ENSG00000014641
MEOX1	ENSG00000005102
METTL7B	ENSG00000170439
MFN2	ENSG00000116688
MPC1	ENSG00000060762
MPP3	ENSG00000161647
MRAS	ENSG00000158186
MT-ATP6	ENSG00000198899
MT-ATP8	ENSG00000228253
MT-CO1	ENSG00000198804
MT-CO2	ENSG00000198712
MT-CO3	ENSG00000198938
MT-CYB	ENSG00000198727
MT-ND1	ENSG00000198888
MT-ND2	ENSG00000198763
MT-ND3	ENSG00000198840
MT-ND4	ENSG00000198886
MT-ND4L	ENSG00000212907
MT-ND5	ENSG00000198786
MT-ND6	ENSG00000198695
MYL3	ENSG00000160808
MYO18B	ENSG00000133454
MYOZ2	ENSG00000172399
MYPN	ENSG00000138347
MZT2A	ENSG00000173272
NAV2	ENSG00000166833
NCAM1	ENSG00000149294
NDRG4	ENSG00000103034
NDUFA3	ENSG00000170906
NDUFA4	ENSG00000189043
NDUFA8	ENSG00000119421
NDUFAB1	ENSG00000004779
NDUFS1	ENSG00000023228
NEK7	ENSG00000151414
NES	ENSG00000132688
NGF	ENSG00000134259
NIBAN1	ENSG00000135842
NMNAT2	ENSG00000157064
NRTN	ENSG00000171119
NTN1	ENSG00000065320
NUDT8	ENSG00000167799
OGDH	ENSG00000105953
OTOGL	ENSG00000165899
OXCT1	ENSG00000083720
P2RX3	ENSG00000109991
PAM	ENSG00000145730
PCOLCE2	ENSG00000163710
PDCD1	ENSG00000188389
PDE3A	ENSG00000172572
PDHA1	ENSG00000131828
PI16	ENSG00000164530
PKP2	ENSG00000057294
PLA2G5	ENSG00000127472
PLAC9	ENSG00000189129
PLCXD3	ENSG00000182836
POPDC3	ENSG00000132429
PPFIA4	ENSG00000143847
PPM1K	ENSG00000163644
PPP1R12B	ENSG00000077157
PPP1R13L	ENSG00000104881
PPP1R14C	ENSG00000198729
PPP1R3G	ENSG00000219607
PRKAA2	ENSG00000162409
PRKAG2	ENSG00000106617
PROB1	ENSG00000228672
PTGDS	ENSG00000107317
RAB33A	ENSG00000134594
RAB9B	ENSG00000123570
RABGAP1L	ENSG00000152061
RBM20	ENSG00000203867
RBPMS2	ENSG00000166831
RCAN2	ENSG00000172348
RETREG1	ENSG00000154153
RILP	ENSG00000167705
RILPL1	ENSG00000188026
RNF103-CHMP3	ENSG00000249884
RNF207	ENSG00000158286
S100A1	ENSG00000160678
SBK3	ENSG00000231274
SCARA5	ENSG00000168079
SCN2B	ENSG00000149575
SDHA	ENSG00000073578
SGCD	ENSG00000170624
SGSM1	ENSG00000167037
SH3RF2	ENSG00000156463
SHISA3	ENSG00000178343
SLC12A7	ENSG00000113504
SLC16A7	ENSG00000118596
SLC25A30	ENSG00000174032
SLC27A6	ENSG00000113396
SLC2A4	ENSG00000181856
SLC41A1	ENSG00000133065
SLC8A1	ENSG00000183023
SLC9A3R2	ENSG00000065054
SMAD6	ENSG00000137834
SMIM1	ENSG00000235169
SORBS2	ENSG00000154556
SOX18	ENSG00000203883
SSTR5	ENSG00000162009
SSUH2	ENSG00000125046
ST8SIA2	ENSG00000140557
STAT4	ENSG00000138378
SYNDIG1	ENSG00000101463
TACC2	ENSG00000138162
TANGO2	ENSG00000183597
TBX5	ENSG00000089225
TCF15	ENSG00000125878
TCF24	ENSG00000261787
THBS4	ENSG00000113296
TLL2	ENSG00000095587
TMEM143	ENSG00000161558
TMEM178B	ENSG00000261115
TMEM71	ENSG00000165071
TMEM88	ENSG00000167874
TNFRSF4	ENSG00000186827
TPM1	ENSG00000140416
TRAJ39	ENSG00000211850
TRAK1	ENSG00000182606
TRDN	ENSG00000186439
TSPAN18	ENSG00000157570
TSPAN9	ENSG00000011105
TTN	ENSG00000155657
TUBA8	ENSG00000183785
UQCR11	ENSG00000127540
UQCRHL	ENSG00000233954
UQCRQ	ENSG00000164405
USP28	ENSG00000048028
VSTM2L	ENSG00000132821
WNK2	ENSG00000165238
XIRP2	ENSG00000163092
