Gene	Ensembl
CCL25	ENSG00000131142
DEFA6	ENSG00000164822
DEFA5	ENSG00000164816
AQP8	ENSG00000103375
TMPRSS15	ENSG00000154646
MLN	ENSG00000096395
RBP2	ENSG00000114113
GIP	ENSG00000159224
S100G	ENSG00000169906
LCT	ENSG00000115850
FABP2	ENSG00000145384
SI	ENSG00000090402
APOB	ENSG00000084674
ALPI	ENSG00000163295
OTC	ENSG00000036473
INSL5	ENSG00000172410
MEP1A	ENSG00000112818
MS4A10	ENSG00000172689
C17orf78	ENSG00000278505
FABP6	ENSG00000170231
TM4SF20	ENSG00000168955
CREB3L3	ENSG00000060566
ABCG5	ENSG00000138075
ISX	ENSG00000175329
BTNL3	ENSG00000168903
MUC17	ENSG00000169876
REG3A	ENSG00000172016
RETNLB	ENSG00000163515
CA1	ENSG00000133742
MEP1B	ENSG00000141434
GUCA2A	ENSG00000197273
NAT2	ENSG00000156006
ABCG8	ENSG00000143921
SLC6A7	ENSG00000011083
ITLN2	ENSG00000158764
SLC6A19	ENSG00000174358
SLC39A5	ENSG00000139540
PYY	ENSG00000131096
TMIGD1	ENSG00000182271
ALDOB	ENSG00000136872
CEACAM18	ENSG00000213822
UGT1A1	ENSG00000241635
APOBEC1	ENSG00000111701
IGLJ4	ENSG00000211680
MS4A18	ENSG00000214782
NOX1	ENSG00000007952
MS4A12	ENSG00000071203
ZG16	ENSG00000174992
ADH1C	ENSG00000248144
MTTP	ENSG00000138823
NEUROG3	ENSG00000122859
NIBAN3	ENSG00000167483
SLC28A1	ENSG00000156222
GUCY2C	ENSG00000070019
MYO1A	ENSG00000166866
DMBT1	ENSG00000187908
LYPD8	ENSG00000259823
MOGAT2	ENSG00000166391
SLC52A1	ENSG00000132517
TMEM236	ENSG00000148483
NTSR1	ENSG00000101188
NXPE2	ENSG00000204361
AOC1	ENSG00000002726
BLK	ENSG00000136573
BTNL8	ENSG00000113303
CHP2	ENSG00000166869
FCRL1	ENSG00000163534
NXPE1	ENSG00000095110
TM6SF2	ENSG00000213996
ADGRG7	ENSG00000144820
AQP10	ENSG00000143595
CPO	ENSG00000144410
FOXA3	ENSG00000170608
CDX1	ENSG00000113722
ERICH4	ENSG00000204978
IGHD2-2	ENSG00000211931
KHK	ENSG00000138030
MALRD1	ENSG00000204740
PHGR1	ENSG00000233041
TBX10	ENSG00000167800
TMEM253	ENSG00000232070
URAD	ENSG00000183463
VIL1	ENSG00000127831
ATOH1	ENSG00000172238
CLCA1	ENSG00000016490
FABP1	ENSG00000163586
HOXB13	ENSG00000159184
MOGAT3	ENSG00000106384
NXPE4	ENSG00000137634
OTOP3	ENSG00000182938
SMIM32	ENSG00000271824
ZNF511-PRAP1	ENSG00000283496
APOA4	ENSG00000110244
GPA33	ENSG00000143167
MUC2	ENSG00000198788
PRAC1	ENSG00000159182
REP15	ENSG00000174236
ANKRD40CL	ENSG00000167117
CDH17	ENSG00000079112
CHST5	ENSG00000135702
GAL3ST2	ENSG00000154252
NLRP6	ENSG00000174885
SLC2A7	ENSG00000197241
SLC51A	ENSG00000163959
SOWAHA	ENSG00000198944
SPINK4	ENSG00000122711
TM4SF4	ENSG00000169903
ASAH2	ENSG00000188611
DHRS11	ENSG00000278535
FCRL2	ENSG00000132704
LEFTY1	ENSG00000243709
LGALS4	ENSG00000171747
MUC12	ENSG00000205277
MUC13	ENSG00000173702
SST	ENSG00000157005
UNC93A	ENSG00000112494
ACY1	ENSG00000243989
CCK	ENSG00000187094
CD19	ENSG00000177455
CDHR2	ENSG00000074276
CEACAM7	ENSG00000007306
ENPP7	ENSG00000182156
GIMD1	ENSG00000250298
HOXD13	ENSG00000128714
IGHV1OR15-9	ENSG00000188403
MAB21L2	ENSG00000181541
MISP	ENSG00000099812
MYO7B	ENSG00000169994
NPC1L1	ENSG00000015520
SLC26A3	ENSG00000091138
ADA	ENSG00000196839
CDX2	ENSG00000165556
CYP2S1	ENSG00000167600
DPEP1	ENSG00000015413
FER1L6	ENSG00000214814
GUCA2B	ENSG00000044012
HTR4	ENSG00000164270
IGHD3-10	ENSG00000211923
KCNJ13	ENSG00000115474
LTB	ENSG00000227507
NKX2-3	ENSG00000119919
NKX3-2	ENSG00000109705
NKX6-3	ENSG00000165066
NR1I2	ENSG00000144852
SLC17A4	ENSG00000146039
SLC23A3	ENSG00000213901
SPIB	ENSG00000269404
TNFRSF13C	ENSG00000159958
TRIM40	ENSG00000204614
UGT2B17	ENSG00000197888
ZNF488	ENSG00000265763
AC008763.3	ENSG00000269711
AMN	ENSG00000166126
BGLAP	ENSG00000242252
CLDN15	ENSG00000106404
EPS8L3	ENSG00000198758
FAM151A	ENSG00000162391
HLA-DOB	ENSG00000241106
HNF4G	ENSG00000164749
HTR1D	ENSG00000179546
IGKV6D-21	ENSG00000225523
IGLJ3	ENSG00000211678
IGLV10-54	ENSG00000211642
LRRC19	ENSG00000184434
MYRFL	ENSG00000166268
NAGS	ENSG00000161653
PDZD3	ENSG00000172367
PLS1	ENSG00000120756
PPP1R14D	ENSG00000166143
SH2D7	ENSG00000183476
SLC23A1	ENSG00000170482
SLC35G1	ENSG00000176273
SLC5A1	ENSG00000100170
SLC5A4	ENSG00000100191
SMIM24	ENSG00000095932
SOAT2	ENSG00000167780
SULT1A2	ENSG00000197165
TM4SF5	ENSG00000142484
TNFRSF13B	ENSG00000240505
TRABD2A	ENSG00000186854
UGT2A3	ENSG00000135220
VNN1	ENSG00000112299
XPNPEP2	ENSG00000122121
ADAMDEC1	ENSG00000134028
ANPEP	ENSG00000166825
APOBR	ENSG00000184730
ARHGAP45	ENSG00000180448
ASIC5	ENSG00000256394
BEST2	ENSG00000039987
BNIP5	ENSG00000189325
CCL15	ENSG00000275718
CD1D	ENSG00000158473
CLEC17A	ENSG00000187912
CYP2W1	ENSG00000073067
DEPDC7	ENSG00000121690
ERN2	ENSG00000134398
FCMR	ENSG00000162894
GNAT3	ENSG00000214415
HAVCR1	ENSG00000113249
HEPACAM2	ENSG00000188175
IGHA2	ENSG00000211890
IGHJ2	ENSG00000211904
IGHV2OR16-5	ENSG00000259303
IGKV3D-15	ENSG00000224041
IGLJ1	ENSG00000211674
IGLJ6	ENSG00000211682
MGAM2	ENSG00000257743
PCK2	ENSG00000100889
PDZD7	ENSG00000186862
PLA2G10	ENSG00000069764
PRAP1	ENSG00000165828
RRM2	ENSG00000171848
SEPTIN1	ENSG00000180096
SFRP5	ENSG00000120057
SLC13A2	ENSG00000007216
SLC17A8	ENSG00000179520
SLC26A2	ENSG00000155850
SLC5A9	ENSG00000117834
SLC6A20	ENSG00000163817
SLC7A9	ENSG00000021488
TMEM238L	ENSG00000263429
TRBJ2-5	ENSG00000211769
TRIM15	ENSG00000204610
ZC3H12D	ENSG00000178199
AC008397.1	ENSG00000284797
AC141272.1	ENSG00000277836
ADGRG5	ENSG00000159618
AHCYL2	ENSG00000158467
AKAP5	ENSG00000179841
ANKS4B	ENSG00000175311
B3GNT6	ENSG00000198488
BAIAP2L2	ENSG00000128298
BANK1	ENSG00000153064
BEST4	ENSG00000142959
C15orf48	ENSG00000166920
C6orf58	ENSG00000184530
CA7	ENSG00000168748
CASP5	ENSG00000137757
CCL24	ENSG00000106178
CD79A	ENSG00000105369
CDHR5	ENSG00000099834
CHRM4	ENSG00000180720
CLECL1	ENSG00000184293
CLRN3	ENSG00000180745
DHDH	ENSG00000104808
DQX1	ENSG00000144045
DTL	ENSG00000143476
EPHA7	ENSG00000135333
EXOC3L4	ENSG00000205436
FAM3D	ENSG00000198643
GCNT1	ENSG00000187210
GLOD5	ENSG00000171433
IGHA1	ENSG00000211895
IGHJ6	ENSG00000211900
IGHM	ENSG00000211899
IGHV3-15	ENSG00000211943
IGHV4-28	ENSG00000211952
IGHV6-1	ENSG00000211933
IGKJ1	ENSG00000211597
IGKV1-39	ENSG00000242371
IGKV1-8	ENSG00000240671
IGLC7	ENSG00000211685
IGLV5-37	ENSG00000211654
IGSF23	ENSG00000216588
IL24	ENSG00000162892
KRT20	ENSG00000171431
LTA	ENSG00000226979
MTCL1	ENSG00000168502
NCR3	ENSG00000204475
NOS2	ENSG00000007171
NPTX1	ENSG00000171246
NR5A2	ENSG00000116833
NTS	ENSG00000133636
OR51E2	ENSG00000167332
OTOP2	ENSG00000183034
PARP15	ENSG00000173200
PDX1	ENSG00000139515
PLAAT2	ENSG00000133328
PLAC8	ENSG00000145287
PLB1	ENSG00000163803
PLEKHS1	ENSG00000148735
PLXNB3	ENSG00000198753
PPP1R1B	ENSG00000131771
PTPRCAP	ENSG00000213402
R3HDML	ENSG00000101074
REG4	ENSG00000134193
SATB2	ENSG00000119042
SLC10A2	ENSG00000125255
SLC15A1	ENSG00000088386
SLC39A4	ENSG00000147804
SP140	ENSG00000079263
TACR2	ENSG00000075073
TBC1D10C	ENSG00000175463
TMC8	ENSG00000167895
