Gene	Ensembl
ACSM2A	ENSG00000183747
SLC12A1	ENSG00000074803
UMOD	ENSG00000169344
UGT1A9	ENSG00000241119
CYP4A11	ENSG00000187048
TMEM174	ENSG00000164325
SLC7A13	ENSG00000164893
SLC22A12	ENSG00000197891
ACSM2B	ENSG00000066813
NPHS2	ENSG00000116218
CRYAA2	ENSG00000276076
KCNJ1	ENSG00000151704
TMEM207	ENSG00000198398
SLC22A2	ENSG00000112499
SLC12A3	ENSG00000070915
AQP2	ENSG00000167580
BHMT	ENSG00000145692
SLC6A18	ENSG00000164363
MCCD1	ENSG00000204511
SLC22A11	ENSG00000168065
SLC22A8	ENSG00000149452
SLC36A2	ENSG00000186335
SLC34A1	ENSG00000131183
SLC17A1	ENSG00000124568
MIOX	ENSG00000100253
AGXT2	ENSG00000113492
FXYD4	ENSG00000150201
DIO1	ENSG00000211452
DPYS	ENSG00000147647
SLC6A19	ENSG00000174358
PRODH2	ENSG00000250799
SLC39A5	ENSG00000139540
TMEM52B	ENSG00000165685
ATP6V1G3	ENSG00000151418
ALDOB	ENSG00000136872
SLC22A6	ENSG00000197901
SLC4A9	ENSG00000113073
OR2T10	ENSG00000184022
CLDN14	ENSG00000159261
ACMSD	ENSG00000153086
POU3F3	ENSG00000198914
SLC28A1	ENSG00000156222
UGT2B7	ENSG00000171234
DMGDH	ENSG00000132837
PRR35	ENSG00000161992
SLC5A2	ENSG00000140675
GCGR	ENSG00000215644
ALDH8A1	ENSG00000118514
AOC1	ENSG00000002726
HAO2	ENSG00000116882
DUSP9	ENSG00000130829
NKAIN4	ENSG00000101198
CLDN19	ENSG00000164007
ERICH4	ENSG00000204978
GLYAT	ENSG00000149124
KHK	ENSG00000138030
PIPOX	ENSG00000179761
SMIM32	ENSG00000271824
ZNF511-PRAP1	ENSG00000283496
GATM	ENSG00000171766
LHX1	ENSG00000273706
PAH	ENSG00000171759
SLC5A10	ENSG00000154025
SOST	ENSG00000167941
TMEM213	ENSG00000214128
CRYAA	ENSG00000160202
EHHADH	ENSG00000113790
PAX8	ENSG00000125618
BHMT2	ENSG00000132840
FMO1	ENSG00000010932
HMX2	ENSG00000188816
REN	ENSG00000143839
SLC22A13	ENSG00000172940
ACY1	ENSG00000243989
AQP6	ENSG00000086159
DAO	ENSG00000110887
NAT8	ENSG00000144035
SLC13A3	ENSG00000158296
UGT2A2	ENSG00000271271
UPP2	ENSG00000007001
C11orf54	ENSG00000182919
CLTRN	ENSG00000147003
DPEP1	ENSG00000015413
HGD	ENSG00000113924
KCP	ENSG00000135253
NOX4	ENSG00000086991
NPHS1	ENSG00000161270
RIDA	ENSG00000132541
SLC23A3	ENSG00000213901
TINAG	ENSG00000137251
AMN	ENSG00000166126
ATP6V0A4	ENSG00000105929
CDH16	ENSG00000166589
CLCNKA	ENSG00000186510
CLDN16	ENSG00000113946
CLEC18A	ENSG00000157322
FAM151A	ENSG00000162391
LRRC19	ENSG00000184434
PDZD3	ENSG00000172367
PTH1R	ENSG00000160801
SLC13A1	ENSG00000081800
SLC23A1	ENSG00000170482
SMIM24	ENSG00000095932
TMEM72	ENSG00000187783
UGT2A3	ENSG00000135220
XPNPEP2	ENSG00000122121
ASS1	ENSG00000130707
BBOX1	ENSG00000129151
BSND	ENSG00000162399
CTXN3	ENSG00000205279
DEPDC7	ENSG00000121690
FMO4	ENSG00000076258
G6PC	ENSG00000131482
GGT2	ENSG00000133475
HAVCR1	ENSG00000113249
PCK2	ENSG00000100889
PKHD1	ENSG00000170927
SLC13A2	ENSG00000007216
SLC22A24	ENSG00000197658
SLC5A8	ENSG00000256870
SLC7A9	ENSG00000021488
TRIM15	ENSG00000204610
UGT1A6	ENSG00000167165
UGT3A1	ENSG00000145626
AC117457.1	ENSG00000275163
ALDH6A1	ENSG00000119711
ANKS4B	ENSG00000175311
BAIAP2L2	ENSG00000128298
CALB1	ENSG00000104327
CLEC18B	ENSG00000140839
CLRN3	ENSG00000180745
CUBN	ENSG00000107611
CYP24A1	ENSG00000019186
CYS1	ENSG00000205795
DEFB1	ENSG00000164825
DHDH	ENSG00000104808
FP565260.4	ENSG00000279493
FRMD7	ENSG00000165694
GGACT	ENSG00000134864
GLOD5	ENSG00000171433
GSTA2	ENSG00000244067
HECW1	ENSG00000002746
IL1RL1	ENSG00000115602
INSRR	ENSG00000027644
KCNJ10	ENSG00000177807
KCNJ16	ENSG00000153822
KMO	ENSG00000117009
KRTAP5-8	ENSG00000241233
LGSN	ENSG00000146166
MFSD4A	ENSG00000174514
NEURL3	ENSG00000163121
PAX2	ENSG00000075891
PDZK1	ENSG00000174827
PDZK1IP1	ENSG00000162366
PTGER1	ENSG00000160951
RIPPLY1	ENSG00000147223
RNF212B	ENSG00000215277
SLC16A12	ENSG00000152779
SLCO4C1	ENSG00000173930
TMEM171	ENSG00000157111
TMEM252	ENSG00000181778
TNFRSF11B	ENSG00000164761
UGT2A1	ENSG00000173610
ACAA1	ENSG00000060971
ACY3	ENSG00000132744
ADGRF1	ENSG00000153292
AGMAT	ENSG00000116771
ASB9	ENSG00000102048
ATP12A	ENSG00000075673
ATP6V0D2	ENSG00000147614
ATP6V1B1	ENSG00000116039
CAMK1G	ENSG00000008118
CLCN5	ENSG00000171365
CLCNKB	ENSG00000184908
CLEC18C	ENSG00000157335
EGF	ENSG00000138798
EMX1	ENSG00000135638
ETNK2	ENSG00000143845
FCAMR	ENSG00000162897
FXYD2	ENSG00000137731
GGTLC3	ENSG00000274252
HNF1A	ENSG00000135100
HSD11B2	ENSG00000176387
PBLD	ENSG00000108187
RHBG	ENSG00000132677
SIM2	ENSG00000159263
SLC16A4	ENSG00000168679
SLC16A9	ENSG00000165449
SLC17A3	ENSG00000124564
SLC22A18AS	ENSG00000254827
SLC34A3	ENSG00000198569
SLC6A12	ENSG00000111181
SLC6A13	ENSG00000010379
SMIM34A	ENSG00000243627
SUCNR1	ENSG00000198829
TMEM61	ENSG00000143001
TRPV5	ENSG00000127412
UNC5CL	ENSG00000124602
ABAT	ENSG00000183044
AC093525.2	ENSG00000260272
ACAD11	ENSG00000240303
ACAT1	ENSG00000075239
ACE2	ENSG00000130234
ACOT4	ENSG00000177465
ACOT6	ENSG00000205669
ACSF2	ENSG00000167107
ACSM3	ENSG00000005187
ADM2	ENSG00000128165
AIF1L	ENSG00000126878
AK4	ENSG00000162433
AL355102.2	ENSG00000258691
ALDH4A1	ENSG00000159423
ALS2CL	ENSG00000178038
ALX1	ENSG00000180318
AMACR	ENSG00000242110
AP001273.2	ENSG00000284057
APELA	ENSG00000248329
ARHGAP24	ENSG00000138639
ARHGAP8	ENSG00000241484
ARHGEF28	ENSG00000214944
ARMC7	ENSG00000125449
ARMH4	ENSG00000139971
ARSF	ENSG00000062096
ARSL	ENSG00000157399
ASPA	ENSG00000108381
ASPDH	ENSG00000204653
ATP1B1	ENSG00000143153
ATP6V1FNB	ENSG00000272899
AVPR2	ENSG00000126895
BCAM	ENSG00000187244
BDH2	ENSG00000164039
BICC1	ENSG00000122870
BICDL1	ENSG00000135127
BPHL	ENSG00000137274
C2CD4A	ENSG00000198535
C3orf85	ENSG00000241224
CA12	ENSG00000074410
CALCR	ENSG00000004948
CCDC150	ENSG00000144395
CCDC198	ENSG00000100557
CCNP	ENSG00000105219
CDC20B	ENSG00000164287
CDH6	ENSG00000113361
CDH9	ENSG00000113100
CGNL1	ENSG00000128849
