Gene	Ensembl
SPP2	ENSG00000072080
AHSG	ENSG00000145192
MBL2	ENSG00000165471
CFHR2	ENSG00000080910
F9	ENSG00000101981
CFHR5	ENSG00000134389
F2	ENSG00000180210
A1BG	ENSG00000121410
APOA2	ENSG00000158874
SERPINC1	ENSG00000117601
APOC4-APOC2	ENSG00000224916
ACSM2A	ENSG00000183747
HPX	ENSG00000110169
ITIH1	ENSG00000055957
ITIH2	ENSG00000151655
SLCO1B1	ENSG00000134538
SERPINA7	ENSG00000123561
HAO1	ENSG00000101323
CFHR3	ENSG00000116785
APOH	ENSG00000091583
CFHR4	ENSG00000134365
FGA	ENSG00000171560
SLC22A1	ENSG00000175003
FGB	ENSG00000171564
UGT1A9	ENSG00000241119
CYP2C8	ENSG00000138115
SLC25A47	ENSG00000140107
APOF	ENSG00000175336
UROC1	ENSG00000159650
CYP4A11	ENSG00000187048
FGG	ENSG00000171557
ORM2	ENSG00000228278
AGXT	ENSG00000172482
CYP1A2	ENSG00000140505
CYP2E1	ENSG00000130649
ADH1A	ENSG00000187758
C9	ENSG00000113600
CFHR1	ENSG00000244414
F12	ENSG00000131187
APOA5	ENSG00000110243
F13B	ENSG00000143278
APOC4	ENSG00000267467
C8A	ENSG00000157131
ORM1	ENSG00000229314
ACSM2B	ENSG00000066813
HRG	ENSG00000113905
INHBC	ENSG00000175189
CYP2A6	ENSG00000255974
SLC17A2	ENSG00000112337
SLC10A1	ENSG00000100652
PLGLB2	ENSG00000125551
SLC22A10	ENSG00000184999
C8B	ENSG00000021852
GBP7	ENSG00000213512
RDH16	ENSG00000139547
UGT2B10	ENSG00000109181
APOB	ENSG00000084674
CRYAA2	ENSG00000276076
ALB	ENSG00000163631
RTP3	ENSG00000163825
OTC	ENSG00000036473
SAA4	ENSG00000148965
UGT2B4	ENSG00000156096
FGF21	ENSG00000105550
SERPINA10	ENSG00000140093
PON1	ENSG00000005421
F7	ENSG00000057593
ITIH3	ENSG00000162267
SERPINA11	ENSG00000186910
HP	ENSG00000257017
INHBE	ENSG00000139269
CPB2	ENSG00000080618
AKR1D1	ENSG00000122787
APOC2	ENSG00000234906
BHMT	ENSG00000145692
CYP7A1	ENSG00000167910
CRP	ENSG00000132693
APCS	ENSG00000132703
CREB3L3	ENSG00000060566
CYP2A7	ENSG00000198077
ABCG5	ENSG00000138075
AMBP	ENSG00000106927
UGT1A4	ENSG00000244474
MASP2	ENSG00000009724
HSD17B13	ENSG00000170509
VTN	ENSG00000109072
SLC38A4	ENSG00000139209
TRPM8	ENSG00000144481
HGFAC	ENSG00000109758
CPN1	ENSG00000120054
LECT2	ENSG00000145826
ANG	ENSG00000214274
SLC17A1	ENSG00000124568
ASGR2	ENSG00000161944
TDO2	ENSG00000151790
CCL16	ENSG00000275152
GDF2	ENSG00000263761
PGLYRP2	ENSG00000161031
SERPINA1	ENSG00000197249
AGXT2	ENSG00000113492
DIO1	ENSG00000211452
ASGR1	ENSG00000141505
BAAT	ENSG00000136881
