Gene	Ensembl
SFTPA1	ENSG00000122852
SFTPC	ENSG00000168484
SFTPA2	ENSG00000185303
SCGB3A2	ENSG00000164265
CLDN18	ENSG00000066405
SFTPB	ENSG00000168878
SFTPD	ENSG00000133661
AGER	ENSG00000204305
ROS1	ENSG00000047936
GGTLC1	ENSG00000149435
MS4A15	ENSG00000166961
MCEMP1	ENSG00000183019
NAPSA	ENSG00000131400
RTKN2	ENSG00000182010
SCGB1A1	ENSG00000149021
FCN3	ENSG00000142748
SLC34A2	ENSG00000157765
SPN	ENSG00000197471
AC008763.3	ENSG00000269711
CSF3R	ENSG00000119535
DNAH12	ENSG00000174844
LAMP3	ENSG00000078081
LST1	ENSG00000204482
APOBR	ENSG00000184730
ARHGAP45	ENSG00000180448
FCN1	ENSG00000085265
FGR	ENSG00000000938
HTR3C	ENSG00000178084
ICAM4	ENSG00000105371
NKX2-1	ENSG00000136352
OSCAR	ENSG00000170909
RASGRF1	ENSG00000058335
SLC22A31	ENSG00000259803
SPI1	ENSG00000066336
ULBP1	ENSG00000111981
UPK3B	ENSG00000243566
CCL18	ENSG00000275385
CLEC7A	ENSG00000172243
COL6A5	ENSG00000172752
DTHD1	ENSG00000197057
IGHJ6	ENSG00000211900
IL1RL1	ENSG00000115602
LILRB2	ENSG00000131042
LRRK2	ENSG00000188906
MYO1F	ENSG00000142347
NCKAP5	ENSG00000176771
PRF1	ENSG00000180644
SFTA2	ENSG00000196260
TBX21	ENSG00000073861
TRGJP2	ENSG00000211688
ALOX5AP	ENSG00000132965
AQP4	ENSG00000171885
CCDC190	ENSG00000185860
CXCL17	ENSG00000189377
DCSTAMP	ENSG00000164935
DOCK2	ENSG00000134516
ITGAX	ENSG00000140678
KCNS3	ENSG00000170745
MSR1	ENSG00000038945
RASAL3	ENSG00000105122
SCGB3A1	ENSG00000161055
A2M	ENSG00000175899
ABCA3	ENSG00000167972
ACOXL	ENSG00000153093
ACP5	ENSG00000102575
ACVRL1	ENSG00000139567
ADAMTS8	ENSG00000134917
ADGRF5	ENSG00000069122
ADRB1	ENSG00000043591
AGR3	ENSG00000173467
AGTR2	ENSG00000180772
ALOX5	ENSG00000012779
ANOS1	ENSG00000011201
BMP3	ENSG00000152785
BPIFA1	ENSG00000198183
C16orf89	ENSG00000153446
C1orf116	ENSG00000182795
C1QB	ENSG00000173369
CACNA2D2	ENSG00000007402
CALCRL	ENSG00000064989
CASS4	ENSG00000087589
CCL3	ENSG00000277632
CCL3L3	ENSG00000276085
CD101	ENSG00000134256
CD274	ENSG00000120217
CD300C	ENSG00000167850
CD300LF	ENSG00000186074
CD68	ENSG00000129226
CD80	ENSG00000121594
CEACAM6	ENSG00000086548
CHIT1	ENSG00000133063
CLDN5	ENSG00000184113
CLEC6A	ENSG00000205846
COX4I2	ENSG00000131055
CPA3	ENSG00000163751
CRTAC1	ENSG00000095713
CSF2	ENSG00000164400
CSF3	ENSG00000108342
CTSH	ENSG00000103811
CYP2F1	ENSG00000197446
CYP4B1	ENSG00000142973
DOK2	ENSG00000147443
DRAM1	ENSG00000136048
EFCC1	ENSG00000114654
EMP2	ENSG00000213853
EPAS1	ENSG00000116016
F2RL3	ENSG00000127533
FCAR	ENSG00000186431
FCGR3A	ENSG00000203747
FGFR4	ENSG00000160867
FMO2	ENSG00000094963
FO681492.1	ENSG00000277758
FOLR1	ENSG00000110195
FPR3	ENSG00000187474
GALNT5	ENSG00000136542
GDF10	ENSG00000266524
GP9	ENSG00000169704
GPRC5A	ENSG00000013588
GPRIN2	ENSG00000204175
HHIP	ENSG00000164161
HLA-DPA1	ENSG00000231389
HLA-DPB1	ENSG00000223865
HLA-DQA1	ENSG00000196735
HLA-DQA2	ENSG00000237541
HLA-DQB1	ENSG00000179344
HLA-DRA	ENSG00000204287
HLA-DRB1	ENSG00000196126
HLA-DRB5	ENSG00000198502
HMCN1	ENSG00000143341
HSPA6	ENSG00000173110
ICAM1	ENSG00000090339
IFI30	ENSG00000216490
IL18R1	ENSG00000115604
INMT	ENSG00000241644
ITGAE	ENSG00000083457
JAML	ENSG00000160593
KCNK17	ENSG00000124780
LAIR1	ENSG00000167613
LILRA6	ENSG00000244482
LILRB3	ENSG00000204577
LILRB4	ENSG00000186818
LPCAT1	ENSG00000153395
LRRN4	ENSG00000125872
LTK	ENSG00000062524
MARCO	ENSG00000019169
MATN3	ENSG00000132031
MRC1	ENSG00000260314
MS4A2	ENSG00000149534
NCF2	ENSG00000116701
NDNF	ENSG00000173376
NKD2	ENSG00000145506
NLRC4	ENSG00000091106
NPNT	ENSG00000168743
OLR1	ENSG00000173391
OVCH1	ENSG00000187950
PHEX	ENSG00000102174
PRRT1B	ENSG00000283526
PRX	ENSG00000105227
PTGIR	ENSG00000160013
RAMP3	ENSG00000122679
RGCC	ENSG00000102760
RHOBTB2	ENSG00000008853
RSPO4	ENSG00000101282
SDR16C5	ENSG00000170786
SIRPB1	ENSG00000101307
SLC11A1	ENSG00000018280
SLC39A8	ENSG00000138821
SLC46A2	ENSG00000119457
SLC6A14	ENSG00000268104
SLCO2A1	ENSG00000174640
SLCO4A1	ENSG00000101187
SMAD6	ENSG00000137834
SMIM41	ENSG00000284791
ST8SIA6	ENSG00000148488
SUSD2	ENSG00000099994
TBX2	ENSG00000121068
TBX4	ENSG00000121075
TBX5	ENSG00000089225
TLR8	ENSG00000101916
TMC2	ENSG00000149488
TMEM100	ENSG00000166292
TMEM125	ENSG00000179178
TMEM74B	ENSG00000125895
TNFRSF6B	ENSG00000243509
TREM1	ENSG00000124731
TREM2	ENSG00000095970
TRPC6	ENSG00000137672
VEGFD	ENSG00000165197
VEPH1	ENSG00000197415
VIPR1	ENSG00000114812
VSIG4	ENSG00000155659
