Gene	Ensembl
CCL25	ENSG00000131142
CD1B	ENSG00000158485
PSMB11	ENSG00000222028
RAG1	ENSG00000166349
TRBV12-5	ENSG00000275158
CD1E	ENSG00000158488
TRBV15	ENSG00000276819
PRSS16	ENSG00000112812
TRAJ61	ENSG00000211831
SH2D1A	ENSG00000183918
TRBV6-1	ENSG00000211706
TRBV14	ENSG00000275743
TRBV12-4	ENSG00000276953
TRAV41	ENSG00000211820
PTCRA	ENSG00000171611
TRBV28	ENSG00000211753
LCE3B	ENSG00000187238
TRBV10-3	ENSG00000275791
TRBV11-3	ENSG00000276597
CD3D	ENSG00000167286
TRAV26-2	ENSG00000211812
TLX1	ENSG00000107807
TRBC1	ENSG00000211751
TRBV11-1	ENSG00000211720
FDCSP	ENSG00000181617
TRAT1	ENSG00000163519
TRBV20-1	ENSG00000211747
TRBV4-1	ENSG00000211710
TRBV12-3	ENSG00000274752
PLA2G2F	ENSG00000158786
IGLJ4	ENSG00000211680
TRAV13-2	ENSG00000211791
TRAV40	ENSG00000211819
CCR9	ENSG00000173585
PLA2G2D	ENSG00000117215
TRBV2	ENSG00000226660
TRBV5-1	ENSG00000211734
TRBV5-5	ENSG00000211725
TRBV3-1	ENSG00000237702
NIBAN3	ENSG00000167483
TRAV2	ENSG00000211776
TRAV22	ENSG00000211802
TRBV13	ENSG00000276405
LEF1	ENSG00000138795
SERPINA9	ENSG00000170054
TMPRSS11D	ENSG00000153802
TRAV34	ENSG00000211813
TRBV5-6	ENSG00000211728
TRDJ3	ENSG00000211828
GRAP2	ENSG00000100351
TBATA	ENSG00000166220
TRAV36DV7	ENSG00000211815
TRDV3	ENSG00000256590
CD3E	ENSG00000198851
TRBV18	ENSG00000276557
TRBV7-4	ENSG00000253409
BLK	ENSG00000136573
CD8A	ENSG00000153563
FCRL1	ENSG00000163534
TRAV10	ENSG00000211784
TRAV21	ENSG00000211801
TRAV39	ENSG00000211818
TRDV1	ENSG00000211804
LCK	ENSG00000182866
TRBV7-7	ENSG00000253291
TRDC	ENSG00000211829
CD8B	ENSG00000172116
IGHD2-2	ENSG00000211931
IL36A	ENSG00000136694
ITK	ENSG00000113263
LCE3C	ENSG00000244057
SPIC	ENSG00000166211
TCF7	ENSG00000081059
TRBV19	ENSG00000211746
TRBV27	ENSG00000211752
H3C2	ENSG00000286522
IGHG2	ENSG00000211893
TCL1A	ENSG00000100721
TRAV1-1	ENSG00000255569
TRAV27	ENSG00000211809
TRAV29DV5	ENSG00000211810
TRBJ1-3	ENSG00000282133
TRBV10-1	ENSG00000211717
TRBV4-2	ENSG00000211745
TRBV7-9	ENSG00000278030
CD1A	ENSG00000158477
DNTT	ENSG00000107447
HMGB2	ENSG00000164104
LCE3A	ENSG00000185962
TRAV17	ENSG00000211797
TRAV18	ENSG00000211798
TRAV23DV6	ENSG00000211803
TRAV8-4	ENSG00000211790
TRAV8-6	ENSG00000211795
CD1C	ENSG00000158481
MCEMP1	ENSG00000183019
MMP9	ENSG00000100985
S100A7A	ENSG00000184330
TRAV38-2DV8	ENSG00000211817
TRAV4	ENSG00000211778
TRBJ1-2	ENSG00000282420
TRBJ1-4	ENSG00000281958
TRBJ1-5	ENSG00000282173
TRBV6-5	ENSG00000211721
TRBV7-2	ENSG00000282939
TTC24	ENSG00000187862
AICDA	ENSG00000111732
CR2	ENSG00000117322
CTSV	ENSG00000136943
CXCL9	ENSG00000138755
FCRL2	ENSG00000132704
THEMIS	ENSG00000172673
TRAV12-3	ENSG00000211794
TRAV14DV4	ENSG00000211792
TRAV16	ENSG00000211796
TRAV19	ENSG00000211799
TRAV24	ENSG00000211805
TRBV30	ENSG00000237254
BTLA	ENSG00000186265
CD19	ENSG00000177455
CD2	ENSG00000116824
CD3G	ENSG00000160654
FAM9C	ENSG00000187268
GZMK	ENSG00000113088
IGHV1OR15-9	ENSG00000188403
IKZF1	ENSG00000185811
KRT76	ENSG00000185069
MYH8	ENSG00000133020
PADI4	ENSG00000159339
SLAMF1	ENSG00000117090
TRAJ12	ENSG00000211877
TRAV25	ENSG00000211806
TRAV8-2	ENSG00000211786
TRAV9-2	ENSG00000211793
TRBJ1-1	ENSG00000282320
ADA	ENSG00000196839
CALN1	ENSG00000183166
CD247	ENSG00000198821
CD72	ENSG00000137101
CXCL13	ENSG00000156234
CYP2U1	ENSG00000155016
IGHD3-10	ENSG00000211923
KRT24	ENSG00000167916
LILRA4	ENSG00000239961
LTB	ENSG00000227507
NKG7	ENSG00000105374
NKX2-3	ENSG00000119919
RGS13	ENSG00000127074
SPIB	ENSG00000269404
SPN	ENSG00000197471
TNFRSF13C	ENSG00000159958
TRAV13-1	ENSG00000211788
TRAV20	ENSG00000211800
TRAV26-1	ENSG00000211807
TRAV38-1	ENSG00000211816
TRBV5-4	ENSG00000230099
AC008763.3	ENSG00000269711
CAMK4	ENSG00000152495
CSF3R	ENSG00000119535
FCRL4	ENSG00000163518
FOLR3	ENSG00000110203
GLYATL1B	ENSG00000255151
H1-5	ENSG00000184357
HLA-DOB	ENSG00000241106
ICOS	ENSG00000163600
