Gene	Ensembl
TSHB	ENSG00000134200
PRL	ENSG00000172179
POMC	ENSG00000115138
GH1	ENSG00000259384
FSHB	ENSG00000131808
GHRHR	ENSG00000106128
LHB	ENSG00000104826
POU1F1	ENSG00000064835
GH2	ENSG00000136487
LHX3	ENSG00000107187
TGFBR3L	ENSG00000260001
DGKK	ENSG00000274588
CHST8	ENSG00000124302
GAL	ENSG00000069482
ARHGAP36	ENSG00000147256
AVPR1B	ENSG00000198049
KCNK12	ENSG00000184261
XKR7	ENSG00000260903
CHGB	ENSG00000089199
BPIFB4	ENSG00000186191
CALY	ENSG00000130643
CGB1	ENSG00000267631
DISP3	ENSG00000204624
NEUROD4	ENSG00000123307
NNAT	ENSG00000053438
SIX3	ENSG00000138083
IGSF1	ENSG00000147255
TBX19	ENSG00000143178
UNC13A	ENSG00000130477
BAIAP3	ENSG00000007516
CDK5R2	ENSG00000171450
CGB5	ENSG00000189052
MYO15A	ENSG00000091536
SLIT1	ENSG00000187122
STX1A	ENSG00000106089
TMEM145	ENSG00000167619
CHRNE	ENSG00000108556
INA	ENSG00000148798
KRT40	ENSG00000204889
RAX	ENSG00000134438
ARC	ENSG00000198576
MAGEL2	ENSG00000254585
NAT16	ENSG00000167011
SCG2	ENSG00000171951
SLC22A17	ENSG00000092096
SLCO1C1	ENSG00000139155
SVOP	ENSG00000166111
SYT5	ENSG00000129990
ZFR2	ENSG00000105278
AC008687.1	ENSG00000267335
ASIC4	ENSG00000072182
ATP8A2	ENSG00000132932
CGA	ENSG00000135346
CHD5	ENSG00000116254
COL22A1	ENSG00000169436
DLL3	ENSG00000090932
DRD2	ENSG00000149295
ECEL1	ENSG00000171551
ELMOD1	ENSG00000110675
KCNH3	ENSG00000135519
LHFPL4	ENSG00000156959
LRRC10B	ENSG00000204950
MAPK8IP2	ENSG00000008735
NACAD	ENSG00000136274
NIM1K	ENSG00000177453
PCSK1N	ENSG00000102109
PDZD7	ENSG00000186862
PNMA8C	ENSG00000277531
PTPRN	ENSG00000054356
RAB3B	ENSG00000169213
SEZ6	ENSG00000063015
SYP	ENSG00000102003
TBXT	ENSG00000164458
TMEM59L	ENSG00000105696
ADGRB3	ENSG00000135298
AMH	ENSG00000104899
AMPH	ENSG00000078053
BRSK1	ENSG00000160469
C1QTNF8	ENSG00000184471
CRHR1	ENSG00000120088
DNAI1	ENSG00000122735
DSCAM	ENSG00000171587
FNDC9	ENSG00000172568
GCK	ENSG00000106633
GDF1	ENSG00000130283
GJB7	ENSG00000164411
GPR50	ENSG00000102195
HLA-G	ENSG00000204632
KIAA0319	ENSG00000137261
KIF1A	ENSG00000130294
KSR2	ENSG00000171435
MAST1	ENSG00000105613
MYT1L	ENSG00000186487
OTOS	ENSG00000178602
PRR36	ENSG00000183248
PRSS50	ENSG00000283706
PTP4A3	ENSG00000184489
RIIAD1	ENSG00000178796
SDR42E2	ENSG00000183921
SLC4A8	ENSG00000050438
SNAP91	ENSG00000065609
STRC	ENSG00000242866
STXBP1	ENSG00000136854
TCEAL5	ENSG00000204065
TMEM179	ENSG00000258986
TTBK1	ENSG00000146216
UCHL1	ENSG00000154277
UGT2A1	ENSG00000173610
UNC80	ENSG00000144406
ABCC8	ENSG00000006071
ACTL6B	ENSG00000077080
ASPHD1	ENSG00000174939
ATCAY	ENSG00000167654
CAMK2N2	ENSG00000163888
CARMIL3	ENSG00000186648
CELSR3	ENSG00000008300
COL11A2	ENSG00000204248
COL2A1	ENSG00000139219
DIRAS3	ENSG00000162595
DLG4	ENSG00000132535
DLK1	ENSG00000185559
DMRTA2	ENSG00000142700
FAM153B	ENSG00000182230
FBLL1	ENSG00000188573
FBXO2	ENSG00000116661
GDAP1L1	ENSG00000124194
GNRHR	ENSG00000109163
GPR61	ENSG00000156097
KHDC1L	ENSG00000256980
LYPD1	ENSG00000150551
MARCHF4	ENSG00000144583
NOL4	ENSG00000101746
NPTX2	ENSG00000106236
PABPC1L2B	ENSG00000184388
PAK3	ENSG00000077264
PCLO	ENSG00000186472
PRRT3	ENSG00000163704
SCG3	ENSG00000104112
SIX6	ENSG00000184302
SLC6A17	ENSG00000197106
SLC7A14	ENSG00000013293
SPTBN4	ENSG00000160460
TMEM130	ENSG00000166448
TMEM61	ENSG00000143001
ABCA7	ENSG00000064687
ADGRD2	ENSG00000180264
AJM1	ENSG00000232434
AP3B2	ENSG00000103723
ASCL1	ENSG00000139352
BEGAIN	ENSG00000183092
BEX1	ENSG00000133169
BEX2	ENSG00000133134
BEX5	ENSG00000184515
BICDL1	ENSG00000135127
BPIFA1	ENSG00000198183
BSCL2	ENSG00000168000
C14orf39	ENSG00000179008
C17orf107	ENSG00000205710
C1QTNF4	ENSG00000172247
C21orf58	ENSG00000160298
C2CD4A	ENSG00000198535
C2orf66	ENSG00000187944
C4orf48	ENSG00000243449
CACNA1B	ENSG00000148408
CBARP	ENSG00000099625
CCDC187	ENSG00000260220
CCL26	ENSG00000006606
CCR10	ENSG00000184451
CDKN2A	ENSG00000147889
CELF3	ENSG00000159409
CFC1	ENSG00000136698
CFC1B	ENSG00000152093
CLDN9	ENSG00000213937
CNGA3	ENSG00000144191
COL9A2	ENSG00000049089
CPLX2	ENSG00000145920
CPNE7	ENSG00000178773
CPT1C	ENSG00000169169
CRMP1	ENSG00000072832
CRYBA2	ENSG00000163499
CT45A5	ENSG00000228836
CT45A6	ENSG00000278289
CTXN2	ENSG00000233932
DLGAP2	ENSG00000198010
DMRTC1	ENSG00000269502
DMRTC1B	ENSG00000184911
DUSP8	ENSG00000184545
ECE2	ENSG00000145194
EME2	ENSG00000197774
FAM155A	ENSG00000204442
FAM163A	ENSG00000143340
FAM171A2	ENSG00000161682
FAM86B1	ENSG00000186523
FBXO16	ENSG00000214050
FFAR4	ENSG00000186188
GALR1	ENSG00000166573
GJD2	ENSG00000159248
GNG4	ENSG00000168243
GPR173	ENSG00000184194
GPR19	ENSG00000183150
GPR68	ENSG00000119714
GPRIN1	ENSG00000169258
GRIK3	ENSG00000163873
HES6	ENSG00000144485
HFM1	ENSG00000162669
IBSP	ENSG00000029559
IL13RA2	ENSG00000123496
INSM1	ENSG00000173404
IRS4	ENSG00000133124
ISL2	ENSG00000159556
JAKMIP1	ENSG00000152969
JPH4	ENSG00000092051
KCNH2	ENSG00000055118
KCNH6	ENSG00000173826
KCNH8	ENSG00000183960
KNDC1	ENSG00000171798
KRTAP5-1	ENSG00000205869
LAIR2	ENSG00000167618
LDOC1	ENSG00000182195
LGR6	ENSG00000133067
LRRC24	ENSG00000254402
LRRC4B	ENSG00000131409
LRRC56	ENSG00000161328
LRRTM3	ENSG00000198739
LY6H	ENSG00000176956
MAGED4B	ENSG00000187243
MAP6	ENSG00000171533
MAPK8IP1	ENSG00000121653
MC1R	ENSG00000258839
MGAT4C	ENSG00000182050
MIA	ENSG00000261857
MSMP	ENSG00000215183
NAALAD2	ENSG00000077616
NGB	ENSG00000165553
NMNAT2	ENSG00000157064
NSG1	ENSG00000168824
NTN5	ENSG00000142233
NYAP1	ENSG00000166924
OTOG	ENSG00000188162
PCDHA1	ENSG00000204970
PCDHA2	ENSG00000204969
PCP4L1	ENSG00000248485
PHF21B	ENSG00000056487
PKD1	ENSG00000008710
PLD3	ENSG00000105223
PODXL2	ENSG00000114631
PPFIA3	ENSG00000177380
PRLHR	ENSG00000119973
PROP1	ENSG00000175325
PRSS36	ENSG00000178226
RADX	ENSG00000147231
RASD1	ENSG00000108551
REC8	ENSG00000100918
RGS11	ENSG00000076344
RHPN1	ENSG00000158106
RIMBP2	ENSG00000060709
RIPPLY2	ENSG00000203877
RNF224	ENSG00000233198
RNFT2	ENSG00000135119
RPH3AL	ENSG00000181031
RTL5	ENSG00000242732
RTN1	ENSG00000139970
RUNDC3A	ENSG00000108309
RXRG	ENSG00000143171
SCG5	ENSG00000166922
SCGN	ENSG00000079689
SCN3B	ENSG00000166257
SEZ6L2	ENSG00000174938
SMIM18	ENSG00000253457
SPIRE2	ENSG00000204991
SPRED3	ENSG00000188766
SPSB4	ENSG00000175093
SSTR5	ENSG00000162009
ST8SIA3	ENSG00000177511
SYNGAP1	ENSG00000197283
SYT13	ENSG00000019505
SYT4	ENSG00000132872
TAC4	ENSG00000176358
TAGLN3	ENSG00000144834
TCEAL2	ENSG00000184905
TCEAL6	ENSG00000204071
TMC2	ENSG00000149488
TMEM63C	ENSG00000165548
TMIE	ENSG00000181585
TNFRSF25	ENSG00000215788
TRBV20OR9-2	ENSG00000205274
TRPC3	ENSG00000138741
UNC5A	ENSG00000113763
UNC79	ENSG00000133958
VMO1	ENSG00000182853
VWA7	ENSG00000204396
WDR17	ENSG00000150627
ZNF667	ENSG00000198046
ZSCAN1	ENSG00000152467
