Gene	Ensembl
CSH1	ENSG00000136488
CSH2	ENSG00000213218
PSG2	ENSG00000242221
PSG3	ENSG00000221826
PSG1	ENSG00000231924
PSG9	ENSG00000183668
HBG2	ENSG00000196565
XAGE3	ENSG00000171402
CSHL1	ENSG00000204414
PSG11	ENSG00000243130
GH2	ENSG00000136487
SLC22A11	ENSG00000168065
HBG1	ENSG00000213934
ERVH48-1	ENSG00000233056
PSG5	ENSG00000204941
ISM2	ENSG00000100593
PSG6	ENSG00000170848
XAGE2	ENSG00000155622
PSG4	ENSG00000243137
LGALS14	ENSG00000006659
PLAC1	ENSG00000170965
EGFL6	ENSG00000198759
AC104389.6	ENSG00000284931
PSG8	ENSG00000124467
SIGLEC6	ENSG00000105492
KISS1	ENSG00000170498
SLC52A1	ENSG00000132517
TRIM64	ENSG00000204450
TRIM64B	ENSG00000189253
AOC1	ENSG00000002726
LGALS13	ENSG00000105198
LGALS16	ENSG00000249861
LIN28B	ENSG00000187772
TAC3	ENSG00000166863
DUSP9	ENSG00000130829
CLDN19	ENSG00000164007
CYP19A1	ENSG00000137869
ERVV-2	ENSG00000268964
NOTUM	ENSG00000185269
HSD17B1	ENSG00000108786
MAGEA10	ENSG00000124260
PRG2	ENSG00000186652
TFPI2	ENSG00000105825
FBN2	ENSG00000138829
INSL4	ENSG00000120211
ADAMTS19	ENSG00000145808
CHAT	ENSG00000070748
HGF	ENSG00000019991
IDO2	ENSG00000188676
ADAM12	ENSG00000148848
CGB5	ENSG00000189052
ERVV-1	ENSG00000269526
FCGR2B	ENSG00000072694
HSD3B1	ENSG00000203857
HTRA4	ENSG00000169495
IGF2	ENSG00000167244
NAA11	ENSG00000156269
PAPPA2	ENSG00000116183
VGLL1	ENSG00000102243
CGB8	ENSG00000213030
ERVW-1	ENSG00000242950
FOXI3	ENSG00000214336
LVRN	ENSG00000172901
MAGEA8	ENSG00000156009
PAPPA	ENSG00000182752
ALPP	ENSG00000163283
CSF3R	ENSG00000119535
DDX43	ENSG00000080007
EPYC	ENSG00000083782
F5	ENSG00000198734
FLT1	ENSG00000102755
HAPLN1	ENSG00000145681
MEST	ENSG00000106484
MMP11	ENSG00000099953
SERPINE2	ENSG00000135919
APLNR	ENSG00000134817
CALHM4	ENSG00000164451
CETP	ENSG00000087237
GCM1	ENSG00000137270
LIPG	ENSG00000101670
PAGE4	ENSG00000101951
TRIM60	ENSG00000176979
TRIML2	ENSG00000179046
ADAMTS18	ENSG00000140873
BMP5	ENSG00000112175
CAPN6	ENSG00000077274
CD28	ENSG00000178562
CYP24A1	ENSG00000019186
DTL	ENSG00000143476
ERVFRD-1	ENSG00000244476
GJB7	ENSG00000164411
GPC3	ENSG00000147257
HLA-G	ENSG00000204632
HTR1B	ENSG00000135312
IL1RL1	ENSG00000115602
LGSN	ENSG00000146166
PEG3	ENSG00000198300
PHACTR2	ENSG00000112419
RGPD1	ENSG00000187627
WNT2	ENSG00000105989
ARHGAP28	ENSG00000088756
ATP12A	ENSG00000075673
CGB3	ENSG00000104827
DLK1	ENSG00000185559
EBI3	ENSG00000105246
GSTA3	ENSG00000174156
HSD17B2	ENSG00000086696
L1TD1	ENSG00000240563
MTNR1B	ENSG00000134640
ODAPH	ENSG00000174792
PCDH10	ENSG00000138650
PLA2G2A	ENSG00000188257
PROK1	ENSG00000143125
PSG7	ENSG00000221878
TLL1	ENSG00000038295
WNT3A	ENSG00000154342
ZNF595	ENSG00000272602
AADACL3	ENSG00000188984
ACKR2	ENSG00000144648
ADAMTS14	ENSG00000138316
ADAMTS5	ENSG00000154736
ADAMTS6	ENSG00000049192
ADGRG6	ENSG00000112414
ADRB1	ENSG00000043591
AFF2	ENSG00000155966
AGTR1	ENSG00000144891
ANGPTL1	ENSG00000116194
AP000781.2	ENSG00000254979
APLN	ENSG00000171388
AREG	ENSG00000109321
ARID3A	ENSG00000116017
ATP1A4	ENSG00000132681
BIRC7	ENSG00000101197
C17orf58	ENSG00000186665
C1QTNF6	ENSG00000133466
C20orf202	ENSG00000215595
CADM3	ENSG00000162706
CCDC102B	ENSG00000150636
CCDC68	ENSG00000166510
CCNE1	ENSG00000105173
CD209	ENSG00000090659
CD300LG	ENSG00000161649
CD93	ENSG00000125810
CDH11	ENSG00000140937
CDH5	ENSG00000179776
CEMIP2	ENSG00000135048
CLEC1A	ENSG00000150048
CNTN5	ENSG00000149972
COL11A1	ENSG00000060718
COL15A1	ENSG00000204291
COL21A1	ENSG00000124749
COL3A1	ENSG00000168542
COL4A1	ENSG00000187498
COL4A2	ENSG00000134871
COX4I2	ENSG00000131055
CRIM1	ENSG00000150938
CRYBG1	ENSG00000112297
CSF1R	ENSG00000182578
CSF2RA	ENSG00000198223
CTHRC1	ENSG00000164932
CTSL	ENSG00000135047
CYSLTR2	ENSG00000152207
CYTL1	ENSG00000170891
DAB2	ENSG00000153071
DACT2	ENSG00000164488
DIO3	ENSG00000197406
DKK1	ENSG00000107984
DLX4	ENSG00000108813
DLX5	ENSG00000105880
DPP4	ENSG00000197635
DPRX	ENSG00000204595
EDNRB	ENSG00000136160
ELOVL2	ENSG00000197977
ENPP1	ENSG00000197594
EPAS1	ENSG00000116016
ERVMER34-1	ENSG00000226887
F13A1	ENSG00000124491
FAM124B	ENSG00000124019
FAM162B	ENSG00000183807
FAM89A	ENSG00000182118
FBN1	ENSG00000166147
FCGR2A	ENSG00000143226
FN1	ENSG00000115414
FOLR2	ENSG00000165457
FOXO4	ENSG00000184481
GDF6	ENSG00000156466
GJA3	ENSG00000121743
GJA5	ENSG00000265107
GJC1	ENSG00000182963
GPR34	ENSG00000171659
GPR78	ENSG00000155269
GRAMD2A	ENSG00000175318
GUCY1A2	ENSG00000152402
HACE1	ENSG00000085382
HIGD1B	ENSG00000131097
HMGB3	ENSG00000029993
HOXA13	ENSG00000106031
HPGDS	ENSG00000163106
HTR1F	ENSG00000179097
HYAL4	ENSG00000106302
IDO1	ENSG00000131203
IGDCC3	ENSG00000174498
IGF2BP1	ENSG00000159217
IGF2BP3	ENSG00000136231
IGFBP3	ENSG00000146674
IL12RB2	ENSG00000081985
IL2RB	ENSG00000100385
JAM2	ENSG00000154721
KIAA0040	ENSG00000235750
LAMA2	ENSG00000196569
LAMC1	ENSG00000135862
LAMC3	ENSG00000050555
LARGE2	ENSG00000165905
LGR5	ENSG00000139292
LUM	ENSG00000139329
LYPD6	ENSG00000187123
LYVE1	ENSG00000133800
MATN3	ENSG00000132031
MBNL3	ENSG00000076770
MEOX2	ENSG00000106511
MORC4	ENSG00000133131
MS4A4A	ENSG00000110079
MSMP	ENSG00000215183
MSX2	ENSG00000120149
MYCN	ENSG00000134323
NDNF	ENSG00000173376
NFE2L3	ENSG00000050344
NID1	ENSG00000116962
NID2	ENSG00000087303
NOG	ENSG00000183691
NPL	ENSG00000135838
NRK	ENSG00000123572
OLR1	ENSG00000173391
OPN3	ENSG00000054277
OR51E1	ENSG00000180785
P2RY1	ENSG00000169860
P2RY14	ENSG00000174944
PABPC4L	ENSG00000254535
PCDH12	ENSG00000113555
PCDH18	ENSG00000189184
PDPN	ENSG00000162493
PECAM1	ENSG00000261371
PEG10	ENSG00000242265
PGF	ENSG00000119630
PHLDA2	ENSG00000181649
PITX2	ENSG00000164093
PKIB	ENSG00000135549
PLA2G7	ENSG00000146070
PLAGL1	ENSG00000118495
RASA1	ENSG00000145715
RSPO2	ENSG00000147655
RTL1	ENSG00000254656
SCIN	ENSG00000006747
SCN11A	ENSG00000168356
SCYGR4	ENSG00000284631
SEMA6D	ENSG00000137872
SERPINB9	ENSG00000170542
SERPINE1	ENSG00000106366
SKP2	ENSG00000145604
SLC19A3	ENSG00000135917
SLC2A1	ENSG00000117394
SLC38A9	ENSG00000177058
SMAGP	ENSG00000170545
SP6	ENSG00000189120
SPARC	ENSG00000113140
SPP1	ENSG00000118785
STS	ENSG00000101846
SVEP1	ENSG00000165124
TBX4	ENSG00000121075
TBX5	ENSG00000089225
TCF21	ENSG00000118526
TEK	ENSG00000120156
TENM3	ENSG00000218336
TFPI	ENSG00000003436
TGFBI	ENSG00000120708
TLR7	ENSG00000196664
TRBV20OR9-2	ENSG00000205274
TRGV9	ENSG00000211695
TRPC6	ENSG00000137672
UBASH3B	ENSG00000154127
VGLL3	ENSG00000206538
VSTM5	ENSG00000214376
WARS1	ENSG00000140105
WFDC1	ENSG00000103175
WNT7A	ENSG00000154764
ZFAT	ENSG00000066827
