Gene	Ensembl
RHO	ENSG00000163914
OPN1LW	ENSG00000102076
AIPL1	ENSG00000129221
GNAT1	ENSG00000114349
SAMD7	ENSG00000187033
GNGT1	ENSG00000127928
CABP5	ENSG00000105507
PDC	ENSG00000116703
SAG	ENSG00000130561
SMIM40	ENSG00000286920
PPEF2	ENSG00000156194
OPN1MW2	ENSG00000166160
RCVRN	ENSG00000109047
RBP3	ENSG00000265203
CPLX4	ENSG00000166569
TULP1	ENSG00000112041
IMPG1	ENSG00000112706
PDE6H	ENSG00000139053
RS1	ENSG00000102104
MPP4	ENSG00000082126
ARR3	ENSG00000120500
GUCY2F	ENSG00000101890
CRX	ENSG00000105392
CRYAA2	ENSG00000276076
OPN1MW	ENSG00000268221
NR2E3	ENSG00000278570
RP1L1	ENSG00000183638
RRH	ENSG00000180245
GUCA1B	ENSG00000112599
PDE6G	ENSG00000185527
GUCA1A	ENSG00000048545
AC021072.1	ENSG00000283536
GABRR3	ENSG00000183185
OPN1SW	ENSG00000128617
RPGRIP1	ENSG00000092200
NRL	ENSG00000129535
PDE6A	ENSG00000132915
SLC17A7	ENSG00000104888
NPVF	ENSG00000105954
KCNV2	ENSG00000168263
GRM6	ENSG00000113262
NR2E1	ENSG00000112333
RD3	ENSG00000198570
CACNA1F	ENSG00000102001
GRK1	ENSG00000185974
PRPH2	ENSG00000112619
SCRT2	ENSG00000215397
VSX2	ENSG00000119614
RAX2	ENSG00000173976
CACNA2D4	ENSG00000151062
TMEM244	ENSG00000203756
G6PC2	ENSG00000152254
TRAJ49	ENSG00000211840
GNG13	ENSG00000127588
RDH8	ENSG00000080511
EYS	ENSG00000188107
SLC24A1	ENSG00000074621
ABCA4	ENSG00000198691
IMPG2	ENSG00000081148
CLUL1	ENSG00000079101
GAGE12G	ENSG00000215269
GABRA1	ENSG00000022355
PDE6C	ENSG00000095464
RD3L	ENSG00000227729
GABRR1	ENSG00000146276
GABRR2	ENSG00000111886
GUCY2D	ENSG00000132518
SV2B	ENSG00000185518
RP1	ENSG00000104237
ANO2	ENSG00000047617
CACNG5	ENSG00000075429
LRIT3	ENSG00000183423
MAK	ENSG00000111837
USH2A	ENSG00000042781
GNAT2	ENSG00000134183
LRIT2	ENSG00000204033
SNAP25	ENSG00000132639
UNC119	ENSG00000109103
GRK7	ENSG00000114124
PCARE	ENSG00000179270
CSPG5	ENSG00000114646
ROM1	ENSG00000149489
SNCB	ENSG00000074317
CNGB1	ENSG00000070729
PACSIN1	ENSG00000124507
PRCD	ENSG00000214140
AP001054.1	ENSG00000288593
GSC2	ENSG00000063515
KCNJ14	ENSG00000182324
NXNL1	ENSG00000171773
RAB41	ENSG00000147127
SRRM4	ENSG00000139767
OTX2	ENSG00000165588
OVCH2	ENSG00000183378
TEX12	ENSG00000150783
CACNG3	ENSG00000006116
CADM2	ENSG00000175161
MDGA2	ENSG00000139915
OPCML	ENSG00000183715
SYNPR	ENSG00000163630
XKR7	ENSG00000260903
DRD1	ENSG00000184845
FSTL5	ENSG00000168843
GPM6A	ENSG00000150625
HCN1	ENSG00000164588
OR6B3	ENSG00000178586
RLBP1	ENSG00000140522
AL391650.1	ENSG00000236782
GAD1	ENSG00000128683
GNB3	ENSG00000111664
GRIA4	ENSG00000152578
SERINC4	ENSG00000184716
SYT1	ENSG00000067715
TAF1L	ENSG00000122728
ATP1B2	ENSG00000129244
CNGA1	ENSG00000198515
CRYAA	ENSG00000160202
DISP3	ENSG00000204624
GNB1	ENSG00000078369
GRIK1	ENSG00000171189
NEUROD4	ENSG00000123307
SIX3	ENSG00000138083
TRIM67	ENSG00000119283
VAT1L	ENSG00000171724
LACTBL1	ENSG00000215906
MAP1B	ENSG00000131711
MAP2	ENSG00000078018
PDE6B	ENSG00000133256
PSKH2	ENSG00000147613
SLC1A3	ENSG00000079215
SLC8A3	ENSG00000100678
TRH	ENSG00000170893
UNC13A	ENSG00000130477
ANKRD33	ENSG00000167612
CABP2	ENSG00000167791
CABP4	ENSG00000175544
CCDC177	ENSG00000267909
CDK5R2	ENSG00000171450
KCNG4	ENSG00000168418
NETO1	ENSG00000166342
NEUROD1	ENSG00000162992
RGR	ENSG00000148604
RGS8	ENSG00000135824
TAFA4	ENSG00000163377
TMEM145	ENSG00000167619
TNR	ENSG00000116147
TRAJ12	ENSG00000211877
VSX1	ENSG00000100987
CCDC172	ENSG00000182645
DNAH17	ENSG00000187775
FABP12	ENSG00000197416
FOXI3	ENSG00000214336
GNGT2	ENSG00000167083
GPR179	ENSG00000277399
INA	ENSG00000148798
KRT40	ENSG00000204889
LHFPL3	ENSG00000187416
LHX4	ENSG00000121454
LRTM1	ENSG00000144771
MC4R	ENSG00000166603
NTNG2	ENSG00000196358
PPFIA2	ENSG00000139220
RAX	ENSG00000134438
RTBDN	ENSG00000132026
SLC1A7	ENSG00000162383
ABHD12B	ENSG00000131969
CLRN1	ENSG00000163646
FRMPD1	ENSG00000070601
GAD2	ENSG00000136750
GPR37	ENSG00000170775
GUCA1C	ENSG00000138472
INSL6	ENSG00000120210
LRRTM4	ENSG00000176204
MGARP	ENSG00000137463
NAT16	ENSG00000167011
OLFM3	ENSG00000118733
PLEKHB1	ENSG00000021300
PRSS56	ENSG00000237412
SGIP1	ENSG00000118473
SVOP	ENSG00000166111
VWC2L	ENSG00000174453
ZFR2	ENSG00000105278
ZMAT4	ENSG00000165061
AC006059.2	ENSG00000280571
AL160272.2	ENSG00000285082
ASIC4	ENSG00000072182
ATP8A2	ENSG00000132932
BTBD8	ENSG00000189195
CACNG7	ENSG00000105605
CHRNA6	ENSG00000147434
DIRAS2	ENSG00000165023
ELMOD1	ENSG00000110675
ESRRB	ENSG00000119715
FAIM	ENSG00000158234
GRIA1	ENSG00000155511
IGFL4	ENSG00000204869
KCNB1	ENSG00000158445
KCNH5	ENSG00000140015
LHFPL4	ENSG00000156959
LHX2	ENSG00000106689
MAB21L1	ENSG00000180660
NAPB	ENSG00000125814
NIM1K	ENSG00000177453
NPFFR1	ENSG00000148734
OR2L13	ENSG00000196071
OR3A2	ENSG00000221882
POU4F1	ENSG00000152192
RASGRF1	ENSG00000058335
RDH12	ENSG00000139988
RGS9BP	ENSG00000186326
SEZ6	ENSG00000063015
SLC38A3	ENSG00000188338
SPTBN5	ENSG00000137877
STK35	ENSG00000125834
SYP	ENSG00000102003
SYT14	ENSG00000143469
TF	ENSG00000091513
TRAJ4	ENSG00000211885
TRAJ44	ENSG00000211845
ZMYND19	ENSG00000165724
ABCG4	ENSG00000172350
AC093899.2	ENSG00000251569
AL451106.1	ENSG00000288661
AMPH	ENSG00000078053
BBS7	ENSG00000138686
BEND6	ENSG00000151917
C7orf33	ENSG00000170279
CCDC136	ENSG00000128596
CDC14C	ENSG00000218305
CDH20	ENSG00000101542
CDHR1	ENSG00000148600
CFAP99	ENSG00000206113
CHRNA3	ENSG00000080644
CRB1	ENSG00000134376
DCST1	ENSG00000163357
DNAJC6	ENSG00000116675
DSCAM	ENSG00000171587
DSCAML1	ENSG00000177103
EIF4E1B	ENSG00000175766
ELFN2	ENSG00000166897
FABP7	ENSG00000164434
FAM161A	ENSG00000170264
FRMPD4	ENSG00000169933
GABRA3	ENSG00000011677
GLB1L2	ENSG00000149328
GPR137C	ENSG00000180998
GPR85	ENSG00000164604
HERC3	ENSG00000138641
IGSF11	ENSG00000144847
INSM2	ENSG00000168348
KCNH7	ENSG00000184611
KCNJ10	ENSG00000177807
KIF1A	ENSG00000130294
KIF1B	ENSG00000054523
KRBA2	ENSG00000184619
LBHD1	ENSG00000162194
LIX1	ENSG00000145721
LRFN2	ENSG00000156564
MAST1	ENSG00000105613
MSI1	ENSG00000135097
MTCL1	ENSG00000168502
MYO3A	ENSG00000095777
NBEA	ENSG00000172915
NDST3	ENSG00000164100
NHLH2	ENSG00000177551
PCDHA13	ENSG00000239389
PLCD4	ENSG00000115556
PPM1E	ENSG00000175175
PROM1	ENSG00000007062
PRSS35	ENSG00000146250
RAB3A	ENSG00000105649
SEPTIN4	ENSG00000108387
SH3TC2	ENSG00000169247
SLC4A8	ENSG00000050438
SMIM36	ENSG00000261873
SNAP91	ENSG00000065609
SRRM3	ENSG00000177679
STRC	ENSG00000242866
STX3	ENSG00000166900
STXBP1	ENSG00000136854
TCEAL5	ENSG00000204065
TMEM237	ENSG00000155755
TRAJ1	ENSG00000211888
TRAJ11	ENSG00000211878
TRAJ13	ENSG00000211876
TRAJ14	ENSG00000211875
TRAJ18	ENSG00000211871
TRAJ2	ENSG00000211887
TRAJ22	ENSG00000211867
TRAJ3	ENSG00000211886
TRAJ33	ENSG00000211856
TRAJ36	ENSG00000276699
TRAJ40	ENSG00000211849
TRAJ46	ENSG00000211843
TRAJ6	ENSG00000211883
TRAJ7	ENSG00000211882
TRIM36	ENSG00000152503
TRPM1	ENSG00000134160
UBAP1L	ENSG00000246922
UBE2QL1	ENSG00000215218
UNC80	ENSG00000144406
VAX2	ENSG00000116035
WIF1	ENSG00000156076
ZNF560	ENSG00000198028
AC092073.1	ENSG00000266953
ADCY1	ENSG00000164742
AGAP1	ENSG00000157985
AL672142.1	ENSG00000251184
ASIC2	ENSG00000108684
ATCAY	ENSG00000167654
C1orf146	ENSG00000203910
CCDC13	ENSG00000244607
CELSR3	ENSG00000008300
CHRNB3	ENSG00000147432
CNKSR2	ENSG00000149970
CNTNAP2	ENSG00000174469
COL2A1	ENSG00000139219
CPLX3	ENSG00000213578
CRABP1	ENSG00000166426
DGKI	ENSG00000157680
DLG4	ENSG00000132535
ENO2	ENSG00000111674
EXOC6	ENSG00000138190
FAM124A	ENSG00000150510
FO393400.1	ENSG00000285382
FRMD5	ENSG00000171877
GLMN	ENSG00000174842
GPR61	ENSG00000156097
HMX1	ENSG00000215612
IFITM10	ENSG00000244242
KCTD8	ENSG00000183783
KIF3C	ENSG00000084731
LNP1	ENSG00000206535
LRIT1	ENSG00000148602
LRRIQ1	ENSG00000133640
LRRTM2	ENSG00000146006
MATN1	ENSG00000162510
NOL4	ENSG00000101746
ONECUT1	ENSG00000169856
PAK5	ENSG00000101349
PCDH15	ENSG00000150275
PCLO	ENSG00000186472
PCP2	ENSG00000174788
PSRC1	ENSG00000134222
RHBDL3	ENSG00000141314
RIMKLA	ENSG00000177181
RIMS2	ENSG00000176406
RNF157	ENSG00000141576
SCG3	ENSG00000104112
SLC7A14	ENSG00000013293
TAFA3	ENSG00000184599
TIGD4	ENSG00000169989
TMEM196	ENSG00000173452
TRAJ21	ENSG00000211868
TRAJ35	ENSG00000211854
ZNF883	ENSG00000285447
AANAT	ENSG00000129673
AC003002.2	ENSG00000268533
AC004076.1	ENSG00000268163
AC004832.3	ENSG00000249590
AC006486.1	ENSG00000268643
AC007040.2	ENSG00000258881
AC008403.1	ENSG00000268465
AC008676.3	ENSG00000285868
AC012213.5	ENSG00000285982
ACSL6	ENSG00000164398
ADAMTS3	ENSG00000156140
ADGRG4	ENSG00000156920
AGBL4	ENSG00000186094
AGTPBP1	ENSG00000135049
AL035078.4	ENSG00000285283
ALDOC	ENSG00000109107
ALG1L2	ENSG00000251287
ANK2	ENSG00000145362
ANKRD33B	ENSG00000164236
ANKRD36	ENSG00000135976
ANKRD37	ENSG00000186352
AP002748.5	ENSG00000256349
AP3B2	ENSG00000103723
ARHGAP42	ENSG00000165895
ARHGEF9	ENSG00000131089
ARL13B	ENSG00000169379
ARL3	ENSG00000138175
ARL6	ENSG00000113966
ARMC9	ENSG00000135931
ASTN1	ENSG00000152092
ATP1A3	ENSG00000105409
ATP6V0A1	ENSG00000033627
B3GAT2	ENSG00000112309
B4GALT6	ENSG00000118276
BBS12	ENSG00000181004
BCO2	ENSG00000197580
BHLHE41	ENSG00000123095
C16orf74	ENSG00000154102
C16orf92	ENSG00000167194
C4orf47	ENSG00000205129
CA10	ENSG00000154975
CA14	ENSG00000118298
CACNB2	ENSG00000165995
CADM1	ENSG00000182985
CADPS	ENSG00000163618
CAMK1D	ENSG00000183049
CAMSAP1	ENSG00000130559
CAPS2	ENSG00000180881
CATSPER2	ENSG00000166762
CC2D2A	ENSG00000048342
CCDC181	ENSG00000117477
CCDC39	ENSG00000284862
CCNA2	ENSG00000145386
CCSAP	ENSG00000154429
CCSER1	ENSG00000184305
CDCA3	ENSG00000111665
CDH12	ENSG00000154162
CDKL2	ENSG00000138769
CECR2	ENSG00000099954
CERKL	ENSG00000188452
CHRNB2	ENSG00000160716
CHRNB4	ENSG00000117971
CLASP2	ENSG00000163539
CLCN4	ENSG00000073464
CLEC2L	ENSG00000236279
CLEC4F	ENSG00000152672
CLSPN	ENSG00000092853
CLVS1	ENSG00000177182
CNGA3	ENSG00000144191
CNGB3	ENSG00000170289
CNMD	ENSG00000136110
CNNM4	ENSG00000158158
COL11A1	ENSG00000060718
COL25A1	ENSG00000188517
COL4A3	ENSG00000169031
COMMD3-BMI1	ENSG00000269897
CORO2B	ENSG00000103647
CPA6	ENSG00000165078
CPE	ENSG00000109472
CPNE6	ENSG00000100884
CRB2	ENSG00000148204
CRMP1	ENSG00000072832
CTNNA2	ENSG00000066032
CTXN2	ENSG00000233932
CXXC4	ENSG00000168772
CYB5R2	ENSG00000166394
DCST2	ENSG00000163354
DCX	ENSG00000077279
DDC	ENSG00000132437
DENND4A	ENSG00000174485
DGKE	ENSG00000153933
DIPK1C	ENSG00000187773
DISC1	ENSG00000162946
DNAAF4	ENSG00000256061
DNAH2	ENSG00000183914
DOC2B	ENSG00000272636
DOK6	ENSG00000206052
DPF3	ENSG00000205683
DPYSL4	ENSG00000151640
DTNBP1	ENSG00000047579
EFR3A	ENSG00000132294
ELOVL2	ENSG00000197977
ELOVL4	ENSG00000118402
EML5	ENSG00000165521
EML6	ENSG00000214595
EPB41	ENSG00000159023
EPB41L2	ENSG00000079819
ESPN	ENSG00000187017
ESRRG	ENSG00000196482
EZH1	ENSG00000108799
FAM135B	ENSG00000147724
FAM169A	ENSG00000198780
FAM184B	ENSG00000047662
FGF9	ENSG00000102678
FIGLA	ENSG00000183733
FMN1	ENSG00000248905
FMN2	ENSG00000155816
FOXH1	ENSG00000160973
FRMPD2	ENSG00000170324
FRZB	ENSG00000162998
FSBP	ENSG00000265817
FSCN2	ENSG00000186765
FSD1L	ENSG00000106701
FUT3	ENSG00000171124
FZD3	ENSG00000104290
GABRB3	ENSG00000166206
GABRG2	ENSG00000113327
GABRG3	ENSG00000182256
GALNT13	ENSG00000144278
GDF10	ENSG00000266524
GDPD4	ENSG00000178795
GDPD5	ENSG00000158555
GET1-SH3BGR	ENSG00000285815
GIPC3	ENSG00000179855
GJD2	ENSG00000159248
GNAO1	ENSG00000087258
GNB5	ENSG00000069966
GPM6B	ENSG00000046653
GPR12	ENSG00000132975
GPR137B	ENSG00000077585
GPRIN1	ENSG00000169258
GRAMD1B	ENSG00000023171
GRIA2	ENSG00000120251
GRIA3	ENSG00000125675
GVQW3	ENSG00000179240
HERC3	ENSG00000287542
HK2	ENSG00000159399
HKDC1	ENSG00000156510
HOOK1	ENSG00000134709
HS3ST3B1	ENSG00000125430
HTR1F	ENSG00000179097
IGLON5	ENSG00000142549
IGSF9	ENSG00000085552
ILDR2	ENSG00000143195
IMPDH1	ENSG00000106348
INTU	ENSG00000164066
ISL1	ENSG00000016082
JAKMIP1	ENSG00000152969
KCNAB3	ENSG00000170049
KCNB2	ENSG00000182674
KCNH6	ENSG00000173826
KCNIP4	ENSG00000185774
KCTD7	ENSG00000243335
KHDRBS2	ENSG00000112232
KIAA1614	ENSG00000135835
KIAA1841	ENSG00000162929
KIF21A	ENSG00000139116
KIF21B	ENSG00000116852
KIF25	ENSG00000125337
KIF3A	ENSG00000131437
KREMEN2	ENSG00000131650
KRT222	ENSG00000213424
LAMP5	ENSG00000125869
LAPTM4B	ENSG00000104341
LGALSL	ENSG00000119862
LIN7A	ENSG00000111052
LRP2	ENSG00000081479
LRP2BP	ENSG00000109771
LRRC39	ENSG00000122477
LRRC4C	ENSG00000148948
LSAMP	ENSG00000185565
LYG2	ENSG00000185674
LYST	ENSG00000143669
MADD	ENSG00000110514
MAGI3	ENSG00000081026
