Gene	Ensembl
HTN1	ENSG00000126550
PRB1	ENSG00000251655
PRB3	ENSG00000197870
BPIFA2	ENSG00000131050
HTN3	ENSG00000205649
CST5	ENSG00000170367
PRR27	ENSG00000187533
PRB2	ENSG00000121335
SMR3B	ENSG00000171201
STATH	ENSG00000126549
PRH2	ENSG00000134551
MUC7	ENSG00000171195
ZG16B	ENSG00000162078
CST2	ENSG00000170369
CST4	ENSG00000101441
LPO	ENSG00000167419
CA6	ENSG00000131686
AMY1A	ENSG00000237763
RNASE8	ENSG00000173431
PRB4	ENSG00000230657
PRH1	ENSG00000231887
CST1	ENSG00000170373
KLK1	ENSG00000167748
SMR3A	ENSG00000109208
AMY1B	ENSG00000174876
PRR4	ENSG00000111215
ODAM	ENSG00000109205
BPIFB6	ENSG00000167104
TLX1	ENSG00000107807
FDCSP	ENSG00000181617
DNASE2B	ENSG00000137976
BPIFB2	ENSG00000078898
DMBT1	ENSG00000187908
TMPRSS11D	ENSG00000153802
NXPE2	ENSG00000204361
ASCL3	ENSG00000176009
LACRT	ENSG00000135413
KLK12	ENSG00000186474
NXPE4	ENSG00000137634
TMEM213	ENSG00000214128
MUC5B	ENSG00000117983
BHLHA15	ENSG00000180535
CHRM1	ENSG00000168539
IGFL1	ENSG00000188293
KRT76	ENSG00000185069
C5orf46	ENSG00000178776
FOXC1	ENSG00000054598
MUC19	ENSG00000205592
NKX2-3	ENSG00000119919
SLC5A5	ENSG00000105641
AMY1C	ENSG00000187733
ATP6V0A4	ENSG00000105929
FAM25C	ENSG00000276430
IGLJ3	ENSG00000211678
IGLV10-54	ENSG00000211642
IL19	ENSG00000142224
KRT23	ENSG00000108244
PAX9	ENSG00000198807
SLC26A9	ENSG00000174502
SLPI	ENSG00000124107
ATP13A5	ENSG00000187527
ERN2	ENSG00000134398
IGHA2	ENSG00000211890
IGHV2OR16-5	ENSG00000259303
IGKV3D-15	ENSG00000224041
IGLJ1	ENSG00000211674
MGAM2	ENSG00000257743
SLC13A2	ENSG00000007216
SOX10	ENSG00000100146
AC141272.1	ENSG00000277836
AGFG2	ENSG00000106351
ALDH1L2	ENSG00000136010
B3GNT6	ENSG00000198488
C6orf58	ENSG00000184530
CCL28	ENSG00000151882
CRISP3	ENSG00000096006
DEFB1	ENSG00000164825
ELF5	ENSG00000135374
FAM3D	ENSG00000198643
IGHA1	ENSG00000211895
IGHV3-15	ENSG00000211943
IGHV4-28	ENSG00000211952
IGKJ1	ENSG00000211597
IGKV1-39	ENSG00000242371
IGKV1-8	ENSG00000240671
IGLC7	ENSG00000211685
IGLV5-37	ENSG00000211654
ITPRID1	ENSG00000180347
IVL	ENSG00000163207
LHFPL1	ENSG00000182508
LRRC26	ENSG00000184709
LRRTM1	ENSG00000162951
NEURL3	ENSG00000163121
OPRPN	ENSG00000171199
PIP	ENSG00000159763
PLEKHS1	ENSG00000148735
PPP1R1B	ENSG00000131771
PTCH2	ENSG00000117425
SLC31A2	ENSG00000136867
TMPRSS11E	ENSG00000087128
AL929554.1	ENSG00000261793
ATP6V1B1	ENSG00000116039
BPIFB1	ENSG00000125999
CLDN17	ENSG00000156282
CLDN22	ENSG00000177300
CXCL17	ENSG00000189377
CXCL5	ENSG00000163735
GDF5	ENSG00000125965
GNE	ENSG00000159921
HSD11B2	ENSG00000176387
IGHJ1	ENSG00000211905
IGHV3-30	ENSG00000270550
IGHV3-35	ENSG00000211957
IGKJ5	ENSG00000211593
IGKV1D-17	ENSG00000242766
IGKV1D-8	ENSG00000239819
IGLV4-69	ENSG00000211637
IGLV5-45	ENSG00000211650
KRT3	ENSG00000186442
LTF	ENSG00000012223
MUC16	ENSG00000181143
OTX1	ENSG00000115507
PABPC1L2B	ENSG00000184388
SCGB3A1	ENSG00000161055
SIX4	ENSG00000100625
TCN1	ENSG00000134827
TENT5A	ENSG00000112773
TFF3	ENSG00000160180
TMEM61	ENSG00000143001
TMEM63A	ENSG00000196187
TRAJ57	ENSG00000211834
ZNF124	ENSG00000196418
AC011479.1	ENSG00000267748
AC020907.6	ENSG00000285526
AC073896.1	ENSG00000144785
AC105206.4	ENSG00000288677
AC136616.2	ENSG00000277761
ALDH18A1	ENSG00000059573
ALDH3A1	ENSG00000108602
AMTN	ENSG00000187689
ANO1	ENSG00000131620
APCDD1L	ENSG00000198768
AQP5	ENSG00000161798
ARFGEF3	ENSG00000112379
ASCL2	ENSG00000183734
ATP2A3	ENSG00000074370
ATP2B2	ENSG00000157087
ATP6V1C2	ENSG00000143882
AZGP1	ENSG00000160862
B3GNT3	ENSG00000179913
BACE2	ENSG00000182240
BARX2	ENSG00000043039
BIK	ENSG00000100290
BLM	ENSG00000197299
C14orf39	ENSG00000179008
C1QTNF3	ENSG00000082196
C9orf152	ENSG00000188959
CBR3	ENSG00000159231
CCDC160	ENSG00000203952
CD164L2	ENSG00000174950
CD44	ENSG00000026508
CEACAM6	ENSG00000086548
CGREF1	ENSG00000138028
CHI3L2	ENSG00000064886
CHRM3	ENSG00000133019
CHST9	ENSG00000154080
CLDN10	ENSG00000134873
CLDN8	ENSG00000156284
CMPK2	ENSG00000134326
CNMD	ENSG00000136110
CNTN5	ENSG00000149972
COL28A1	ENSG00000215018
CRACR2A	ENSG00000130038
CRACR2B	ENSG00000177685
CREB3L1	ENSG00000157613
CYP2F1	ENSG00000197446
CYP4X1	ENSG00000186377
DEFB103A	ENSG00000176797
DERL3	ENSG00000099958
DTNB	ENSG00000138101
DUSP6	ENSG00000139318
EDN3	ENSG00000124205
EHF	ENSG00000135373
EIF4EBP1	ENSG00000187840
ELAPOR1	ENSG00000116299
ENTPD3	ENSG00000168032
ETV1	ENSG00000006468
FAM25A	ENSG00000188100
FAM3B	ENSG00000183844
FAM83E	ENSG00000105523
FBN3	ENSG00000142449
FCGBP	ENSG00000275395
FOLR1	ENSG00000110195
FOXI1	ENSG00000168269
FURIN	ENSG00000140564
FUT2	ENSG00000176920
FUT3	ENSG00000171124
FUT6	ENSG00000156413
FXYD6-FXYD2	ENSG00000255245
GCNT3	ENSG00000140297
GGT6	ENSG00000167741
GGTA1	ENSG00000204136
GJC3	ENSG00000176402
GLYATL2	ENSG00000156689
GMDS	ENSG00000112699
HTR3A	ENSG00000166736
IFI44L	ENSG00000137959
IGHD3-3	ENSG00000211930
IGHV1-18	ENSG00000211945
IGHV1-24	ENSG00000211950
IGHV1-46	ENSG00000211962
IGHV3-21	ENSG00000211947
IGHV3-64	ENSG00000223648
IGHV3-74	ENSG00000224650
IGHV3OR16-10	ENSG00000233732
IGHV4-39	ENSG00000211959
IGHV5-51	ENSG00000211966
IGKJ2	ENSG00000211596
