Gene	Ensembl
SEMG2	ENSG00000124157
SEMG1	ENSG00000124233
AQP2	ENSG00000167580
POU3F3	ENSG00000198914
CYP4F8	ENSG00000186526
SRD5A2	ENSG00000277893
DEFB125	ENSG00000178591
HOXD13	ENSG00000128714
PATE4	ENSG00000237353
GRXCR1	ENSG00000215203
KIAA1210	ENSG00000250423
SPINT3	ENSG00000101446
TMEM114	ENSG00000232258
CAPN6	ENSG00000077274
LCN1	ENSG00000160349
PCDH10	ENSG00000138650
TAFA2	ENSG00000198673
ACAN	ENSG00000157766
ACTA2	ENSG00000107796
ACTG2	ENSG00000163017
ADGRD2	ENSG00000180264
ANGPT1	ENSG00000154188
ANO1	ENSG00000131620
ANO4	ENSG00000151572
C12orf75	ENSG00000235162
CHEK1	ENSG00000149554
CHRDL1	ENSG00000101938
CLDN2	ENSG00000165376
CPAMD8	ENSG00000160111
CSRP1	ENSG00000159176
CYSLTR2	ENSG00000152207
DAB1	ENSG00000173406
EDNRA	ENSG00000151617
EVX1	ENSG00000106038
EVX2	ENSG00000174279
GDF7	ENSG00000143869
GLB1L3	ENSG00000166105
GLIS1	ENSG00000174332
HOXA13	ENSG00000106031
HOXD12	ENSG00000170178
ISL1	ENSG00000016082
KLHL14	ENSG00000197705
LCN15	ENSG00000177984
MCF2	ENSG00000101977
MYH11	ENSG00000133392
MYH3	ENSG00000109063
MYLK	ENSG00000065534
NLGN3	ENSG00000196338
NLGN4Y	ENSG00000165246
NPFFR2	ENSG00000056291
PCP4	ENSG00000183036
PDZRN4	ENSG00000165966
PLA1A	ENSG00000144837
PLA2G4A	ENSG00000116711
PRDM8	ENSG00000152784
PTGES	ENSG00000148344
PTGS2	ENSG00000073756
RPE65	ENSG00000116745
SERTM2	ENSG00000260802
SLC35F4	ENSG00000151812
SLC39A2	ENSG00000165794
TES	ENSG00000135269
TMEFF2	ENSG00000144339
TMEM35A	ENSG00000126950
TNMD	ENSG00000000005
TRPC4	ENSG00000133107
TRPM5	ENSG00000070985
WFDC1	ENSG00000103175
WNT9B	ENSG00000158955
