Gene	Ensembl
MYH1	ENSG00000109061
NMRK2	ENSG00000077009
TNNC2	ENSG00000101470
MYLPF	ENSG00000180209
FBXO40	ENSG00000163833
KRTAP19-3	ENSG00000244025
MYL1	ENSG00000168530
MYBPC1	ENSG00000196091
CACNA1S	ENSG00000081248
ATP2A1	ENSG00000196296
MYH2	ENSG00000125414
MYOZ1	ENSG00000177791
UCP3	ENSG00000175564
STRIT1	ENSG00000240045
ACTN3	ENSG00000248746
MYL2	ENSG00000111245
MYH7	ENSG00000092054
NEB	ENSG00000183091
TMOD4	ENSG00000163157
DHRS7C	ENSG00000184544
PYGM	ENSG00000068976
CASQ1	ENSG00000143318
PPP1R3A	ENSG00000154415
ANKRD2	ENSG00000165887
KLHL40	ENSG00000157119
MYOT	ENSG00000120729
SLC36A2	ENSG00000186335
UNC45B	ENSG00000141161
ART1	ENSG00000129744
CACNG1	ENSG00000108878
PERM1	ENSG00000187642
ACTN2	ENSG00000077522
PRAMEF9	ENSG00000204505
KCNA7	ENSG00000104848
SMTNL1	ENSG00000214872
AC119733.1	ENSG00000288654
HRC	ENSG00000130528
CKMT2	ENSG00000131730
TCAP	ENSG00000173991
COX6A2	ENSG00000156885
TNNT3	ENSG00000130595
KLHL41	ENSG00000239474
MYF6	ENSG00000111046
STYXL2	ENSG00000198842
SMCO1	ENSG00000214097
SRL	ENSG00000185739
STAC3	ENSG00000185482
TNNI1	ENSG00000159173
ANKRD23	ENSG00000163126
FGF8	ENSG00000107831
LMOD2	ENSG00000170807
SMPX	ENSG00000091482
MB	ENSG00000198125
ADPRHL1	ENSG00000153531
TNNC1	ENSG00000114854
FSD2	ENSG00000186628
PRKAG3	ENSG00000115592
KLHL33	ENSG00000185271
TNNT1	ENSG00000105048
ATP1B4	ENSG00000101892
MYOZ3	ENSG00000164591
AL022312.1	ENSG00000285025
ENO3	ENSG00000108515
FHL3	ENSG00000183386
LDB3	ENSG00000122367
PPP1R27	ENSG00000182676
TNNI2	ENSG00000130598
TMEM182	ENSG00000170417
