Gene	Ensembl
KRTAP4-7	ENSG00000240871
KRTAP9-3	ENSG00000204873
KRTAP4-9	ENSG00000212722
KRTAP2-4	ENSG00000213417
KRTAP9-4	ENSG00000241595
KRTAP2-1	ENSG00000212725
KRTAP9-8	ENSG00000187272
KRTAP4-6	ENSG00000198090
KRTAP2-2	ENSG00000214518
KRTAP1-1	ENSG00000188581
KRTAP3-1	ENSG00000212901
KRTAP1-3	ENSG00000221880
KRTAP4-12	ENSG00000213416
KRTAP9-9	ENSG00000198083
KRTAP4-8	ENSG00000204880
KRTAP4-2	ENSG00000244537
KRTAP9-2	ENSG00000239886
KRTAP3-3	ENSG00000212899
KRTAP4-4	ENSG00000171396
KRTAP4-3	ENSG00000196156
KRTAP4-5	ENSG00000198271
KRTAP19-1	ENSG00000184351
CDSN	ENSG00000204539
KRTAP2-3	ENSG00000212724
KRTAP7-1	ENSG00000274749
KRTAP10-2	ENSG00000205445
KRTAP4-11	ENSG00000212721
LCE1D	ENSG00000172155
KRTAP19-3	ENSG00000244025
KRTAP8-1	ENSG00000183640
KRTAP19-5	ENSG00000186977
KRTAP5-3	ENSG00000196224
KRTAP9-7	ENSG00000180386
KRTAP10-3	ENSG00000212935
KRTAP10-1	ENSG00000215455
LORICRIN	ENSG00000203782
KRTAP10-5	ENSG00000241123
KRTAP1-5	ENSG00000221852
KRTAP4-1	ENSG00000198443
KRTAP10-10	ENSG00000221859
KRTAP11-1	ENSG00000182591
KRTAP10-7	ENSG00000272804
KRTAP12-3	ENSG00000205439
KRTAP10-11	ENSG00000243489
KRT33B	ENSG00000131738
KRT2	ENSG00000172867
KRTAP10-9	ENSG00000221837
KRTAP10-4	ENSG00000215454
PSORS1C2	ENSG00000204538
KRTAP17-1	ENSG00000186860
KRTAP10-12	ENSG00000189169
KRTAP12-2	ENSG00000221864
KRT81	ENSG00000205426
KRT85	ENSG00000135443
KRT27	ENSG00000171446
KRTAP10-8	ENSG00000187766
KRT25	ENSG00000204897
DGAT2L6	ENSG00000184210
LCE1E	ENSG00000186226
TYR	ENSG00000077498
KRT83	ENSG00000170523
KRT86	ENSG00000170442
KRTAP13-1	ENSG00000198390
KRTAP5-5	ENSG00000185940
DCT	ENSG00000080166
FABP9	ENSG00000205186
KRTAP12-1	ENSG00000187175
KRT82	ENSG00000161850
AL354761.1	ENSG00000236543
KRTAP16-1	ENSG00000212657
KRTAP24-1	ENSG00000188694
FLG	ENSG00000143631
KRT35	ENSG00000197079
WFDC5	ENSG00000175121
SPRR2G	ENSG00000159516
ALOXE3	ENSG00000179148
KRT38	ENSG00000171360
KRTAP9-6	ENSG00000212659
ASPRV1	ENSG00000244617
KRT31	ENSG00000094796
KRT34	ENSG00000131737
PLA2G2F	ENSG00000158786
CASP14	ENSG00000105141
SPRR5	ENSG00000283227
THEM5	ENSG00000196407
KRT71	ENSG00000139648
LCE1F	ENSG00000240386
CST6	ENSG00000175315
KRTAP6-1	ENSG00000184724
LCE2D	ENSG00000187223
BPIFC	ENSG00000184459
KRT79	ENSG00000185640
PRR9	ENSG00000203783
AADACL2	ENSG00000197953
KRT33A	ENSG00000006059
SLC52A1	ENSG00000132517
SPRR4	ENSG00000184148
TCHH	ENSG00000159450
CCL27	ENSG00000213927
DSG1	ENSG00000134760
HOXC13	ENSG00000123364
KRTAP29-1	ENSG00000212658
LCE1C	ENSG00000197084
LCE2B	ENSG00000159455
C1orf68	ENSG00000198854
CHP2	ENSG00000166869
CLEC2A	ENSG00000188393
KPRP	ENSG00000203786
FLG2	ENSG00000143520
KRT28	ENSG00000173908
KRT37	ENSG00000108417
KRT75	ENSG00000170454
KRTAP5-4	ENSG00000241598
LAMB4	ENSG00000091128
NEU2	ENSG00000115488
SLC9C1	ENSG00000172139
HOXC12	ENSG00000123407
KRT10	ENSG00000186395
KRT77	ENSG00000189182
KRTAP26-1	ENSG00000197683
LCE2A	ENSG00000187173
LCE2C	ENSG00000187180
PSAPL1	ENSG00000178597
SERPINA12	ENSG00000165953
WFDC3	ENSG00000124116
DMKN	ENSG00000161249
KLRF2	ENSG00000256797
KRT74	ENSG00000170484
LCE6A	ENSG00000235942
LIPK	ENSG00000204021
LIPM	ENSG00000173239
KRTAP1-4	ENSG00000204887
LCE1A	ENSG00000186844
HAL	ENSG00000084110
KRT32	ENSG00000108759
KRTAP10-6	ENSG00000188155
KRTAP21-2	ENSG00000187026
LCE1B	ENSG00000196734
LY6G6C	ENSG00000204421
S100A7A	ENSG00000184330
IGFL2	ENSG00000204866
IGFL3	ENSG00000188624
KRT1	ENSG00000167768
KRTAP3-2	ENSG00000212900
UNC93A	ENSG00000112494
CDX4	ENSG00000131264
ELOVL3	ENSG00000119915
GSDMA	ENSG00000167914
KRTAP20-2	ENSG00000184032
KRTAP5-11	ENSG00000204571
LIPN	ENSG00000204020
PM20D1	ENSG00000162877
PMEL	ENSG00000185664
PYDC1	ENSG00000169900
C5orf46	ENSG00000178776
DSC1	ENSG00000134765
IL37	ENSG00000125571
KRT40	ENSG00000204889
KRT73	ENSG00000186049
LCE5A	ENSG00000186207
PLA2G4E	ENSG00000188089
POU2F3	ENSG00000137709
POU3F1	ENSG00000185668
ABHD12B	ENSG00000131969
ACER1	ENSG00000167769
AWAT2	ENSG00000147160
DCD	ENSG00000161634
DGAT2	ENSG00000062282
DLX3	ENSG00000064195
FAM25C	ENSG00000276430
GPRC5D	ENSG00000111291
IL36G	ENSG00000136688
KLK5	ENSG00000167754
KLK9	ENSG00000213022
KRT23	ENSG00000108244
KRT84	ENSG00000161849
KRTAP13-2	ENSG00000182816
LCE4A	ENSG00000187170
LINC00514	ENSG00000262152
MLANA	ENSG00000120215
MT4	ENSG00000102891
ACP7	ENSG00000183760
ACSBG1	ENSG00000103740
BEST2	ENSG00000039987
CALML5	ENSG00000178372
CARD18	ENSG00000255501
