Gene	Ensembl
ADAMTS19	ENSG00000145808
TEX15	ENSG00000133863
FRMD7	ENSG00000165694
TCF23	ENSG00000163792
ZCCHC12	ENSG00000174460
PGR	ENSG00000082175
SYNC	ENSG00000162520
ACTA2	ENSG00000107796
ACTG2	ENSG00000163017
ACTN1	ENSG00000072110
AGTR2	ENSG00000180772
ALDH1B1	ENSG00000137124
ASPN	ENSG00000106819
ATP2B4	ENSG00000058668
BNC2	ENSG00000173068
C3orf70	ENSG00000187068
CHRDL2	ENSG00000054938
CNN1	ENSG00000130176
COL1A2	ENSG00000164692
COL3A1	ENSG00000168542
COL6A3	ENSG00000163359
FAM83D	ENSG00000101447
FAP	ENSG00000078098
GPR161	ENSG00000143147
GREM1	ENSG00000166923
HEPH	ENSG00000089472
HOXA11	ENSG00000005073
HTR2B	ENSG00000135914
ITGA11	ENSG00000137809
ITGA5	ENSG00000161638
KCNE4	ENSG00000152049
KCNMB1	ENSG00000145936
LINGO2	ENSG00000174482
LOXL2	ENSG00000134013
METTL24	ENSG00000053328
MOXD1	ENSG00000079931
MYLK	ENSG00000065534
P4HA3	ENSG00000149380
PCDH20	ENSG00000280165
PI15	ENSG00000137558
PTGER3	ENSG00000050628
SHISAL1	ENSG00000138944
THBS4	ENSG00000113296
THY1	ENSG00000154096
TNC	ENSG00000041982
TNFAIP8L3	ENSG00000183578
TRPC4	ENSG00000133107
