Gene	Ensembl
PGA5	ENSG00000256713
CBLIF	ENSG00000134812
GKN1	ENSG00000169605
PGA4	ENSG00000229183
PGA3	ENSG00000229859
ATP4B	ENSG00000186009
GAST	ENSG00000184502
LIPF	ENSG00000182333
MUC5AC	ENSG00000215182
ATP4A	ENSG00000105675
GKN2	ENSG00000183607
CLDN18	ENSG00000066405
TFF1	ENSG00000160182
PGC	ENSG00000096088
KCNE2	ENSG00000159197
DAZ4	ENSG00000205916
CHIA	ENSG00000134216
GAGE12G	ENSG00000215269
CCKBR	ENSG00000110148
DAZ2	ENSG00000205944
ADH1C	ENSG00000248144
GHRL	ENSG00000157017
MUCL3	ENSG00000168631
FOXA3	ENSG00000170608
PSAPL1	ENSG00000178597
GAGE2E	ENSG00000275113
CA9	ENSG00000107159
REP15	ENSG00000174236
BARX1	ENSG00000131668
MUC6	ENSG00000184956
SST	ENSG00000157005
CAPN8	ENSG00000203697
IGHV1OR15-9	ENSG00000188403
SHISAL2B	ENSG00000145642
TAFA4	ENSG00000163377
CYP2S1	ENSG00000167600
FER1L6	ENSG00000214814
NKX6-3	ENSG00000165066
SLC5A5	ENSG00000105641
SMIM38	ENSG00000284713
A4GNT	ENSG00000118017
CLIC6	ENSG00000159212
EPS8L3	ENSG00000198758
IGHV2-70	ENSG00000274576
IGLJ3	ENSG00000211678
IGLV10-54	ENSG00000211642
PDILT	ENSG00000169340
SLC26A9	ENSG00000174502
ADAM28	ENSG00000042980
ERN2	ENSG00000134398
IGHV2OR16-5	ENSG00000259303
IGKV3D-15	ENSG00000224041
IGLJ1	ENSG00000211674
PLA2G10	ENSG00000069764
SLC9A4	ENSG00000180251
TMEM238L	ENSG00000263429
TRBJ2-5	ENSG00000211769
XYLT2	ENSG00000015532
AC141272.1	ENSG00000277836
ACER2	ENSG00000177076
ACSM6	ENSG00000173124
ANXA10	ENSG00000109511
B3GNT6	ENSG00000198488
CTSE	ENSG00000196188
FA2H	ENSG00000103089
GCNT1	ENSG00000187210
HTR1B	ENSG00000135312
IGHA1	ENSG00000211895
IGHV3-15	ENSG00000211943
IGHV4-28	ENSG00000211952
IGKJ1	ENSG00000211597
IGKV1-39	ENSG00000242371
IGKV1-8	ENSG00000240671
IGLC7	ENSG00000211685
IGLV5-37	ENSG00000211654
KCNK16	ENSG00000095981
KPNA7	ENSG00000185467
MFSD4A	ENSG00000174514
MYMX	ENSG00000262179
PLAC8	ENSG00000145287
PSCA	ENSG00000167653
RFLNA	ENSG00000178882
SOX21	ENSG00000125285
TAAR1	ENSG00000146399
TFF2	ENSG00000160181
TMEM171	ENSG00000157111
TRAJ22	ENSG00000211867
VILL	ENSG00000136059
BPIFB1	ENSG00000125999
COL2A1	ENSG00000139219
CXCL17	ENSG00000189377
FAM177B	ENSG00000197520
FUT9	ENSG00000172461
GPR25	ENSG00000170128
IGHJ1	ENSG00000211905
IGHV3-30	ENSG00000270550
IGHV3-35	ENSG00000211957
IGHV3OR16-12	ENSG00000270467
IGKJ5	ENSG00000211593
IGLV4-3	ENSG00000211672
IGLV4-69	ENSG00000211637
LBX2	ENSG00000179528
MYRF	ENSG00000124920
RFX6	ENSG00000185002
ST6GALNAC1	ENSG00000070526
TRAJ56	ENSG00000211835
TRIM50	ENSG00000146755
UNC5CL	ENSG00000124602
VSIG1	ENSG00000101842
VSIG2	ENSG00000019102
AC008397.2	ENSG00000285188
AC136616.2	ENSG00000277761
AC233755.2	ENSG00000277856
AGR2	ENSG00000106541
AKR1B10	ENSG00000198074
AKR7A3	ENSG00000162482
AL359092.3	ENSG00000288570
ALDH3A1	ENSG00000108602
AMTN	ENSG00000187689
ANKRD22	ENSG00000152766
ANO7	ENSG00000146205
ARL14	ENSG00000179674
B3GNT3	ENSG00000179913
B4GALNT3	ENSG00000139044
BAIAP2L1	ENSG00000006453
BCL2L14	ENSG00000121380
BCL2L15	ENSG00000188761
C11orf53	ENSG00000150750
C13orf46	ENSG00000283199
C1orf116	ENSG00000182795
C9orf152	ENSG00000188959
CA2	ENSG00000104267
CAPN13	ENSG00000162949
CAPN9	ENSG00000135773
CCKAR	ENSG00000163394
CCL11	ENSG00000172156
CLDN23	ENSG00000253958
CYP2C18	ENSG00000108242
CYSTM1	ENSG00000120306
DDX60	ENSG00000137628
DRD5	ENSG00000169676
DUSP4	ENSG00000120875
ELAPOR1	ENSG00000116299
EPN3	ENSG00000049283
ESRRG	ENSG00000196482
F2RL1	ENSG00000164251
FAM243B	ENSG00000277277
FAM3B	ENSG00000183844
FAM83E	ENSG00000105523
FCGBP	ENSG00000275395
FOXA1	ENSG00000129514
FOXA2	ENSG00000125798
FOXQ1	ENSG00000164379
FRMD1	ENSG00000153303
FUT2	ENSG00000176920
GALE	ENSG00000117308
GALNT12	ENSG00000119514
GALNT3	ENSG00000115339
GALNT4	ENSG00000257594
GALNT5	ENSG00000136542
GALNT6	ENSG00000139629
GCNT4	ENSG00000176928
GIPR	ENSG00000010310
GMDS	ENSG00000112699
GOLM1	ENSG00000135052
