Gene	Ensembl
TG	ENSG00000042832
TPO	ENSG00000115705
DIO1	ENSG00000211452
SLC26A4	ENSG00000091137
TBX22	ENSG00000122145
IYD	ENSG00000009765
SLC26A7	ENSG00000147606
TSHR	ENSG00000165409
PAX8	ENSG00000125618
BMP8A	ENSG00000183682
CALCB	ENSG00000175868
GPR83	ENSG00000123901
FOXE1	ENSG00000178919
RTN4RL2	ENSG00000186907
IPCEF1	ENSG00000074706
NAT16	ENSG00000167011
ZMAT4	ENSG00000165061
COL23A1	ENSG00000050767
GGT2	ENSG00000133475
LIPG	ENSG00000101670
NKX2-1	ENSG00000136352
OR2W3	ENSG00000238243
SCUBE3	ENSG00000146197
SLC5A8	ENSG00000256870
SYT14	ENSG00000143469
CRYGN	ENSG00000127377
GCNT1	ENSG00000187210
GOLGA8O	ENSG00000206127
INPP5J	ENSG00000185133
KCNJ16	ENSG00000153822
OTOS	ENSG00000178602
PRSS50	ENSG00000283706
SEMA3D	ENSG00000153993
TMEM171	ENSG00000157111
TNFRSF11B	ENSG00000164761
CRABP1	ENSG00000166426
DGKI	ENSG00000157680
GGTLC3	ENSG00000274252
TFF3	ENSG00000160180
TRIM58	ENSG00000162722
AC022414.1	ENSG00000284762
AC109583.1	ENSG00000206549
ADGRG1	ENSG00000205336
ADM2	ENSG00000128165
AFAP1L2	ENSG00000169129
ALKAL1	ENSG00000196711
ARG2	ENSG00000081181
ATP13A4	ENSG00000127249
BMP7	ENSG00000101144
C16orf89	ENSG00000153446
CACNA1I	ENSG00000100346
CALCA	ENSG00000110680
CD24	ENSG00000272398
CHST1	ENSG00000175264
CLDN3	ENSG00000165215
CLIC3	ENSG00000169583
CNTN5	ENSG00000149972
CNTN6	ENSG00000134115
COL9A3	ENSG00000092758
CPQ	ENSG00000104324
CSGALNACT1	ENSG00000147408
CYP27B1	ENSG00000111012
DAPK2	ENSG00000035664
DIO2	ENSG00000211448
DOCK3	ENSG00000088538
DUOX2	ENSG00000140279
DUOXA1	ENSG00000140254
EGR2	ENSG00000122877
ERFE	ENSG00000178752
ESM1	ENSG00000164283
EXOC3L2	ENSG00000283632
F2RL3	ENSG00000127533
FAM167A	ENSG00000154319
FAM189A1	ENSG00000104059
FAM189A2	ENSG00000135063
FCGBP	ENSG00000275395
FHDC1	ENSG00000137460
FNDC1	ENSG00000164694
FRAS1	ENSG00000138759
FREM2	ENSG00000150893
FRMPD3	ENSG00000147234
GAL3ST3	ENSG00000175229
GALNT9	ENSG00000182870
GFRA2	ENSG00000168546
GFRA4	ENSG00000125861
GOLGA8M	ENSG00000188626
GOLGA8Q	ENSG00000178115
GRIN2C	ENSG00000161509
HHEX	ENSG00000152804
HHIPL2	ENSG00000143512
ID4	ENSG00000172201
IGFBPL1	ENSG00000137142
IGHE	ENSG00000211891
IQCA1	ENSG00000132321
ISM1	ENSG00000101230
ITGB3	ENSG00000259207
KCNC3	ENSG00000131398
KCNJ15	ENSG00000157551
KCNK17	ENSG00000124780
KHDRBS2	ENSG00000112232
KLHL14	ENSG00000197705
KLRG2	ENSG00000188883
KNSTRN	ENSG00000128944
KRT7	ENSG00000135480
LPCAT2	ENSG00000087253
LRP8	ENSG00000157193
LRRN3	ENSG00000173114
MARVELD2	ENSG00000152939
MEI4	ENSG00000269964
MGAT4C	ENSG00000182050
MLNR	ENSG00000102539
MPPED2	ENSG00000066382
MROH1	ENSG00000179832
MROH2A	ENSG00000185038
MT1F	ENSG00000198417
MT1G	ENSG00000125144
NPNT	ENSG00000168743
NTRK2	ENSG00000148053
OCLN	ENSG00000197822
OR2A1	ENSG00000221970
PBX4	ENSG00000105717
PCSK2	ENSG00000125851
PDE1A	ENSG00000115252
PDE8B	ENSG00000113231
PGF	ENSG00000119630
PKHD1L1	ENSG00000205038
PLA2R1	ENSG00000153246
PLVAP	ENSG00000130300
PPP1R14C	ENSG00000198729
PRAG1	ENSG00000275342
PRKX	ENSG00000183943
PRTG	ENSG00000166450
RAP1GAP	ENSG00000076864
RGL3	ENSG00000205517
RGS16	ENSG00000143333
RHPN1	ENSG00000158106
S100A5	ENSG00000196420
SALL4	ENSG00000101115
SCX	ENSG00000260428
SDC2	ENSG00000169439
SH3D21	ENSG00000214193
SHISA2	ENSG00000180730
SLC12A8	ENSG00000221955
SLC16A11	ENSG00000174326
SLC25A29	ENSG00000197119
SLC39A10	ENSG00000196950
SLC4A11	ENSG00000088836
SLC4A5	ENSG00000188687
SMAD9	ENSG00000120693
SNX22	ENSG00000157734
SORBS2	ENSG00000154556
SORCS1	ENSG00000108018
SPRING1	ENSG00000111412
ST6GAL2	ENSG00000144057
STC1	ENSG00000159167
TBL1Y	ENSG00000092377
TCERG1L	ENSG00000176769
TLE6	ENSG00000104953
TMEM267	ENSG00000151881
TPMT	ENSG00000137364
UTS2R	ENSG00000181408
VWDE	ENSG00000146530
WDR72	ENSG00000166415
WDR86	ENSG00000187260
WSCD2	ENSG00000075035
ZBED2	ENSG00000177494
ZNF114	ENSG00000178150
ZNF486	ENSG00000256229
ZNF571	ENSG00000180479
ZNF804B	ENSG00000182348
ZYG11A	ENSG00000203995
