Gene	Ensembl
NMRK2	ENSG00000077009
TNNC2	ENSG00000101470
MYLPF	ENSG00000180209
FBXO40	ENSG00000163833
MYL1	ENSG00000168530
MYBPC1	ENSG00000196091
CACNA1S	ENSG00000081248
ATP2A1	ENSG00000196296
MYH2	ENSG00000125414
MYOZ1	ENSG00000177791
UCP3	ENSG00000175564
STRIT1	ENSG00000240045
MYL2	ENSG00000111245
MYH7	ENSG00000092054
NEB	ENSG00000183091
TMOD4	ENSG00000163157
DHRS7C	ENSG00000184544
PYGM	ENSG00000068976
CASQ1	ENSG00000143318
PPP1R3A	ENSG00000154415
ANKRD2	ENSG00000165887
KLHL40	ENSG00000157119
MYOT	ENSG00000120729
SLC36A2	ENSG00000186335
UNC45B	ENSG00000141161
ART1	ENSG00000129744
CACNG1	ENSG00000108878
PERM1	ENSG00000187642
ACTN2	ENSG00000077522
KCNA7	ENSG00000104848
SMTNL1	ENSG00000214872
HRC	ENSG00000130528
CKMT2	ENSG00000131730
TCAP	ENSG00000173991
COX6A2	ENSG00000156885
TNNT3	ENSG00000130595
KLHL41	ENSG00000239474
MYF6	ENSG00000111046
STYXL2	ENSG00000198842
SMCO1	ENSG00000214097
SRL	ENSG00000185739
STAC3	ENSG00000185482
TNNI1	ENSG00000159173
ANKRD23	ENSG00000163126
LMOD2	ENSG00000170807
SMPX	ENSG00000091482
MB	ENSG00000198125
ADPRHL1	ENSG00000153531
TNNC1	ENSG00000114854
FSD2	ENSG00000186628
PRKAG3	ENSG00000115592
KLHL33	ENSG00000185271
TNNT1	ENSG00000105048
ATP1B4	ENSG00000101892
SBK2	ENSG00000187550
MYOZ3	ENSG00000164591
ENO3	ENSG00000108515
FHL3	ENSG00000183386
LDB3	ENSG00000122367
TNNI2	ENSG00000130598
TMEM182	ENSG00000170417
AMPD1	ENSG00000116748
MYF5	ENSG00000111049
MYOM1	ENSG00000101605
RAPSN	ENSG00000165917
ASB12	ENSG00000198881
PAX7	ENSG00000009709
FGF6	ENSG00000111241
CALML6	ENSG00000169885
LRRC30	ENSG00000206422
COX7A1	ENSG00000161281
MYOG	ENSG00000122180
SYNPO2L	ENSG00000166317
HSPB3	ENSG00000169271
MYLK4	ENSG00000145949
TXLNB	ENSG00000164440
ASB11	ENSG00000165192
FABP3	ENSG00000121769
JPH1	ENSG00000104369
MYBPC2	ENSG00000086967
SYPL2	ENSG00000143028
TPM3	ENSG00000143549
TRIM54	ENSG00000138100
ART3	ENSG00000156219
ATP2A2	ENSG00000174437
PGAM2	ENSG00000164708
PHKG1	ENSG00000164776
CKM	ENSG00000104879
FEM1A	ENSG00000141965
MLIP	ENSG00000146147
NOS1	ENSG00000089250
RBFOX1	ENSG00000078328
SMYD1	ENSG00000115593
AGBL1	ENSG00000273540
PDLIM3	ENSG00000154553
SGCG	ENSG00000102683
SLC8A3	ENSG00000100678
SMTNL2	ENSG00000188176
TRIM72	ENSG00000177238
YIPF7	ENSG00000177752
ADSS1	ENSG00000185100
CACNB1	ENSG00000067191
DDIT4L	ENSG00000145358
LRRC38	ENSG00000162494
MYH8	ENSG00000133020
SLC25A4	ENSG00000151729
ACHE	ENSG00000087085
ALDOA	ENSG00000149925
ANK1	ENSG00000029534
COQ10A	ENSG00000135469
FBP2	ENSG00000130957
FNDC5	ENSG00000160097
HHATL	ENSG00000010282
HSPB7	ENSG00000173641
MAPK12	ENSG00000188130
MYOM3	ENSG00000142661
PDE4DIP	ENSG00000178104
PLPP7	ENSG00000160539
RTN2	ENSG00000125744
TMEM38A	ENSG00000072954
TPM2	ENSG00000198467
ABLIM2	ENSG00000163995
CACNG6	ENSG00000130433
CCDC28B	ENSG00000160050
COQ8A	ENSG00000163050
CUTC	ENSG00000119929
DTNA	ENSG00000134769
FHL1	ENSG00000022267
GADL1	ENSG00000144644
IP6K3	ENSG00000161896
MRLN	ENSG00000227877
NIPSNAP2	ENSG00000146729
PDLIM5	ENSG00000163110
PLAAT1	ENSG00000127252
PTGES3L	ENSG00000267060
YBX3	ENSG00000060138
AC007325.4	ENSG00000278817
AC093512.2	ENSG00000285043
ADCY2	ENSG00000078295
ADSL	ENSG00000239900
ASB14	ENSG00000239388
ASB5	ENSG00000164122
C19orf47	ENSG00000160392
CASTOR2	ENSG00000274070
CLTCL1	ENSG00000070371
FAM240C	ENSG00000216921
HJV	ENSG00000168509
HSPB2	ENSG00000170276
KCNJ11	ENSG00000187486
KCNJ12	ENSG00000184185
MYLK3	ENSG00000140795
NDUFC1	ENSG00000109390
NEXN	ENSG00000162614
OPTN	ENSG00000123240
PFKFB1	ENSG00000158571
PITX3	ENSG00000107859
PKIA	ENSG00000171033
PRKCQ	ENSG00000065675
RBM24	ENSG00000112183
SCHIP1	ENSG00000151967
SGCA	ENSG00000108823
SH3BGR	ENSG00000185437
SLN	ENSG00000170290
SYNPO	ENSG00000171992
TRIM55	ENSG00000147573
AGL	ENSG00000162688
BIN1	ENSG00000136717
CAV3	ENSG00000182533
CDH20	ENSG00000101542
CDIN1	ENSG00000186073
CFL2	ENSG00000165410
CMYA5	ENSG00000164309
CPT1B	ENSG00000205560
EXTL1	ENSG00000158008
FABP7	ENSG00000164434
FXR1	ENSG00000114416
GYS1	ENSG00000104812
KIF1B	ENSG00000054523
LRRC2	ENSG00000163827
LRRC20	ENSG00000172731
MAMSTR	ENSG00000176909
MEF2C	ENSG00000081189
MYL12A	ENSG00000101608
NDUFB10	ENSG00000140990
NKAIN1	ENSG00000084628
P2RX6	ENSG00000099957
PACSIN3	ENSG00000165912
PFKM	ENSG00000152556
PPP2R3A	ENSG00000073711
PRR32	ENSG00000183631
RAD23A	ENSG00000179262
SCN4A	ENSG00000007314
SEMA6C	ENSG00000143434
SLC29A2	ENSG00000174669
STK25	ENSG00000115694
TMEM52	ENSG00000178821
UBE2QL1	ENSG00000215218
UTP11	ENSG00000183520
VDAC3	ENSG00000078668
ALPK2	ENSG00000198796
ALPK3	ENSG00000136383
ANO5	ENSG00000171714
ASB2	ENSG00000100628
BEST3	ENSG00000127325
C10orf71	ENSG00000177354
CAVIN4	ENSG00000170681
CHCHD3	ENSG00000106554
CORO6	ENSG00000167549
DCAF6	ENSG00000143164
DUSP26	ENSG00000133878
GAPDH	ENSG00000111640
GOT1	ENSG00000120053
IDH2	ENSG00000182054
KCNQ5	ENSG00000185760
KCNS3	ENSG00000170745
KIF1C	ENSG00000129250
KY	ENSG00000174611
MAPKAPK3	ENSG00000114738
MN1	ENSG00000169184
MTLN	ENSG00000175701
NRAP	ENSG00000197893
NT5C1A	ENSG00000116981
PGM1	ENSG00000079739
PHKA1	ENSG00000067177
PPM1J	ENSG00000155367
PPP3CB	ENSG00000107758
RASA4	ENSG00000105808
RNF157	ENSG00000141576
SIX4	ENSG00000100625
SLC25A11	ENSG00000108528
SLC25A34	ENSG00000162461
SYNC	ENSG00000162520
TMEM266	ENSG00000169758
TRIM7	ENSG00000146054
ZNF556	ENSG00000172000
ABRA	ENSG00000174429
AC005702.1	ENSG00000267318
AC005833.1	ENSG00000255639
ACADM	ENSG00000117054
ACO2	ENSG00000100412
ACYP2	ENSG00000170634
ADHFE1	ENSG00000147576
AIMP2	ENSG00000106305
AK1	ENSG00000106992
AKAP6	ENSG00000151320
AL139300.1	ENSG00000256500
AL355315.1	ENSG00000249967
AMER1	ENSG00000184675
AMOT	ENSG00000126016
ANK2	ENSG00000145362
APOBEC2	ENSG00000124701
APOL5	ENSG00000128313
ASB10	ENSG00000146926
ASB15	ENSG00000146809
ASB8	ENSG00000177981
ATP1A2	ENSG00000018625
ATP5F1A	ENSG00000152234
ATP5F1B	ENSG00000110955
ATP5F1C	ENSG00000165629
ATP5MC1	ENSG00000159199
ATP5MC3	ENSG00000154518
ATP5PB	ENSG00000116459
ATP5PF	ENSG00000154723
ATP5PO	ENSG00000241837
ATPAF1	ENSG00000123472
B3GALT1	ENSG00000172318
BOLA3	ENSG00000163170
BTBD1	ENSG00000064726
BVES	ENSG00000112276
BZW2	ENSG00000136261
C19orf12	ENSG00000131943
CA14	ENSG00000118298
CACNA2D1	ENSG00000153956
CACNA2D3	ENSG00000157445
CAP2	ENSG00000112186
CAPN3	ENSG00000092529
CDH13	ENSG00000140945
CDNF	ENSG00000185267
CEP85	ENSG00000130695
CHRNB1	ENSG00000170175
CLCN4	ENSG00000073464
CLIC5	ENSG00000112782
CLIP1	ENSG00000130779
COBL	ENSG00000106078
COQ2	ENSG00000173085
COQ3	ENSG00000132423
COQ9	ENSG00000088682
COX10	ENSG00000006695
COX5A	ENSG00000178741
COX6B1	ENSG00000126267
COX7B	ENSG00000131174
CRAT	ENSG00000095321
CRYAB	ENSG00000109846
CS	ENSG00000062485
CSRP3	ENSG00000129170
CYC1	ENSG00000179091
CYCS	ENSG00000172115
DCUN1D2	ENSG00000150401
DEPTOR	ENSG00000155792
DGLUCY	ENSG00000133943
DIRAS1	ENSG00000176490
DLAT	ENSG00000150768
DLD	ENSG00000091140
DNAJA4	ENSG00000140403
DNAJB5	ENSG00000137094
DOK5	ENSG00000101134
DUSP13	ENSG00000079393
EGFLAM	ENSG00000164318
EIF1AY	ENSG00000198692
EPM2A	ENSG00000112425
ETFA	ENSG00000140374
ETFDH	ENSG00000171503
EYA4	ENSG00000112319
FAM210A	ENSG00000177150
FGF13	ENSG00000129682
FILIP1	ENSG00000118407
FKBP3	ENSG00000100442
FKBP5	ENSG00000096060
FLNC	ENSG00000128591
FRMD3	ENSG00000172159
FUNDC2	ENSG00000165775
FXYD1	ENSG00000266964
GAMT	ENSG00000130005
GATD3A	ENSG00000160221
GMPR	ENSG00000137198
GOT2	ENSG00000125166
GPD1L	ENSG00000152642
GPSM2	ENSG00000121957
GPT2	ENSG00000166123
GRB14	ENSG00000115290
GRIP2	ENSG00000144596
GYG1	ENSG00000163754
HADH	ENSG00000138796
HADHB	ENSG00000138029
HIF1AN	ENSG00000166135
HSDL2	ENSG00000119471
HSPB6	ENSG00000004776
IDH3A	ENSG00000166411
IGDCC4	ENSG00000103742
IMMT	ENSG00000132305
ITGB1BP2	ENSG00000147166
ITGB6	ENSG00000115221
KBTBD12	ENSG00000187715
KCNE5	ENSG00000176076
KLHL31	ENSG00000124743
KLHL38	ENSG00000175946
KPNA3	ENSG00000102753
LIMCH1	ENSG00000064042
LINGO4	ENSG00000213171
LMO1	ENSG00000166407
LMOD3	ENSG00000163380
LPIN1	ENSG00000134324
LRRC39	ENSG00000122477
LYRM7	ENSG00000186687
MAP3K20	ENSG00000091436
MAP3K7CL	ENSG00000156265
MCU	ENSG00000156026
MDH1	ENSG00000014641
MDH2	ENSG00000146701
MFN2	ENSG00000116688
MKNK2	ENSG00000099875
MLYCD	ENSG00000103150
MPC1	ENSG00000060762
MRPL15	ENSG00000137547
MSTN	ENSG00000138379
MYBPH	ENSG00000133055
MYH15	ENSG00000144821
MYL3	ENSG00000160808
MYL6B	ENSG00000196465
MYO18A	ENSG00000196535
MYO18B	ENSG00000133454
MYOC	ENSG00000034971
MYOZ2	ENSG00000172399
MYPN	ENSG00000138347
NDUFA10	ENSG00000130414
NDUFA12	ENSG00000184752
NDUFA4	ENSG00000189043
NDUFA5	ENSG00000128609
NDUFA8	ENSG00000119421
NDUFB3	ENSG00000119013
NDUFB9	ENSG00000147684
NDUFS1	ENSG00000023228
NDUFS2	ENSG00000158864
NDUFS4	ENSG00000164258
NEDD4	ENSG00000069869
NEK10	ENSG00000163491
NEURL1	ENSG00000107954
NFE2L1	ENSG00000082641
NIPSNAP3B	ENSG00000165028
NNT	ENSG00000112992
NXPE3	ENSG00000144815
OGDH	ENSG00000105953
OSBPL11	ENSG00000144909
OSBPL6	ENSG00000079156
P2RY2	ENSG00000175591
PADI2	ENSG00000117115
PARVB	ENSG00000188677
PCBD2	ENSG00000132570
PDE4C	ENSG00000105650
PDHA1	ENSG00000131828
PDHB	ENSG00000168291
PDHX	ENSG00000110435
PDK2	ENSG00000005882
PDK4	ENSG00000004799
PEBP4	ENSG00000134020
PHTF2	ENSG00000006576
PHYH	ENSG00000107537
PINK1	ENSG00000158828
PKM	ENSG00000067225
PKNOX2	ENSG00000165495
PLCL1	ENSG00000115896
POPDC3	ENSG00000132429
PPARA	ENSG00000186951
PPP1R1A	ENSG00000135447
PPP1R3C	ENSG00000119938
PPTC7	ENSG00000196850
PRKAA2	ENSG00000162409
PRKAB2	ENSG00000131791
PRKG1	ENSG00000185532
PRKN	ENSG00000185345
PRR16	ENSG00000184838
PTGES3L-AARSD1	ENSG00000108825
PTGFR	ENSG00000122420
RCAN2	ENSG00000172348
RNF123	ENSG00000164068
RPL3L	ENSG00000140986
RPP14	ENSG00000163684
RPUSD4	ENSG00000165526
RYR3	ENSG00000198838
S100A1	ENSG00000160678
SBK3	ENSG00000231274
SCN1B	ENSG00000105711
SCN4B	ENSG00000177098
SDHB	ENSG00000117118
SELENOW	ENSG00000178980
SGCD	ENSG00000170624
SH2D1B	ENSG00000198574
SIRT2	ENSG00000068903
SIX1	ENSG00000126778
SLC19A2	ENSG00000117479
SLC25A30	ENSG00000174032
SLC25A33	ENSG00000171612
SLC41A1	ENSG00000133065
SLCO5A1	ENSG00000137571
SNTA1	ENSG00000101400
SPEGNB	ENSG00000286095
SPTB	ENSG00000070182
SRPK3	ENSG00000184343
SSPN	ENSG00000123096
