Gene	Ensembl
UPK2	ENSG00000110375
PLA2G2F	ENSG00000158786
MMP13	ENSG00000137745
IGKV6D-21	ENSG00000225523
IGLJ3	ENSG00000211678
TNFAIP6	ENSG00000123610
UPK3A	ENSG00000100373
AC019117.1	ENSG00000283321
IGHG1	ENSG00000211896
IGKV3D-15	ENSG00000224041
IGLJ6	ENSG00000211682
PADI3	ENSG00000142619
TMEM238L	ENSG00000263429
UGT1A6	ENSG00000167165
UPK3B	ENSG00000243566
AC141272.1	ENSG00000277836
ACER2	ENSG00000177076
ACSM6	ENSG00000173124
CCL20	ENSG00000115009
CXCL6	ENSG00000124875
CYP24A1	ENSG00000019186
IGHJ6	ENSG00000211900
IGHV3-15	ENSG00000211943
IGHV4-28	ENSG00000211952
IGKJ1	ENSG00000211597
IGKV1-8	ENSG00000240671
IGLV3-16	ENSG00000211665
IL23A	ENSG00000110944
IL24	ENSG00000162892
ADGRF1	ENSG00000153292
APOBEC3A	ENSG00000128383
CCL22	ENSG00000102962
IGHV1-58	ENSG00000211968
IGHV3-30	ENSG00000270550
IGHV3-35	ENSG00000211957
IGKJ5	ENSG00000211593
IGLV4-69	ENSG00000211637
PLA2G2A	ENSG00000188257
AARD	ENSG00000205002
AC135068.1	ENSG00000278263
AC233755.1	ENSG00000275063
ADORA2B	ENSG00000170425
ALDH1A3	ENSG00000184254
ALG1L	ENSG00000189366
AQP3	ENSG00000165272
AREG	ENSG00000109321
ATP1A4	ENSG00000132681
BDKRB1	ENSG00000100739
BDKRB2	ENSG00000168398
BMP3	ENSG00000152785
BTBD16	ENSG00000138152
CCL11	ENSG00000172156
CCL13	ENSG00000181374
CCL2	ENSG00000108691
CCR4	ENSG00000183813
CLDN4	ENSG00000189143
CLEC3A	ENSG00000166509
COL4A6	ENSG00000197565
CSF3	ENSG00000108342
CTHRC1	ENSG00000164932
CYP1A1	ENSG00000140465
DHRS2	ENSG00000100867
DUOX2	ENSG00000140279
DUOXA2	ENSG00000140274
DUSP5	ENSG00000138166
EDARADD	ENSG00000186197
EVX1	ENSG00000106038
FGF7	ENSG00000140285
FOSL1	ENSG00000175592
FOXF1	ENSG00000103241
FOXQ1	ENSG00000164379
GATA5	ENSG00000130700
GDF15	ENSG00000130513
GLP2R	ENSG00000065325
GPR84	ENSG00000139572
GPRC5A	ENSG00000013588
GPX2	ENSG00000176153
HAS2	ENSG00000170961
HAS3	ENSG00000103044
HBEGF	ENSG00000113070
HOXA1	ENSG00000105991
HPGD	ENSG00000164120
ICAM1	ENSG00000090339
IGHJ4	ENSG00000240041
IGHV1-69	ENSG00000211973
IGHV2-26	ENSG00000211951
IGHV3-13	ENSG00000211942
IGHV3-20	ENSG00000211946
IGHV3-38	ENSG00000211958
IGHV3-43	ENSG00000232216
IGHV3-66	ENSG00000211972
IGHV3-72	ENSG00000225698
IGHV3-73	ENSG00000211976
IGHV3OR16-8	ENSG00000271130
IGHV3OR16-9	ENSG00000270472
IGHV4-31	ENSG00000231475
IGHV4-34	ENSG00000211956
IGHV4-39	ENSG00000211959
IGHV4-4	ENSG00000276775
IGHV4-59	ENSG00000224373
IGHV4OR15-8	ENSG00000259261
IGHV5-51	ENSG00000211966
IGKV1-16	ENSG00000240864
IGKV1-33	ENSG00000242076
IGKV1-37	ENSG00000239862
IGKV1-5	ENSG00000243466
IGKV1D-37	ENSG00000250036
IGKV2-24	ENSG00000241294
IGKV2-40	ENSG00000273962
IGKV2D-24	ENSG00000241566
IGKV3-11	ENSG00000241351
IGKV3-15	ENSG00000244437
IGKV3D-7	ENSG00000228325
IGLC3	ENSG00000211679
IGLV1-36	ENSG00000211655
IGLV1-51	ENSG00000211644
IGLV3-21	ENSG00000211662
IGLV3-32	ENSG00000211657
IGLV4-60	ENSG00000211639
IGLV5-48	ENSG00000211647
IGLV6-57	ENSG00000211640
IGLV7-46	ENSG00000211649
IL17C	ENSG00000124391
IL1A	ENSG00000115008
IL1B	ENSG00000125538
IL22	ENSG00000127318
IL2RA	ENSG00000134460
IL33	ENSG00000137033
IL6	ENSG00000136244
IL9R	ENSG00000124334
ITGA5	ENSG00000161638
KRT17	ENSG00000128422
KRT19	ENSG00000171345
KYNU	ENSG00000115919
LAMB3	ENSG00000196878
LAMC2	ENSG00000058085
LIF	ENSG00000128342
LXN	ENSG00000079257
MARCOL	ENSG00000248109
MMP1	ENSG00000196611
MMP12	ENSG00000262406
MMP7	ENSG00000137673
MPZL2	ENSG00000149573
MSX2	ENSG00000120149
MYH11	ENSG00000133392
OAS1	ENSG00000089127
OR13A1	ENSG00000256574
OSR1	ENSG00000143867
P2RX1	ENSG00000108405
PITX2	ENSG00000164093
PLAT	ENSG00000104368
PLAU	ENSG00000122861
PRDM6	ENSG00000061455
PTGES	ENSG00000148344
PTGIS	ENSG00000124212
PTGS1	ENSG00000095303
PTGS2	ENSG00000073756
PTPRQ	ENSG00000139304
PTX3	ENSG00000163661
RBFOX3	ENSG00000167281
S100A2	ENSG00000196754
S100P	ENSG00000163993
SELE	ENSG00000007908
SFRP2	ENSG00000145423
SHH	ENSG00000164690
SHROOM1	ENSG00000164403
SIGLEC15	ENSG00000197046
SLC14A1	ENSG00000141469
SLITRK6	ENSG00000184564
SMTN	ENSG00000183963
SNX31	ENSG00000174226
SPOCD1	ENSG00000134668
SPTSSB	ENSG00000196542
SYNM	ENSG00000182253
SYT8	ENSG00000149043
TACR3	ENSG00000169836
THY1	ENSG00000154096
TIMP1	ENSG00000102265
TMPRSS4	ENSG00000137648
TNFAIP2	ENSG00000185215
TNFRSF21	ENSG00000146072
TNIP3	ENSG00000050730
TRIM31	ENSG00000204616
TRPA1	ENSG00000104321
TSLP	ENSG00000145777
UGT1A8	ENSG00000242366
UPK1A	ENSG00000105668
UPK1B	ENSG00000114638
