Gene	Ensembl
TMPRSS11D	ENSG00000153802
KLK12	ENSG00000186474
S100A7A	ENSG00000184330
HOXD13	ENSG00000128714
IGFL1	ENSG00000188293
FAM25C	ENSG00000276430
FAM83C	ENSG00000125998
GJB5	ENSG00000189280
HEPHL1	ENSG00000181333
SERPINB3	ENSG00000057149
ALDH3B2	ENSG00000132746
ANXA8L1	ENSG00000264230
BNIPL	ENSG00000163141
FOXN1	ENSG00000109101
IL20RB	ENSG00000174564
IVL	ENSG00000163207
KRT15	ENSG00000171346
KRT5	ENSG00000186081
KRT6A	ENSG00000205420
KRTDAP	ENSG00000188508
PGLYRP4	ENSG00000163218
RAET1L	ENSG00000155918
S100A7	ENSG00000143556
SERPINB4	ENSG00000206073
TMPRSS11E	ENSG00000087128
C10orf99	ENSG00000188373
CLDN17	ENSG00000156282
FAM83A	ENSG00000147689
LEXM	ENSG00000162398
PI3	ENSG00000124102
PKP1	ENSG00000081277
PLA2G3	ENSG00000100078
RNF223	ENSG00000237330
S100A14	ENSG00000189334
SFN	ENSG00000175793
A2ML1	ENSG00000166535
ALOX12	ENSG00000108839
ANXA8	ENSG00000265190
B3GNT8	ENSG00000177191
BARX2	ENSG00000043039
CALML3	ENSG00000178363
CARD14	ENSG00000141527
CERS3	ENSG00000154227
CLCA2	ENSG00000137975
CLIC3	ENSG00000169583
CNFN	ENSG00000105427
CRABP2	ENSG00000143320
CRCT1	ENSG00000169509
CRNN	ENSG00000143536
CRYBG2	ENSG00000176092
CSTA	ENSG00000121552
CYP4F22	ENSG00000171954
DEFB103A	ENSG00000176797
DSC2	ENSG00000134755
DSG3	ENSG00000134757
EDN2	ENSG00000127129
EDN3	ENSG00000124205
EMP1	ENSG00000134531
ENDOU	ENSG00000111405
EPHX3	ENSG00000105131
EVPL	ENSG00000167880
EVPLL	ENSG00000214860
EVX1	ENSG00000106038
FABP5	ENSG00000164687
FAM25A	ENSG00000188100
FGFBP1	ENSG00000137440
GJB2	ENSG00000165474
GJB6	ENSG00000121742
GPR87	ENSG00000138271
GRHL1	ENSG00000134317
GRHL3	ENSG00000158055
GSDMC	ENSG00000147697
H2BC9	ENSG00000275713
H2BU1	ENSG00000196890
HES2	ENSG00000069812
HOXD10	ENSG00000128710
HOXD11	ENSG00000128713
HPSE2	ENSG00000172987
IRX4	ENSG00000113430
ISL1	ENSG00000016082
ISL2	ENSG00000159556
KLK10	ENSG00000129451
KLK11	ENSG00000167757
KLK8	ENSG00000129455
KRT13	ENSG00000171401
KRT16	ENSG00000186832
KRT6B	ENSG00000185479
KRT6C	ENSG00000170465
LCE3D	ENSG00000163202
LCE3E	ENSG00000185966
LY6D	ENSG00000167656
LYPD3	ENSG00000124466
MAB21L4	ENSG00000172478
MAL	ENSG00000172005
MUC21	ENSG00000204544
MUC4	ENSG00000145113
NCCRP1	ENSG00000188505
NECTIN4	ENSG00000143217
NMU	ENSG00000109255
NOD2	ENSG00000167207
NUAK2	ENSG00000163545
PGLYRP3	ENSG00000159527
PI16	ENSG00000164530
PINX1	ENSG00000258724
PITX1	ENSG00000069011
PLA2G4D	ENSG00000159337
PLEKHN1	ENSG00000187583
PPL	ENSG00000118898
PRSS27	ENSG00000172382
PTK6	ENSG00000101213
RAET1E	ENSG00000164520
RAPGEFL1	ENSG00000108352
RHCG	ENSG00000140519
RHOV	ENSG00000104140
RNF222	ENSG00000189051
RNF225	ENSG00000269855
RNF39	ENSG00000204618
S100A8	ENSG00000143546
S100A9	ENSG00000163220
SALL3	ENSG00000256463
SBSN	ENSG00000189001
SDR9C7	ENSG00000170426
SERPINB12	ENSG00000166634
SERPINB13	ENSG00000197641
SLURP2	ENSG00000283992
SOX7	ENSG00000171056
SPINK5	ENSG00000133710
SPINK6	ENSG00000178172
SPINK7	ENSG00000145879
SPRR1B	ENSG00000169469
SPRR3	ENSG00000163209
SULT1E1	ENSG00000109193
SULT2B1	ENSG00000088002
TMEM40	ENSG00000088726
TMEM79	ENSG00000163472
TMPRSS11A	ENSG00000187054
TMPRSS11B	ENSG00000185873
TMPRSS11F	ENSG00000198092
TNFSF9	ENSG00000125657
TNS4	ENSG00000131746
TP53AIP1	ENSG00000120471
TPRG1	ENSG00000188001
TRIM29	ENSG00000137699
TTC22	ENSG00000006555
UCN2	ENSG00000145040
UPK1A	ENSG00000105668
VSIG10L	ENSG00000186806
ZNF750	ENSG00000141579
