Gene	Ensembl
A2M	ENSG00000175899
A4GALT	ENSG00000128274
AAAS	ENSG00000094914
AACS	ENSG00000081760
AADAT	ENSG00000109576
AAGAB	ENSG00000103591
AAMDC	ENSG00000087884
AAMP	ENSG00000127837
AAR2	ENSG00000131043
AARS1	ENSG00000090861
AARS2	ENSG00000124608
AARSD1	ENSG00000266967
AASDH	ENSG00000157426
AASDHPPT	ENSG00000149313
AASS	ENSG00000008311
AATF	ENSG00000275700
ABAT	ENSG00000183044
ABCA1	ENSG00000165029
ABCA10	ENSG00000154263
ABCA4	ENSG00000198691
ABCA5	ENSG00000154265
ABCA6	ENSG00000154262
ABCA7	ENSG00000064687
ABCA8	ENSG00000141338
ABCA9	ENSG00000154258
ABCB1	ENSG00000085563
ABCB10	ENSG00000135776
ABCB6	ENSG00000115657
ABCB7	ENSG00000131269
ABCB8	ENSG00000197150
ABCC1	ENSG00000103222
ABCC10	ENSG00000124574
ABCC4	ENSG00000125257
ABCC5	ENSG00000114770
ABCC9	ENSG00000069431
ABCD1	ENSG00000101986
ABCD3	ENSG00000117528
ABCD4	ENSG00000119688
ABCE1	ENSG00000164163
ABCF1	ENSG00000204574
ABCF2	ENSG00000033050
ABCF2-H2BE1	ENSG00000285292
ABCF3	ENSG00000161204
ABCG1	ENSG00000160179
ABCG2	ENSG00000118777
ABHD10	ENSG00000144827
ABHD11	ENSG00000106077
ABHD12	ENSG00000100997
ABHD13	ENSG00000139826
ABHD14A	ENSG00000248487
ABHD14B	ENSG00000114779
ABHD15	ENSG00000168792
ABHD17A	ENSG00000129968
ABHD17B	ENSG00000107362
ABHD17C	ENSG00000136379
ABHD18	ENSG00000164074
ABHD2	ENSG00000140526
ABHD3	ENSG00000158201
ABHD4	ENSG00000100439
ABHD5	ENSG00000011198
ABHD6	ENSG00000163686
ABHD8	ENSG00000127220
ABI1	ENSG00000136754
ABI2	ENSG00000138443
ABI3	ENSG00000108798
ABI3BP	ENSG00000154175
ABITRAM	ENSG00000119328
ABL1	ENSG00000097007
ABL2	ENSG00000143322
ABLIM1	ENSG00000099204
ABLIM3	ENSG00000173210
ABO	ENSG00000175164
ABRACL	ENSG00000146386
ABRAXAS1	ENSG00000163322
ABRAXAS2	ENSG00000165660
ABT1	ENSG00000146109
ABTB1	ENSG00000114626
ABTB2	ENSG00000166016
AC002996.1	ENSG00000257767
AC003002.2	ENSG00000268533
AC004556.3	ENSG00000276345
AC004832.3	ENSG00000249590
AC005154.5	ENSG00000281039
AC005551.1	ENSG00000284638
AC005702.1	ENSG00000267318
AC007325.2	ENSG00000277196
AC007325.4	ENSG00000278817
AC007326.4	ENSG00000283809
AC007906.2	ENSG00000277639
AC008397.2	ENSG00000285188
AC008878.1	ENSG00000267952
AC009779.3	ENSG00000258311
AC010522.1	ENSG00000268750
AC011043.1	ENSG00000276256
AC011448.1	ENSG00000258674
AC012254.6	ENSG00000288607
AC012254.7	ENSG00000288631
AC013394.1	ENSG00000279765
AC015802.6	ENSG00000284526
AC020907.6	ENSG00000285526
AC022150.4	ENSG00000269825
AC022506.1	ENSG00000285133
AC024592.3	ENSG00000267740
AC026316.4	ENSG00000285218
AC026464.4	ENSG00000260914
AC026464.6	ENSG00000272617
AC055839.2	ENSG00000286190
AC058822.1	ENSG00000282278
AC063943.2	ENSG00000288623
AC068580.4	ENSG00000250644
AC068631.2	ENSG00000283149
AC068775.1	ENSG00000255641
AC069368.1	ENSG00000249240
AC069544.1	ENSG00000284024
AC073896.1	ENSG00000144785
AC079741.2	ENSG00000288634
AC084756.2	ENSG00000288645
AC090373.2	ENSG00000288616
AC092718.2	ENSG00000260643
AC092718.7	ENSG00000284512
AC093155.3	ENSG00000267561
AC093323.1	ENSG00000170846
AC093512.2	ENSG00000285043
AC093827.5	ENSG00000285458
AC099850.2	ENSG00000265303
AC107959.5	ENSG00000284956
AC116366.1	ENSG00000283782
AC117378.1	ENSG00000285625
AC131160.1	ENSG00000283765
AC138969.1	ENSG00000183889
AC145212.1	ENSG00000277400
AC233723.1	ENSG00000262165
AC240274.1	ENSG00000271254
AC244197.3	ENSG00000241489
ACAA1	ENSG00000060971
ACAA2	ENSG00000167315
ACACA	ENSG00000278540
ACACB	ENSG00000076555
ACAD10	ENSG00000111271
ACAD11	ENSG00000240303
ACAD8	ENSG00000151498
ACAD9	ENSG00000177646
ACADM	ENSG00000117054
ACADS	ENSG00000122971
ACADSB	ENSG00000196177
ACADVL	ENSG00000072778
ACAP2	ENSG00000114331
ACAP3	ENSG00000131584
ACAT1	ENSG00000075239
ACAT2	ENSG00000120437
ACBD3	ENSG00000182827
ACBD4	ENSG00000181513
ACBD5	ENSG00000107897
ACBD6	ENSG00000230124
ACBD7	ENSG00000176244
ACCS	ENSG00000110455
ACD	ENSG00000102977
ACE2	ENSG00000130234
ACER2	ENSG00000177076
ACER3	ENSG00000078124
ACIN1	ENSG00000100813
ACKR1	ENSG00000213088
ACKR3	ENSG00000144476
ACLY	ENSG00000131473
ACO1	ENSG00000122729
ACO2	ENSG00000100412
ACOT1	ENSG00000184227
ACOT11	ENSG00000162390
ACOT13	ENSG00000112304
ACOT2	ENSG00000119673
ACOT4	ENSG00000177465
ACOT6	ENSG00000205669
ACOT7	ENSG00000097021
ACOT8	ENSG00000101473
ACOT9	ENSG00000123130
ACOX1	ENSG00000161533
ACOX2	ENSG00000168306
ACOX3	ENSG00000087008
ACP1	ENSG00000143727
ACP2	ENSG00000134575
ACP3	ENSG00000014257
ACP5	ENSG00000102575
ACP6	ENSG00000162836
ACR	ENSG00000100312
ACRBP	ENSG00000111644
ACRV1	ENSG00000134940
ACSF2	ENSG00000167107
ACSF3	ENSG00000176715
ACSL1	ENSG00000151726
ACSL3	ENSG00000123983
ACSL4	ENSG00000068366
ACSL5	ENSG00000197142
ACSL6	ENSG00000164398
ACSM3	ENSG00000005187
ACSM5	ENSG00000183549
ACSS1	ENSG00000154930
ACSS2	ENSG00000131069
ACSS3	ENSG00000111058
ACTA2	ENSG00000107796
ACTB	ENSG00000075624
ACTC1	ENSG00000159251
ACTG1	ENSG00000184009
ACTG2	ENSG00000163017
ACTL6A	ENSG00000136518
ACTN1	ENSG00000072110
ACTN2	ENSG00000077522
ACTN4	ENSG00000130402
ACTR10	ENSG00000131966
ACTR1A	ENSG00000138107
ACTR1B	ENSG00000115073
ACTR2	ENSG00000138071
ACTR3	ENSG00000115091
ACTR3B	ENSG00000133627
ACTR3C	ENSG00000106526
ACTR5	ENSG00000101442
ACTR6	ENSG00000075089
ACTR8	ENSG00000113812
ACTRT3	ENSG00000184378
ACVR1	ENSG00000115170
ACVR1B	ENSG00000135503
ACVR2A	ENSG00000121989
ACVR2B	ENSG00000114739
ACVRL1	ENSG00000139567
ACY1	ENSG00000243989
ACY3	ENSG00000132744
ACYP1	ENSG00000119640
ACYP2	ENSG00000170634
ADA	ENSG00000196839
ADA2	ENSG00000093072
ADAL	ENSG00000168803
ADAM10	ENSG00000137845
ADAM12	ENSG00000148848
ADAM15	ENSG00000143537
ADAM17	ENSG00000151694
ADAM28	ENSG00000042980
ADAM33	ENSG00000149451
ADAM8	ENSG00000151651
ADAM9	ENSG00000168615
ADAMTS1	ENSG00000154734
ADAMTS10	ENSG00000142303
ADAMTS12	ENSG00000151388
ADAMTS13	ENSG00000160323
ADAMTS15	ENSG00000166106
ADAMTS17	ENSG00000140470
ADAMTS4	ENSG00000158859
ADAMTS5	ENSG00000154736
ADAMTS9	ENSG00000163638
ADAMTSL2	ENSG00000197859
ADAMTSL3	ENSG00000156218
ADAMTSL4	ENSG00000143382
ADAMTSL5	ENSG00000185761
ADAP1	ENSG00000105963
ADAP2	ENSG00000184060
ADAR	ENSG00000160710
ADARB1	ENSG00000197381
ADAT1	ENSG00000065457
ADAT2	ENSG00000189007
ADAT3	ENSG00000213638
ADCK1	ENSG00000063761
ADCK2	ENSG00000133597
ADCY2	ENSG00000078295
ADCY3	ENSG00000138031
ADCY4	ENSG00000129467
ADCY6	ENSG00000174233
ADCY7	ENSG00000121281
ADCY8	ENSG00000155897
ADCY9	ENSG00000162104
ADCYAP1R1	ENSG00000078549
ADD1	ENSG00000087274
ADD3	ENSG00000148700
ADGB	ENSG00000118492
ADGRA2	ENSG00000020181
ADGRA3	ENSG00000152990
ADGRD1	ENSG00000111452
ADGRE2	ENSG00000127507
ADGRE5	ENSG00000123146
ADGRF5	ENSG00000069122
ADGRG6	ENSG00000112414
ADGRL2	ENSG00000117114
ADGRL4	ENSG00000162618
ADGRV1	ENSG00000164199
ADH1B	ENSG00000196616
ADH5	ENSG00000197894
ADHFE1	ENSG00000147576
ADI1	ENSG00000182551
ADIPOR1	ENSG00000159346
ADIPOR2	ENSG00000006831
ADIRF	ENSG00000148671
ADK	ENSG00000156110
ADM	ENSG00000148926
ADM5	ENSG00000224420
ADNP	ENSG00000101126
ADNP2	ENSG00000101544
ADO	ENSG00000181915
ADORA2A	ENSG00000128271
ADORA2B	ENSG00000170425
ADORA3	ENSG00000282608
ADPGK	ENSG00000159322
ADPRH	ENSG00000144843
ADPRHL1	ENSG00000153531
ADPRM	ENSG00000170222
ADPRS	ENSG00000116863
ADRA2A	ENSG00000150594
ADRA2B	ENSG00000274286
ADRA2C	ENSG00000184160
ADRB2	ENSG00000169252
ADRB3	ENSG00000188778
ADRM1	ENSG00000130706
ADSL	ENSG00000239900
ADSS1	ENSG00000185100
ADSS2	ENSG00000035687
ADTRP	ENSG00000111863
AEBP1	ENSG00000106624
AEBP2	ENSG00000139154
AEN	ENSG00000181026
AFAP1	ENSG00000196526
AFAP1L1	ENSG00000157510
AFAP1L2	ENSG00000169129
AFDN	ENSG00000130396
