Gene	Ensembl
TMPRSS11D	ENSG00000153802
SCGB1D4	ENSG00000197745
KLK12	ENSG00000186474
ADAMTS19	ENSG00000145808
TRH	ENSG00000170893
HOXD13	ENSG00000128714
PMEL	ENSG00000185664
ALPP	ENSG00000163283
FAM25C	ENSG00000276430
IL19	ENSG00000142224
MMP11	ENSG00000099953
SCGB1D2	ENSG00000124935
SCGB2A1	ENSG00000124939
SLPI	ENSG00000124107
AC019117.1	ENSG00000283321
ERN2	ENSG00000134398
IGHJ2	ENSG00000211904
SERPINB3	ENSG00000057149
SLC5A8	ENSG00000256870
C6orf15	ENSG00000204542
IGHJ6	ENSG00000211900
IVL	ENSG00000163207
KRT6A	ENSG00000205420
MEX3B	ENSG00000183496
PGLYRP4	ENSG00000163218
PLEKHS1	ENSG00000148735
RGPD1	ENSG00000187627
SERPINB4	ENSG00000206073
SFRP4	ENSG00000106483
TMPRSS11E	ENSG00000087128
ASIC2	ENSG00000108684
BPIFB1	ENSG00000125999
CLDN17	ENSG00000156282
MUC16	ENSG00000181143
PGR	ENSG00000082175
PLA2G3	ENSG00000100078
RNF223	ENSG00000237330
SCGB3A1	ENSG00000161055
SHISA6	ENSG00000188803
ST6GALNAC1	ENSG00000070526
TFF3	ENSG00000160180
WNT16	ENSG00000002745
AC136616.3	ENSG00000278782
ADAM33	ENSG00000149451
ADAMTSL5	ENSG00000185761
ADRA1D	ENSG00000171873
ADRA2A	ENSG00000150594
ADRA2C	ENSG00000184160
AGR2	ENSG00000106541
ALOX12	ENSG00000108839
ANKFN1	ENSG00000153930
ANO4	ENSG00000151572
ASRGL1	ENSG00000162174
BMPR1B	ENSG00000138696
BPIFA1	ENSG00000198183
CA10	ENSG00000154975
CACNA1G	ENSG00000006283
CCN5	ENSG00000064205
CHST6	ENSG00000183196
CNFN	ENSG00000105427
COL14A1	ENSG00000187955
COL1A1	ENSG00000108821
COL1A2	ENSG00000164692
COL21A1	ENSG00000124749
COL27A1	ENSG00000196739
COL3A1	ENSG00000168542
COL5A1	ENSG00000130635
COLEC12	ENSG00000158270
CRCT1	ENSG00000169509
CTSK	ENSG00000143387
CXCL1	ENSG00000163739
CXCL3	ENSG00000163734
CYP27C1	ENSG00000186684
CYP4X1	ENSG00000186377
DEFB103B	ENSG00000177243
DIO2	ENSG00000211448
DIO3	ENSG00000197406
DKK1	ENSG00000107984
DKK2	ENSG00000155011
EDN2	ENSG00000127129
EDN3	ENSG00000124205
ENPP3	ENSG00000154269
ENTPD3	ENSG00000168032
ESR1	ENSG00000091831
EVX2	ENSG00000174279
EYA2	ENSG00000064655
FAM25A	ENSG00000188100
FGF14	ENSG00000102466
FGFBP1	ENSG00000137440
FOXL2	ENSG00000183770
GDF7	ENSG00000143869
GJB2	ENSG00000165474
GLI1	ENSG00000111087
GLYATL2	ENSG00000156689
GPR22	ENSG00000172209
H2BC5	ENSG00000158373
H2BC8	ENSG00000273802
H2BU1	ENSG00000196890
HOXA11	ENSG00000005073
HOXA13	ENSG00000106031
HOXD10	ENSG00000128710
HOXD9	ENSG00000128709
HPSE2	ENSG00000172987
HTR2B	ENSG00000135914
IGF1	ENSG00000017427
IGFBP5	ENSG00000115461
IGKV6D-41	ENSG00000211626
IRF4	ENSG00000137265
ISLR	ENSG00000129009
ITGA11	ENSG00000137809
KLK10	ENSG00000129451
KRT16	ENSG00000186832
KRT6B	ENSG00000185479
KRT6C	ENSG00000170465
LCE3D	ENSG00000163202
LCE3E	ENSG00000185966
LEFTY2	ENSG00000143768
LRFN5	ENSG00000165379
LRRC4B	ENSG00000131409
LTBP1	ENSG00000049323
MAS1L	ENSG00000204687
MASP1	ENSG00000127241
MFAP2	ENSG00000117122
MPPED2	ENSG00000066382
MSX1	ENSG00000163132
MUC21	ENSG00000204544
MXRA5	ENSG00000101825
MYOCOS	ENSG00000283683
NBL1	ENSG00000158747
NT5E	ENSG00000135318
OGN	ENSG00000106809
OSR2	ENSG00000164920
PAEP	ENSG00000122133
PI16	ENSG00000164530
PINX1	ENSG00000258724
PLEKHG7	ENSG00000187510
PLK5	ENSG00000185988
PRR15	ENSG00000176532
PRRX2	ENSG00000167157
PRSS23	ENSG00000150687
PRSS27	ENSG00000172382
PTCH1	ENSG00000185920
RAET1E	ENSG00000164520
REM1	ENSG00000088320
RHEX	ENSG00000263961
RNF225	ENSG00000269855
RSPO1	ENSG00000169218
SCGB1D1	ENSG00000168515
SDK2	ENSG00000069188
SERPINB12	ENSG00000166634
SERPINB13	ENSG00000197641
SLC15A2	ENSG00000163406
SLC18A2	ENSG00000165646
SLC46A2	ENSG00000119457
SLC51B	ENSG00000186198
SMCO3	ENSG00000179256
SORD	ENSG00000140263
SP5	ENSG00000204335
SPINK5	ENSG00000133710
SPINK6	ENSG00000178172
SPINK7	ENSG00000145879
SPRR1B	ENSG00000169469
SPRR3	ENSG00000163209
STRA6	ENSG00000137868
STX18	ENSG00000168818
TGM2	ENSG00000198959
THSD4	ENSG00000187720
TMC1	ENSG00000165091
TMEM211	ENSG00000206069
TMEM260	ENSG00000070269
TNFSF9	ENSG00000125657
TRAJ26	ENSG00000211863
TWIST2	ENSG00000233608
VSIG10L	ENSG00000186806
WDR86	ENSG00000187260
WFDC2	ENSG00000101443
