Gene	Ensembl
WFIKKN2	ENSG00000173714
KLHDC8A	ENSG00000162873
PCDH11X	ENSG00000102290
CCDC194	ENSG00000269720
FHL2	ENSG00000115641
PWWP3B	ENSG00000157502
TRABD2A	ENSG00000186854
CRYGD	ENSG00000118231
ECEL1	ENSG00000171551
INHA	ENSG00000123999
SIGLEC11	ENSG00000161640
ASIP	ENSG00000101440
CDH4	ENSG00000179242
CTH	ENSG00000116761
FSHR	ENSG00000170820
IGSF11	ENSG00000144847
PEG3	ENSG00000198300
PRRT1	ENSG00000204314
PTCH2	ENSG00000117425
SGCZ	ENSG00000185053
SLC4A3	ENSG00000114923
SPRR2F	ENSG00000244094
TCF23	ENSG00000163792
VWC2	ENSG00000188730
ANGPTL5	ENSG00000187151
CAMK1G	ENSG00000008118
CDK15	ENSG00000138395
CLSTN2	ENSG00000158258
DIRAS3	ENSG00000162595
EPHA6	ENSG00000080224
FAM153B	ENSG00000182230
FFAR1	ENSG00000126266
GREB1	ENSG00000196208
PROK1	ENSG00000143125
ZNF556	ENSG00000172000
ABCA10	ENSG00000154263
ADAMTS1	ENSG00000154734
ADAMTS16	ENSG00000145536
ADAMTS4	ENSG00000158859
ADRB3	ENSG00000188778
AJAP1	ENSG00000196581
AMHR2	ENSG00000135409
ANO4	ENSG00000151572
ARX	ENSG00000004848
ASXL3	ENSG00000141431
B4GALNT4	ENSG00000182272
BAMBI	ENSG00000095739
BNC2	ENSG00000173068
BST2	ENSG00000130303
C11orf96	ENSG00000187479
C21orf62	ENSG00000205929
C7	ENSG00000112936
CCBE1	ENSG00000183287
CCDC8	ENSG00000169515
CCL26	ENSG00000006606
CD22	ENSG00000012124
CDH11	ENSG00000140937
CDH23	ENSG00000107736
CDH3	ENSG00000062038
CDKN1C	ENSG00000129757
CHST7	ENSG00000147119
CLDN11	ENSG00000013297
CPED1	ENSG00000106034
CPZ	ENSG00000109625
CSDC2	ENSG00000172346
EML5	ENSG00000165521
ENPP6	ENSG00000164303
FAM122C	ENSG00000156500
FKBP7	ENSG00000079150
FLRT2	ENSG00000185070
FOXL2	ENSG00000183770
FOXL2NB	ENSG00000206262
FRMPD3	ENSG00000147234
FRRS1L	ENSG00000260230
GALNT10	ENSG00000164574
GATA4	ENSG00000136574
GATA6	ENSG00000141448
GLI2	ENSG00000074047
GNG4	ENSG00000168243
H3-2	ENSG00000273213
HAS1	ENSG00000105509
HOXC6	ENSG00000197757
HS3ST1	ENSG00000002587
HS3ST3A1	ENSG00000153976
HS6ST2	ENSG00000171004
HTR1E	ENSG00000168830
IGFBP5	ENSG00000115461
IGSF10	ENSG00000152580
KCNMB2	ENSG00000197584
KCNT2	ENSG00000162687
LAG3	ENSG00000089692
LHCGR	ENSG00000138039
LHX9	ENSG00000143355
LPAR4	ENSG00000147145
LRRC17	ENSG00000128606
LRRTM3	ENSG00000198739
MCC	ENSG00000171444
MDK	ENSG00000110492
MEX3A	ENSG00000254726
MKX	ENSG00000150051
MMP23B	ENSG00000189409
NAV3	ENSG00000067798
NDP	ENSG00000124479
NGF	ENSG00000134259
NR2F2	ENSG00000185551
NR4A2	ENSG00000153234
NRK	ENSG00000123572
NXPH2	ENSG00000144227
OBSL1	ENSG00000124006
PABPC5	ENSG00000174740
PAGR1	ENSG00000280789
PDGFD	ENSG00000170962
PDGFRA	ENSG00000134853
PLA2G5	ENSG00000127472
PLCXD3	ENSG00000182836
PNMA6E	ENSG00000214897
PRPS2	ENSG00000101911
PRRT2	ENSG00000167371
RASL11B	ENSG00000128045
RBP1	ENSG00000114115
RESF1	ENSG00000174718
ROBO3	ENSG00000154134
SCN7A	ENSG00000136546
SCUBE1	ENSG00000159307
SIMC1	ENSG00000170085
SNCAIP	ENSG00000064692
SYTL4	ENSG00000102362
TCF21	ENSG00000118526
TENM4	ENSG00000149256
TIMP2	ENSG00000035862
TLR5	ENSG00000187554
TMEM221	ENSG00000188051
TMEM255A	ENSG00000125355
TMSB15B	ENSG00000269226
TSHZ3	ENSG00000121297
TSPYL2	ENSG00000184205
TYRO3	ENSG00000092445
UBXN8	ENSG00000104691
UCMA	ENSG00000165623
VLDLR	ENSG00000147852
VWCE	ENSG00000167992
WIPF3	ENSG00000122574
WT1	ENSG00000184937
ZCCHC18	ENSG00000166707
ZFPM2	ENSG00000169946
ZIM2	ENSG00000269699
ZNF714	ENSG00000160352
ZNF98	ENSG00000197360
