Gene	Ensembl
CTRC	ENSG00000162438
CTRB2	ENSG00000168928
CTRB1	ENSG00000168925
PNLIPRP1	ENSG00000187021
CPA1	ENSG00000091704
CELA2A	ENSG00000142615
CELA3A	ENSG00000142789
CELA3B	ENSG00000219073
PNLIP	ENSG00000175535
AMY2A	ENSG00000243480
CPB1	ENSG00000153002
PRSS1	ENSG00000204983
CLPS	ENSG00000137392
CELA2B	ENSG00000215704
CUZD1	ENSG00000138161
PLA2G1B	ENSG00000170890
CTRL	ENSG00000141086
SYCN	ENSG00000179751
GP2	ENSG00000169347
AQP8	ENSG00000103375
CEL	ENSG00000170835
PRSS2	ENSG00000275896
CPA2	ENSG00000158516
AQP12B	ENSG00000185176
AQP12A	ENSG00000184945
RBPJL	ENSG00000124232
PRSS3	ENSG00000010438
INS	ENSG00000254647
SERPINI2	ENSG00000114204
AMY2B	ENSG00000240038
CLPSL1	ENSG00000204140
KLK1	ENSG00000167748
REG3A	ENSG00000172016
IAPP	ENSG00000121351
INS-IGF2	ENSG00000129965
PTF1A	ENSG00000168267
G6PC2	ENSG00000152254
SPINK1	ENSG00000164266
SLC39A5	ENSG00000139540
CCKBR	ENSG00000110148
PPY	ENSG00000108849
ERP27	ENSG00000139055
REG3G	ENSG00000143954
TRBV7-4	ENSG00000253409
FOXA3	ENSG00000170608
REG1A	ENSG00000115386
REG1B	ENSG00000172023
GCG	ENSG00000115263
GPHA2	ENSG00000149735
PDIA2	ENSG00000185615
GATM	ENSG00000171766
CGB1	ENSG00000267631
BHLHA15	ENSG00000180535
GRPR	ENSG00000126010
LEFTY1	ENSG00000243709
MUC6	ENSG00000184956
SST	ENSG00000157005
GNMT	ENSG00000124713
PM20D1	ENSG00000162877
RNASE1	ENSG00000129538
SHISAL2B	ENSG00000145642
CCDC110	ENSG00000168491
DPEP1	ENSG00000015413
FBXW12	ENSG00000164049
MATN4	ENSG00000124159
NPHS1	ENSG00000161270
PLAAT5	ENSG00000168004
SLC17A4	ENSG00000146039
SPATA45	ENSG00000185523
TRBV5-4	ENSG00000230099
AMY1C	ENSG00000187733
COCH	ENSG00000100473
IFITM5	ENSG00000206013
NAT16	ENSG00000167011
UGT2A3	ENSG00000135220
ANKRD62	ENSG00000181626
ANPEP	ENSG00000166825
KIRREL2	ENSG00000126259
MGAM2	ENSG00000257743
PGGHG	ENSG00000142102
PKHD1	ENSG00000170927
PLA2G10	ENSG00000069764
SARDH	ENSG00000123453
SEL1L	ENSG00000071537
SFRP5	ENSG00000120057
SLC22A31	ENSG00000259803
AC008687.4	ENSG00000268655
ACSM6	ENSG00000173124
ALDH1L2	ENSG00000136010
CBSL	ENSG00000274276
CELA1	ENSG00000139610
CNIH3	ENSG00000143786
CYS1	ENSG00000205795
DEFB1	ENSG00000164825
GPR119	ENSG00000147262
IL22RA1	ENSG00000142677
KCNK16	ENSG00000095981
KIF1A	ENSG00000130294
MYMX	ENSG00000262179
NEURL3	ENSG00000163121
NR5A2	ENSG00000116833
PDX1	ENSG00000139515
PLEKHS1	ENSG00000148735
SERPINA3	ENSG00000196136
SLC16A12	ENSG00000152779
SLC30A2	ENSG00000158014
SLC30A8	ENSG00000164756
SLC43A1	ENSG00000149150
SPAG4	ENSG00000061656
TEX11	ENSG00000120498
TMED6	ENSG00000157315
TMEM52	ENSG00000178821
ABCC8	ENSG00000006071
ACY3	ENSG00000132744
ASB9	ENSG00000102048
BACE1	ENSG00000186318
BRSK2	ENSG00000174672
C2CD4B	ENSG00000205502
CAMK2N2	ENSG00000163888
CATSPERB	ENSG00000133962
EGF	ENSG00000138798
FBXO2	ENSG00000116661
FFAR1	ENSG00000126266
HNF1A	ENSG00000135100
KLB	ENSG00000134962
MAGEB17	ENSG00000182798
MNX1	ENSG00000130675
ONECUT1	ENSG00000169856
PAK3	ENSG00000077264
PRDX4	ENSG00000123131
RFX6	ENSG00000185002
SLC38A5	ENSG00000017483
TECPR1	ENSG00000205356
TRBV6-7	ENSG00000253188
TRIM50	ENSG00000146755
UNC5CL	ENSG00000124602
ABAT	ENSG00000183044
AC005697.1	ENSG00000266202
AC073896.1	ENSG00000144785
AC091167.6	ENSG00000275674
AC213203.2	ENSG00000277475
ACADL	ENSG00000115361
ADM2	ENSG00000128165
AKR7A3	ENSG00000162482
AL159163.1	ENSG00000249141
ANKEF1	ENSG00000132623
ANXA4	ENSG00000196975
AP006621.6	ENSG00000288675
ARHGDIG	ENSG00000242173
ARHGEF38	ENSG00000236699
ARSL	ENSG00000157399
ASCL5	ENSG00000232237
ASNS	ENSG00000070669
BCAT1	ENSG00000060982
BEGAIN	ENSG00000183092
BICDL2	ENSG00000162069
BNIP3	ENSG00000176171
C13orf46	ENSG00000283199
C1orf127	ENSG00000175262
C3orf52	ENSG00000114529
CBS	ENSG00000160200
CCDC198	ENSG00000100557
CCNO	ENSG00000152669
CEACAM16	ENSG00000213892
CFAP97D2	ENSG00000283361
CFC1	ENSG00000136698
CFTR	ENSG00000001626
CHAC1	ENSG00000128965
CHAD	ENSG00000136457
CLDN10	ENSG00000134873
CLDN6	ENSG00000184697
CMTM8	ENSG00000170293
COMTD1	ENSG00000165644
CRACR2B	ENSG00000177685
CREB3L1	ENSG00000157613
CRYBA2	ENSG00000163499
DCDC2	ENSG00000146038
DERL3	ENSG00000099958
DHRS12	ENSG00000102796
DPP10	ENSG00000175497
